int_player_id,str_url,dt_crawled
119,https://sofifa.com/player/204923/marcel-sabitzer/210007/,2020-11-15 01:00:13.490116
120,https://sofifa.com/player/204838/raul-jimenez/210007/,2020-11-15 01:00:13.490509
121,https://sofifa.com/player/202556/memphis-depay/210007/,2020-11-15 01:00:13.490965
122,https://sofifa.com/player/200647/josip-ilicic/210007/,2020-11-15 01:00:13.491354
123,https://sofifa.com/player/200458/lucas-digne/210007/,2020-11-15 01:00:13.491738
124,https://sofifa.com/player/199451/wissam-ben-yedder/210007/,2020-11-15 01:00:13.492123
125,https://sofifa.com/player/198176/stefan-de-vrij/210007/,2020-11-15 01:00:13.492506
126,https://sofifa.com/player/197965/luis-miguel-afonso-fernandes/210007/,2020-11-15 01:00:13.492888
127,https://sofifa.com/player/197781/francisco-roman-alarcon-suarez/210007/,2020-11-15 01:00:13.493271
128,https://sofifa.com/player/197445/david-alaba/210007/,2020-11-15 01:00:13.493657
129,https://sofifa.com/player/193474/idrissa-gueye/210007/,2020-11-15 01:00:13.494039
130,https://sofifa.com/player/193165/jesus-corona/210007/,2020-11-15 01:00:13.494420
131,https://sofifa.com/player/192629/iago-aspas-juncal/210007/,2020-11-15 01:00:13.494802
132,https://sofifa.com/player/190483/douglas-costa-de-souza/210007/,2020-11-15 01:00:13.495184
133,https://sofifa.com/player/189117/roman-burki/210007/,2020-11-15 01:00:13.495566
134,https://sofifa.com/player/185020/jose-maria-callejon-bueno/210007/,2020-11-15 01:00:13.495947
135,https://sofifa.com/player/184432/cesar-azpilicueta-tanco/210007/,2020-11-15 01:00:13.496330
136,https://sofifa.com/player/179813/edinson-cavani/210007/,2020-11-15 01:00:13.496714
137,https://sofifa.com/player/178005/rui-pedro-dos-santos-patricio/210007/,2020-11-15 01:00:13.497095
138,https://sofifa.com/player/177413/axel-witsel/210007/,2020-11-15 01:00:13.497477
139,https://sofifa.com/player/176266/lucas-pezzini-leiva/210007/,2020-11-15 01:00:13.497855
140,https://sofifa.com/player/168435/salvatore-sirigu/210007/,2020-11-15 01:00:13.498237
141,https://sofifa.com/player/163587/kasper-schmeichel/210007/,2020-11-15 01:00:13.498902
142,https://sofifa.com/player/146536/jesus-navas-gonzalez/210007/,2020-11-15 01:00:13.499297
143,https://sofifa.com/player/135507/fernando-luiz-rosa/210007/,2020-11-15 01:00:13.499680
144,https://sofifa.com/player/239053/federico-valverde/210007/,2020-11-15 01:00:13.500061
145,https://sofifa.com/player/235212/achraf-hakimi/210007/,2020-11-15 01:00:13.500443
146,https://sofifa.com/player/231443/ousmane-dembele/210007/,2020-11-15 01:00:13.500822
147,https://sofifa.com/player/230666/gabriel-fernando-de-jesus/210007/,2020-11-15 01:00:13.501201
148,https://sofifa.com/player/230481/ronaldo-jailson-cabrais-petri/210007/,2020-11-15 01:00:13.501580
149,https://sofifa.com/player/229880/aaron-wan-bissaka/210007/,2020-11-15 01:00:13.501961
150,https://sofifa.com/player/229261/denis-zakaria/210007/,2020-11-15 01:00:13.502341
151,https://sofifa.com/player/228618/ferland-mendy/210007/,2020-11-15 01:00:13.502719
152,https://sofifa.com/player/227928/nelson-cabral-semedo/210007/,2020-11-15 01:00:13.503097
153,https://sofifa.com/player/225953/steven-bergwijn/210007/,2020-11-15 01:00:13.503475
154,https://sofifa.com/player/225100/joe-gomez/210007/,2020-11-15 01:00:13.503853
155,https://sofifa.com/player/224334/marcos-acuna/210007/,2020-11-15 01:00:13.504230
156,https://sofifa.com/player/222665/martin-odegaard/210007/,2020-11-15 01:00:13.504609
157,https://sofifa.com/player/221363/donny-van-de-beek/210007/,2020-11-15 01:00:13.504990
158,https://sofifa.com/player/221087/pau-lopez-sabata/210007/,2020-11-15 01:00:13.505372
159,https://sofifa.com/player/220407/martin-dubravka/210007/,2020-11-15 01:00:13.505751
160,https://sofifa.com/player/219693/diego-carlos-santos-silva/210007/,2020-11-15 01:00:13.506132
161,https://sofifa.com/player/216594/nabil-fekir/210007/,2020-11-15 01:00:13.506652
162,https://sofifa.com/player/216547/rafael-a-ferreira-silva/210007/,2020-11-15 01:00:13.507061
163,https://sofifa.com/player/215333/duvan-zapata/210007/,2020-11-15 01:00:13.507447
164,https://sofifa.com/player/212151/thomas-strakosha/210007/,2020-11-15 01:00:13.507829
165,https://sofifa.com/player/211688/jose-luis-gaya-pena/210007/,2020-11-15 01:00:13.508210
166,https://sofifa.com/player/211117/dele-alli/210007/,2020-11-15 01:00:13.508591
167,https://sofifa.com/player/210514/joao-pedro-cavaco-cancelo/210007/,2020-11-15 01:00:13.508970
168,https://sofifa.com/player/210413/alessio-romagnoli/210007/,2020-11-15 01:00:13.509350
169,https://sofifa.com/player/208574/filip-kostic/210007/,2020-11-15 01:00:13.509728
