int_team_id,str_url,dt_crawled
107,https://sofifa.com/team/100767/spartak-moscow/,2020-11-15 00:14:32.705935
108,https://sofifa.com/team/169/1-fsv-mainz-05/,2020-11-15 00:14:32.706320
109,https://sofifa.com/team/1970/tigres-uanl/,2020-11-15 00:14:32.706742
110,https://sofifa.com/team/101047/dynamo-kyiv/,2020-11-15 00:14:32.707287
111,https://sofifa.com/team/189/bologna/,2020-11-15 00:14:32.707678
112,https://sofifa.com/team/110556/genoa/,2020-11-15 00:14:32.708063
113,https://sofifa.com/team/110839/sd-huesca/,2020-11-15 00:14:32.708446
114,https://sofifa.com/team/1530/angers-sco/,2020-11-15 00:14:32.708828
115,https://sofifa.com/team/1792/norwich-city/,2020-11-15 00:14:32.709256
116,https://sofifa.com/team/267/sparta-praha/,2020-11-15 00:14:32.709718
117,https://sofifa.com/team/100888/cd-leganes/,2020-11-15 00:14:32.710174
118,https://sofifa.com/team/1819/as-saint-etienne/,2020-11-15 00:14:32.710620
119,https://sofifa.com/team/1053/santos/,2020-11-15 00:14:32.711047
120,https://sofifa.com/team/1831/1-fc-union-berlin/,2020-11-15 00:14:32.711709
121,https://sofifa.com/team/86/rangers-fc/,2020-11-15 00:14:32.712104
122,https://sofifa.com/team/1878/cruz-azul/,2020-11-15 00:14:32.712489
123,https://sofifa.com/team/1879/club-america/,2020-11-15 00:14:32.712872
124,https://sofifa.com/team/605/al-hilal/,2020-11-15 00:14:32.713267
125,https://sofifa.com/team/109/west-bromwich-albion/,2020-11-15 00:14:32.713651
126,https://sofifa.com/team/1906/az-alkmaar/,2020-11-15 00:14:32.714037
127,https://sofifa.com/team/379/stade-de-reims/,2020-11-15 00:14:32.714449
128,https://sofifa.com/team/110468/viktoria-plzen/,2020-11-15 00:14:32.714837
129,https://sofifa.com/team/393/paok/,2020-11-15 00:14:32.715302
130,https://sofifa.com/team/673/krc-genk/,2020-11-15 00:14:32.715686
131,https://sofifa.com/team/674/kaa-gent/,2020-11-15 00:14:32.716070
132,https://sofifa.com/team/110781/club-leon/,2020-11-15 00:14:32.716450
133,https://sofifa.com/team/191/fc-red-bull-salzburg/,2020-11-15 00:14:32.716832
134,https://sofifa.com/team/206/hellas-verona/,2020-11-15 00:14:32.717213
135,https://sofifa.com/team/468/elche-cf/,2020-11-15 00:14:32.717609
136,https://sofifa.com/team/230/royal-antwerp-fc/,2020-11-15 00:14:32.717990
137,https://sofifa.com/team/744/rio-ave-fc/,2020-11-15 00:14:32.718370
138,https://sofifa.com/team/1013/san-lorenzo-de-almagro/,2020-11-15 00:14:32.718753
139,https://sofifa.com/team/517/botafogo/,2020-11-15 00:14:32.719135
140,https://sofifa.com/team/110093/independiente/,2020-11-15 00:14:32.719516
141,https://sofifa.com/team/14/nottingham-forest/,2020-11-15 00:14:32.719896
142,https://sofifa.com/team/278/aek-athens/,2020-11-15 00:14:32.720277
143,https://sofifa.com/team/28/hamburger-sv/,2020-11-15 00:14:32.720655
144,https://sofifa.com/team/36/vfb-stuttgart/,2020-11-15 00:14:32.721032
