Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Platform_type,User_Rate,Critic_Rate
Delta Force: Black Hawk Down,PS2,2005,Shooter,NovaLogic,0.22,0.17,0,0.06,0.46,58,25,88,51,Rebellion,T,console,outstanding,average
The Princess and the Frog,Wii,2009,Platform,Disney Interactive Studios,0.29,0.13,0,0.04,0.46,NA,NA,NA,NA,Griptonite Games,E,console,NA,NA
Space Invaders,SNES,1994,Shooter,Taito,0,0,0.46,0,0.46,NA,NA,NA,NA,NA,NA,console,NA,NA
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,23,87,19,CyberConnect2,T,console,outstanding,good
Mother 1+2,GBA,2003,Role-Playing,Nintendo,0,0,0.45,0.01,0.46,NA,NA,NA,NA,NA,NA,handheld,NA,NA
MX vs. ATV Untamed,PS3,2007,Racing,THQ,0.35,0.06,0,0.05,0.46,67,33,61,8,Rainbow Studios,E,console,good,good
Boom Blox Bash Party,Wii,2009,Puzzle,Electronic Arts,0.33,0.09,0,0.04,0.46,86,48,84,37,EA LA,E,console,outstanding,outstanding
Top Spin,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0,0.02,0.46,89,44,82,31,Pam Development,E,console,outstanding,outstanding
Brothers In Arms: D-Day,PSP,2006,Shooter,Ubisoft,0.23,0.14,0,0.09,0.46,65,19,91,64,Ubisoft Shanghai,M,handheld,incredible,good
Warhawk,PS,1995,Simulation,Sony Computer Entertainment,0.25,0.17,0,0.03,0.46,NA,NA,NA,NA,NA,NA,console,NA,NA
The Golden Compass,X360,2007,Action,Sega,0.3,0.12,0,0.04,0.46,41,25,41,14,Shiny Entertainment,E10+,console,average,average
Tomb Raider: Legend,PSP,2006,Action,Eidos Interactive,0.09,0.24,0,0.12,0.46,67,28,79,30,Buzz Monkey,T,handheld,great,good
Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0,0.04,0.45,71,6,70,58,Ubisoft,E10+,console,good,great
Tales of Vesperia,PS3,2009,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45,NA,NA,NA,NA,Bandai Namco Games,NA,console,NA,NA
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,Take-Two Interactive,0.26,0.15,0,0.03,0.45,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Missile Command,PS,1999,Shooter,Atari,0.25,0.17,0,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
FIFA 15,3DS,2014,Sports,Electronic Arts,0.09,0.34,0,0.03,0.45,NA,NA,24,35,EA Sports,E,handheld,terrible,NA
Jikkyou Powerful Pro Yakyuu 3,SNES,1996,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Jikkyou Powerful Pro Yakyuu 12,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Enter the Matrix,GC,2003,Action,Atari,0.34,0.09,0.02,0.01,0.45,63,23,80,45,Shiny Entertainment,T,console,great,good
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0,0.04,0.45,70,4,87,11,TT Games,E10+,console,outstanding,good
NASCAR 2005: Chase for the Cup,XB,2004,Racing,Electronic Arts,0.34,0.1,0,0.02,0.45,86,16,NA,NA,EA Tiburon,E,console,NA,outstanding
J-League Excite Stage '95,SNES,1995,Sports,Epoch,0,0,0.45,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.05,0,0.05,0.45,NA,NA,28,47,EA Sports,E10+,console,terrible,NA
Phantasy Star Online Episode I & II,GC,2002,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.21,0.14,0.01,0.09,0.45,75,15,75,221,Bluepoint Games,T,handheld,great,great
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,BAM! Entertainment,0.22,0.17,0,0.06,0.45,46,5,68,5,VIS Entertainment,E,console,good,average
Bleach: The Blade of Fate,DS,2006,Fighting,Sega,0.29,0.01,0.12,0.03,0.45,83,32,75,23,Treasure,T,handheld,great,outstanding
American Girl: Kit Mystery Challenge!,DS,2008,Adventure,THQ,0.42,0,0,0.03,0.45,NA,NA,NA,NA,Webfoot Technologies,E,handheld,NA,NA
Country Dance 2,Wii,2011,Misc,GameMill Entertainment,0.43,0,0,0.03,0.45,NA,NA,NA,NA,High Voltage Software,E10+,console,NA,NA
The Chronicles of Riddick: Escape from Butcher Bay,XB,NA,Shooter,Vivendi Games,0.32,0.11,0,0.02,0.45,89,84,89,85,Starbreeze,M,console,outstanding,outstanding
NFL Head Coach,PS2,2006,Sports,Electronic Arts,0.38,0.01,0,0.06,0.45,66,22,69,15,EA Tiburon,E,console,good,good
Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Nickelodeon Team Umizoomi,DS,2011,Action,Take-Two Interactive,0.42,0,0,0.03,0.45,NA,NA,NA,NA,Black Lantern Studios,EC,handheld,NA,NA
NCAA Gamebreaker 99,PS,1998,Sports,989 Studios,0.25,0.17,0,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Tomb Raider: Underworld,Wii,2008,Action,Eidos Interactive,0.13,0.27,0,0.05,0.45,70,12,72,20,Crystal Dynamics,T,console,great,good
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45,75,37,84,52,Midway Studios - Austin,M,console,outstanding,great
World Stadium 2,PS,1998,Sports,Namco Bandai Games,0,0,0.42,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
NHL 2005,PS2,2004,Sports,Electronic Arts,0.22,0.17,0,0.06,0.45,75,21,83,23,EA Sports,E,console,outstanding,great
The New York Times Crosswords,DS,2007,Puzzle,Majesco Entertainment,0.42,0,0,0.03,0.45,79,15,67,6,BudCat,T,handheld,good,great
Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,Konami Digital Entertainment,0.42,0,0,0.03,0.45,NA,NA,78,21,Blitz Games,E,console,great,NA
Barbie as The Island Princess,Wii,2007,Adventure,Activision,0.42,0,0,0.03,0.45,NA,NA,NA,NA,"Human Soft, Ivolgamus",E,console,NA,NA
Lego Batman 3: Beyond Gotham,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.2,0,0.04,0.45,NA,NA,64,7,TT Games,E10+,handheld,good,NA
iCarly,Wii,2009,Adventure,Activision,0.42,0,0,0.03,0.45,NA,NA,NA,NA,Blitz Games,E,console,NA,NA
Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0,0.02,0.45,76,30,87,30,Vicarious Visions,T,console,outstanding,great
Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Dynasty Warriors: Strikeforce,PSP,2009,Action,Ubisoft Annecy,0.03,0.02,0.38,0.02,0.45,65,28,68,10,Omega Force,T,handheld,good,good
Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0,0,0.03,0.45,68,7,70,4,Ubisoft,E,handheld,good,good
Command & Conquer: Red Alert 3,X360,2008,Strategy,Electronic Arts,0.18,0.23,0,0.05,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Enemy Territory: Quake Wars,X360,2008,Shooter,Activision,0.3,0.11,0,0.04,0.45,69,54,73,26,Nerve Software,T,console,great,good
Major League Baseball 2K11,X360,2011,Sports,Take-Two Interactive,0.4,0.03,0,0.03,0.45,69,27,68,24,Visual Concepts,E,console,good,good
Harvest Moon DS (US sales),DS,2005,Simulation,Rising Star Games,0.4,0.05,0,0,0.45,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Apocalypse,PS,1998,Action,Activision,0.25,0.17,0,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
ATV Offroad Fury Pro,PSP,2006,Racing,Sony Computer Entertainment,0.37,0.03,0,0.04,0.45,76,32,NA,NA,"Climax Group, Climax Studios",E,handheld,NA,great
Burnout Dominator,PSP,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.05,0.45,76,23,82,27,Criterion Games,E10+,handheld,outstanding,great
Yu-Gi-Oh! Destiny Board Traveler,GBA,2004,Misc,Konami Digital Entertainment,0.32,0.12,0,0.01,0.45,NA,NA,NA,NA,NA,NA,handheld,NA,NA
God Eater 2,PSV,2013,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.29,0.13,0,0.04,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Crash of the Titans,Wii,2007,Action,Vivendi Games,0.39,0.02,0,0.03,0.45,69,16,58,22,Radical Entertainment,E10+,console,average,good
World Soccer Winning Eleven 5 Final Evolution,PS2,2001,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Red Faction: Armageddon,PS3,2011,Shooter,THQ,0.2,0.15,0.03,0.07,0.45,71,52,73,58,Volition Inc.,M,console,great,great
Sphinx and the Cursed Mummy,PS2,2003,Action,THQ,0.22,0.17,0,0.06,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Fatal Fury 2,SNES,1993,Fighting,Takara,0,0,0.45,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Rampage World Tour,N64,1998,Action,GT Interactive,0.36,0.08,0,0.01,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Pokemon Puzzle League,N64,2e3,Puzzle,Nintendo,0.36,0.08,0,0.01,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
PES 2009: Pro Evolution Soccer,Wii,2009,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Despicable Me: The Game - Minion Mayhem,DS,2010,Puzzle,D3Publisher,0.37,0.05,0,0.03,0.45,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0,0.04,0.45,NA,NA,70,20,TT Games,E10+,console,good,NA
Tekken Advance,GBA,2001,Fighting,Infogrames,0.32,0.12,0,0.01,0.45,82,14,82,13,Eighting/Raizing,T,handheld,outstanding,outstanding
Shin Megami Tensei: Persona 3,PS2,2006,Role-Playing,Tecmo Koei,0.22,0.03,0,0.2,0.45,86,52,84,116,Atlus Co.,M,console,outstanding,outstanding
Persona,PS,1995,Role-Playing,Atlus,0,0,0.42,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Hot Wheels: Stunt Track Challenge,GBA,2004,Racing,THQ,0.32,0.12,0,0.01,0.45,NA,NA,NA,NA,Climax Group,E,handheld,NA,NA
My Fashion Studio,DS,2007,Misc,Ubisoft,0.41,0,0,0.03,0.45,NA,NA,68,6,505 Games,E,handheld,good,NA
Maze Craze: A Game of Cops 'n Robbers,2600,NA,Action,Atari,0.42,0.02,0,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Mobile Suit Gundam,PS,1995,Action,Namco Bandai Games,0,0,0.42,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
TNA iMPACT!,X360,2008,Fighting,Midway Games,0.26,0.15,0,0.04,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Pirates of the Caribbean: At World's End,Wii,2007,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,0.45,53,17,72,17,Eurocom Entertainment Software,T,console,great,average
Bee Movie Game,DS,2007,Action,Activision,0.41,0,0,0.03,0.45,58,9,NA,NA,Vicarious Visions,E,handheld,NA,average
Sega Rally Revo,X360,2007,Racing,Sega,0.12,0.28,0,0.05,0.45,77,42,72,30,SEGA Racing Studio,E,console,great,great
SingStar Take That,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.39,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Final Fantasy Collection,PS,1999,Role-Playing,Square,0,0,0.42,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0,0.34,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Samurai Warriors: Xtreme Legends,PS2,2004,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,72,17,86,13,Omega Force,T,console,outstanding,great
LEGO Rock Band,DS,2009,Misc,Warner Bros. Interactive Entertainment,0.32,0.09,0,0.04,0.45,80,8,75,6,Backbone Entertainment,E,handheld,great,great
NHL FaceOff,PS,1994,Sports,Sony Computer Entertainment,0.25,0.17,0,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
WWE WrestleMania 21,XB,2005,Fighting,THQ,0.34,0.1,0,0.02,0.45,56,48,69,47,Studio Gigante,T,console,good,average
NBA Live 2005,GC,2004,Sports,Electronic Arts,0.35,0.09,0,0.01,0.45,83,17,67,7,EA Canada,E,console,good,outstanding
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.16,0.01,0.07,0.45,74,48,71,103,Day 1 Studios,M,console,great,great
Defender II,2600,1987,Shooter,Atari,0.42,0.02,0,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
WWE Day of Reckoning,GC,2004,Fighting,THQ,0.35,0.09,0,0.01,0.45,79,47,91,81,Yuke's,T,console,incredible,great
NBA Live 10,X360,2009,Sports,Electronic Arts,0.4,0.02,0,0.03,0.45,80,40,77,37,EA Canada,E,console,great,great
ATV Quad Power Racing 2,XB,2003,Racing,Acclaim Entertainment,0.36,0.07,0,0.01,0.45,68,17,NA,NA,Climax Group,E,console,NA,good
Harry Potter and the Deathly Hallows - Part 1,X360,2010,Action,Electronic Arts,0.21,0.2,0,0.04,0.45,38,42,50,46,EA Bright Light,T,console,average,average
Walt Disney World Quest: Magical Racing Tour,PS,2e3,Racing,Eidos Interactive,0.25,0.17,0,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,85,61,76,478,Konami,E,console,great,outstanding
Sled Storm,PS2,2002,Racing,Electronic Arts,0.22,0.17,0,0.06,0.45,73,22,77,6,Electronic Arts,T,console,great,great
Vandal Hearts,PS,1996,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Dead or Alive: Dimensions,3DS,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45,79,62,82,113,Team Ninja,T,handheld,outstanding,great
Disney Infinity 3.0,PS3,2015,Action,Disney Interactive Studios,0.16,0.21,0,0.07,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
We Sing Encore,Wii,2010,Misc,Nordic Games,0,0.39,0,0.06,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.13,0.29,0,0.03,0.45,81,23,82,1647,MachineGames,M,console,outstanding,outstanding
Deadpool,PS3,2013,Action,Activision,0.23,0.14,0,0.08,0.45,61,27,72,221,High Moon Studios,M,console,great,good
Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0,0,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,THQ,0.22,0.17,0,0.06,0.45,NA,NA,NA,NA,NA,NA,console,NA,NA
Watch Dogs,PC,2014,Action,Ubisoft,0.15,0.26,0,0.03,0.45,77,18,47,3288,Ubisoft Montreal,M,console,average,great
Mario Golf: Advance Tour,GBA,2004,Sports,Nintendo,0.32,0.12,0,0.01,0.45,84,38,86,14,Camelot Software Planning,E,handheld,outstanding,outstanding
Celebrity Sports Showdown,Wii,2008,Sports,Electronic Arts,0.18,0.22,0,0.05,0.45,50,12,46,18,EA Canada,E,console,average,average
F.E.A.R. 3,X360,2011,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,0.45,75,71,70,139,Day 1 Studios,M,console,good,great
Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,0.42,0,0,0.03,0.45,78,13,80,4,Wideload Games Inc.,E,console,great,great
Silent Hill: Homecoming,X360,NA,Action,Konami Digital Entertainment,0.25,0.15,0,0.04,0.45,70,54,69,180,Double Helix Games,M,console,good,good
Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004,Misc,Konami Digital Entertainment,0.22,0.17,0,0.06,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
"Warhammer 40,000: Space Marine",PS3,2011,Shooter,THQ,0.13,0.23,0,0.08,0.44,70,46,74,162,Relic,M,console,great,good
Discovery Kids: Kitten Corner,DS,2009,Simulation,505 Games,0.42,0,0,0.03,0.44,NA,NA,NA,NA,505 Games,E,handheld,NA,NA
Rock Band Country Track Pack,Wii,2009,Misc,MTV Games,0.41,0,0,0.03,0.44,NA,NA,NA,NA,Harmonix Music Systems,E10+,console,NA,NA
Major League Baseball 2K6,PS2,2006,Sports,Spike,0.37,0.01,0,0.06,0.44,70,19,52,27,Kush Games,E,console,average,good
Brunswick Pro Bowling,X360,2010,Sports,505 Games,0.38,0.04,0,0.03,0.44,44,4,NA,NA,"Farsight Studios, Crave",E,console,NA,average
Jampack Volume 13 (RP-M),PS2,2005,Misc,Sony Computer Entertainment,0.37,0.01,0,0.06,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
World Soccer Winning Eleven 9,XB,2005,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44,89,19,79,9,KCET,E,console,great,outstanding
NBA Live 2000,N64,1999,Sports,Electronic Arts,0.42,0.02,0,0,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004,Action,Konami Digital Entertainment,0.22,0.17,0,0.06,0.44,47,25,78,12,KCE Studios,T,console,great,average
"SpongeBob SquarePants: Lights, Camera, Pants!",PS2,2005,Misc,THQ,0.37,0.01,0,0.06,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
The Thing,PS2,2002,Adventure,Vivendi Games,0.22,0.17,0,0.06,0.44,78,27,74,41,Computer Artworks,M,console,great,great
Van Helsing,PS2,2004,Action,Activision,0.22,0.17,0,0.06,0.44,64,41,85,19,Saffire,T,console,outstanding,good
Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58,58,53,133,"Nintendo, Camelot Software Planning",E,console,average,average
Virtua Tennis 4,PS3,2011,Sports,Sega,0.09,0.24,0.03,0.08,0.44,69,49,66,28,Sega,E,console,good,good
X-Men Legends II: Rise of Apocalypse,XB,2005,Role-Playing,Activision,0.3,0.12,0,0.02,0.44,84,50,87,199,Raven Software,T,console,outstanding,outstanding
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.44,74,35,72,47,"CyberConnect2, Racjin",T,console,great,great
Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.21,0.02,0.07,0.44,NA,NA,71,115,MachineGames,M,console,great,NA
Skylanders: Trap Team,PS4,2014,Action,Activision,0.19,0.18,0,0.07,0.44,78,46,56,32,Toys for Bob,E10+,console,average,great
Worms: Open Warfare 2,PSP,2007,Strategy,THQ,0.04,0.26,0,0.14,0.44,80,26,81,25,"Team 17, Two Tribes",E10+,handheld,outstanding,great
Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009,Action,Activision,0.26,0.14,0,0.04,0.44,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Spawn: Armageddon,PS2,2003,Action,Electronic Arts,0.22,0.17,0,0.06,0.44,56,33,74,21,Point of View,M,console,great,average
The Godfather (US sales),XB,2006,Action,Electronic Arts,0.33,0.1,0,0.02,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Sid Meier's Civilization Revolution,DS,2008,Strategy,Take-Two Interactive,0.37,0.03,0.02,0.03,0.44,80,26,77,21,Firaxis Games,E10+,handheld,great,great
World Stadium EX,PS,1996,Sports,Namco Bandai Games,0,0,0.41,0.03,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Tiger Woods PGA Tour 2003,XB,2002,Sports,Electronic Arts,0.35,0.08,0,0.01,0.44,88,14,85,11,EA Sports,E,console,outstanding,outstanding
Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,0.44,80,42,85,65,Digital Illusions,T,console,outstanding,great
50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,50,14,59,21,Genuine Games,M,console,average,average
Densetsu no Stafi 2,GBA,2003,Platform,Nintendo,0,0,0.43,0.01,0.44,NA,NA,NA,NA,NA,NA,handheld,NA,NA
Independence Day,PS,1997,Shooter,Fox Interactive,0.25,0.17,0,0.03,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Tony Hawk's Proving Ground,PS3,2007,Sports,Activision,0.36,0.04,0,0.04,0.44,73,36,66,17,Neversoft Entertainment,T,console,good,great
Chocobo Racing,PS,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action,Disney Interactive Studios,0.25,0.15,0,0.04,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
LEGO Star Wars II: The Original Trilogy,XB,2006,Action,LucasArts,0.33,0.1,0,0.02,0.44,85,27,86,15,Traveller's Tales,E10+,console,outstanding,outstanding
Viking: Battle for Asgard,X360,2008,Action,Sega,0.16,0.23,0,0.05,0.44,68,67,80,88,Creative Assembly,M,console,great,good
Petz: Catz 2,Wii,2007,Simulation,Ubisoft,0.4,0.01,0,0.03,0.44,NA,NA,58,6,Ubisoft,E,console,average,NA
Dragon Quest Heroes: Rocket Slime,DS,2005,Action,Square Enix,0.13,0,0.31,0.01,0.44,83,41,76,45,"Square Enix, TOSE",E,handheld,great,outstanding
Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005,Shooter,Namco Bandai Games,0,0,0.44,0,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Ms. Pac-Man Maze Madness,PS,2e3,Puzzle,Namco Bandai Games,0.25,0.17,0,0.03,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Blood Omen: Legacy of Kain,PS,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0,0.03,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Super Bomberman 4,SNES,1996,Puzzle,Hudson Soft,0,0,0.44,0,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Fable,X360,2014,Role-Playing,Microsoft Game Studios,0.25,0.15,0.01,0.04,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Family Fest Presents Circus Games,Wii,2008,Misc,Ubisoft,0.1,0.29,0,0.05,0.44,NA,NA,NA,NA,Kuju Entertainment,E,console,NA,NA
Dance Dance Revolution: Hottest Party 3,Wii,2009,Simulation,Konami Digital Entertainment,0.26,0.14,0,0.04,0.44,66,5,82,5,Konami,E10+,console,outstanding,good
Bomberman II,NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Duke Nukem 64,N64,1997,Shooter,GT Interactive,0.35,0.08,0,0.01,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011,Action,Activision,0.32,0.08,0,0.03,0.44,NA,NA,NA,NA,NA,NA,handheld,NA,NA
The Urbz: Sims in the City (all regions sales),DS,2004,Simulation,Electronic Arts,0.4,0.01,0.02,0,0.44,NA,NA,NA,NA,NA,NA,handheld,NA,NA
"SpongeBob SquarePants: Lights, Camera, Pants!",GC,2005,Misc,THQ,0.34,0.09,0,0.01,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Super Robot Taisen OG: Original Generations,PS2,2007,Strategy,Banpresto,0,0,0.44,0,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
G-Force,Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0,0.05,0.44,69,6,80,6,Eurocom Entertainment Software,E10+,console,great,good
Army Men World War: Final Front,PS,2001,Action,3DO,0.24,0.17,0,0.03,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Transformers: Fall of Cybertron,X360,2012,Action,Activision,0.28,0.12,0,0.04,0.44,79,52,83,160,High Moon Studios,T,console,outstanding,great
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PSP,2010,Shooter,Sony Computer Entertainment,0.17,0.13,0.06,0.08,0.44,74,51,80,20,Slant Six,T,handheld,great,great
MX Unleashed,XB,2004,Racing,THQ,0.34,0.08,0,0.02,0.44,81,18,93,12,Rainbow Studios,E,console,incredible,outstanding
Puppy Luv: Spa and Resort,DS,2007,Simulation,Activision,0.4,0,0,0.03,0.44,NA,NA,NA,NA,Humagade,E,handheld,NA,NA
Jikkyou Powerful Pro Yakyuu 9,PS2,2002,Sports,Konami Digital Entertainment,0,0,0.44,0,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Grind Session,PS,2e3,Sports,Sony Computer Entertainment,0.24,0.17,0,0.03,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Naruto: Gekito Ninja Taisen! 3,GC,2004,Fighting,Tomy Corporation,0,0,0.43,0.01,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Madden NFL 12,Wii,2011,Sports,Electronic Arts,0.41,0,0,0.03,0.44,NA,NA,62,5,EA Tiburon,E,console,good,NA
Wario World,GC,2003,Platform,Nintendo,0.34,0.09,0,0.01,0.44,71,30,72,44,Treasure,E,console,great,great
DmC: Devil May Cry,X360,2013,Action,Capcom,0.26,0.12,0.01,0.04,0.44,86,65,51,1438,Ninja Theory,M,console,average,outstanding
Scooby-Doo! Mystery Mayhem,GBA,2003,Action,THQ,0.31,0.12,0,0.01,0.44,53,6,NA,NA,Artificial Mind and Movement,E,handheld,NA,average
Super Breakout,2600,NA,Puzzle,Atari,0.41,0.03,0,0,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
FIFA Soccer 13,PSV,2012,Action,Electronic Arts,0,0.28,0.05,0.11,0.44,57,9,41,89,Electronic Arts,E,handheld,average,average
The Legend of Spyro: Dawn of the Dragon,PS3,2008,Platform,Vivendi Games,0.19,0.18,0,0.07,0.44,59,22,66,36,Etranges Libellules,E10+,console,good,average
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,PS2,2003,Misc,Namco Bandai Games,0,0,0.44,0,0.44,NA,NA,NA,NA,NA,NA,console,NA,NA
Samurai Warriors 3,Wii,2009,Action,Nintendo,0.09,0.02,0.32,0.01,0.44,55,26,72,22,Omega Force,T,console,great,average
