Date,SB,Attendance,QB  Winner,Coach Winner,Winner,Winning Pts,QB Loser,Coach Loser,Loser,Losing Pts,MVP,Stadium,City,State,Point Difference,Referee,Umpire,Head Linesman,Line Judge,Field Judge,Back Judge,Side Judge
9-Jan-77,XI,103438,Kenny Stabler,John Madden,Oakland Raiders,32,Fran Tarkenton,Bud Grant,Minnesota Vikings,14,Fred Biletnikoff,Rose Bowl,Pasadena,California,18,Jim Tunney,Lou Palazzi,Ed Marion,Bill Swanson,Armen Terzian,Tom Kelleher,
15-Jan-78,XII,76400,Roger Staubach,Tom Landry,Dallas Cowboys,27,Craig Morton,Red Miller,Denver Broncos,10,"Harvey Martin, Randy White",Superdome,New Orleans,Louisiana,17,Jim Tunney,Joe Connell,Tony Veteri,Art Holst,Bob Wortman,Ray Douglas,
21-Jan-79,XIII,79484,Terry Bradshaw,Chuck Noll,Pittsburgh Steelers,35,Roger Staubach,Tom Landry,Dallas Cowboys,31,Terry Bradshaw,Orange Bowl,Miami,Florida,4,Pat Haggerty,Art Demmas,Jerry Bergman,Jack Fette,Fred Swearingen,Pat Knight,Dean Look
20-Jan-80,XIV,103985,Terry Bradshaw,Chuck Noll,Pittsburgh Steelers,31,Vince Ferragamo,Ray Malavasi,Los Angeles Rams,19,Terry Bradshaw,Rose Bowl,Pasadena,California,12,Fred Silva,Al Conway,Burl Toler,Bob Beeks,Charley Musser,Stan Javie,Ben Tompkins
25-Jan-81,XV,76135,Jim Plunkett,Tom Flores,Oakland Raiders,27,Ron Jaworski,Dick Vermeil,Philadelphia Eagles,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,17,Ben Dreith,Frank Sinkovitz,Tony Veteri,Tom Dooley,Fritz Graf,Tom Kelleher,Dean Look
24-Jan-82,XVI,81270,Joe Montana,Bill Walsh,San Francisco 49ers,26,Ken Anderson,Forrest Gregg,Cincinnati Bengals,21,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,5,Pat Haggerty,Al Conway,Jerry Bergman,Bob Beeks,Don Hakes,Bill Swanson,Bob Rice
30-Jan-83,XVII,103667,Joe Theismann,Joe Gibbs,Washington Redskins,27,David Woodley,Don Shula,Miami Dolphins,17,John Riggins,Rose Bowl,Pasadena,California,10,Jerry Markbreit,Art Demmas,Dale Hamer,Bill Reynolds,Don Orr,Dick Hantak,Dave Parry
22-Jan-84,XVIII,72920,Jim Plunkett,Tom Flores,Los Angeles Raiders,38,Joe Theismann,Joe Gibbs,Washington Redskins,9,Marcus Allen,Tampa Stadium,Tampa,Florida,29,Gene Barth,Gordon Wells,Jerry Bergman,Bob Beeks,Fritz Graf,Gil Mace,Ben Tompkins
20-Jan-85,XIX,84059,Joe Montano,Bill Walsh,San Francisco 49ers,38,Dan Marino,Don Shula,Miami Dolphins,16,Joe Montana,Stanford Stadium,Palo Alto,California,22,Pat Haggerty,Tom Hensley,Leo Miles,Ray Dodez,Bob Lewis,Tom Kelleher,Bill Quinby
26-Jan-86,XX,73818,Jim McMahon,Mike Ditka,Chicago Bears,46,"Tony Eason, Steve Grogan",Raymond Berry,New England Patriots,10,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,36,Red Cashion,Ron Botchan,Dale Williams,Bama Glass,Jack Vaughan,Al Jury,Bob Rice
25-Jan-87,XXI,101063,Phil Simms,Bill Parcells,New York Giants,39,John Elway,Dan Reeves,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California,19,Jerry Markbreit,Bob Boylston,Terry Gierke,Bob Beeks,Pat Mallette,Jim Poole,Gil Mace
31-Jan-88,XXII,73302,Doug Williams,Joe Gibbs¾,Washington Redskins,42,John Elway,Dan Reeves¾,Denver Broncos,10,Doug Williams,Jack Murphy Stadium,San Diego,California,32,Bob McElwee,Al Conway,Dale Hamer,Jack Fette,Johnny Grier,Al Jury,Don Wedge
22-Jan-89,XXIII,75129,Joe Montana,Bill Walsh¾,San Francisco 49ers,20,Boomer Esiason,Sam Wyche,Cincinnati Bengals,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,4,Jerry Seeman,Gordon Wells,Jerry Bergman,Bob Beeks,Bobby Skelton,Paul Baetz,Gary Lane
28-Jan-90,XXIV,72919,Joe Montana,George Seifert,San Francisco 49ers,55,John Elway,Dan Reeves¾,Denver Broncos,10,Joe Montana,Louisiana Superdome,New Orleans,Louisiana,45,Dick Jorgensen,Hendi Ancich,Earnie Frantz,Ron Blum,Don Orr,Al Jury,Gerald Austin
27-Jan-91,XXV,73813,Jeff Hostetler,Bill Parcells¾,New York Giants,20,Jim Kelly,Marv Levy,Buffalo Bills,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,1,Jerry Seeman,Art Demmas,Sid Semon,Dick McKenzie,Jack Vaughan,Banks Williams,Larry Nemmers
26-Jan-92,XXVI,63130,Mark Rypien,Joe Gibbs¾,Washington Redskins,37,Jim Kelly,Marv Levy¾,Buffalo Bills,24,Mark Rypien,Metrodome,Minneapolis,Minnesota,13,Jerry Markbreit,Bob Boylston,Dale Williams,Ron Blum,Ed Merrifield,Paul Baetz,Dick Creed
31-Jan-93,XXVII,98374,Troy Aikman,Jimmy Johnson,Dallas Cowboys,52,"Jim Kelly, Frank Reich",Marv Levy¾,Buffalo Bills,17,Troy Aikman,Rose Bowl,Pasadena,California,35,Dick Hantak,Ron Botchan,Ron Phares,Dick McKenzie,Donnie Hampton,Jim Poole,Dean Look
30-Jan-94,XXVIII,72817,Troy Aikman,Jimmy Johnson¾,Dallas Cowboys,30,Jim Kelly,Marv Levy¾,Buffalo Bills,13,Emmitt Smith,Georgia Dome,Atlanta,Georgia,17,Bob McElwee,Art Demmas,Sid Semon,Tom Barnes,Don Orr,Al Jury,Nate Jones
29-Jan-95,XXIX,74107,Steve Young,George Seifert¾,San Francisco 49ers,49,Stan Humphreys,Bobby Ross,San Diego Chargers,26,Steve Young,Joe Robbie Stadium,Miami Gardens,Florida,23,Jerry Markbreit,Ron Botchan,Ron Phares,Ron Baynes,Jack Vaughan,Tim Millis,Tom Fincken
28-Jan-96,XXX,76347,Troy Aikman,Barry Switzer,Dallas Cowboys,27,Neil O'Donnell,Bill Cowher,Pittsburgh Steelers,17,Larry Brown,Sun Devil Stadium,Tempe,Arizona,10,Red Cashion,John Keck,Paul Weidner,Dale Orem,Don Hakes,Dick Creed,Bill Carollo
26-Jan-97,XXXI,72301,Brett Favre,Mike Holmgren,Green Bay Packers,35,Drew Bledsoe,Bill Parcells,New England Patriots,21,Desmond Howard,Louisiana Superdome,New Orleans,Louisiana,14,Gerald Austin,Ron Botchan,Earnie Frantz,Jeff Bergman,Phil Luckett,Scott Steenson,Tom Fincken
25-Jan-98,XXXII,68912,John Elway,Mike Shanahan,Denver Broncos,31,Brett Favre,Mike Holmgren,Green Bay Packers,24,Terrell Davis,Qualcomm Stadium,San Diego,California,7,Ed Hochuli,Jim Quirk,John Schleyer,Ben Montgomery,Don Dorkowski,Paul Baetz,Doug Toole
31-Jan-99,XXXIII,74803,John Elway,Mike Shanahan¾,Denver Broncos,34,Chris Chandler,Dan Reeves¾,Atlanta Falcons,19,John Elway,Pro Player Stadium,Miami Gardens,Florida,15,Bernie Kukar,Jim Daopoulos,Sanford Rivers,Ron Baynes,Tim Millis,Don Hakes,Gary Lane
30-Jan-00,XXXIV,72625,Kurt Warner,Dick Vermeil,St. Louis Rams,23,Steve McNair,Jeff Fisher,Tennessee Titans,16,Kurt Warner,Georgia Dome,Atlanta,Georgia,7,Bob McElwee,Ron Botchan,Earnie Frantz,Byron Boston,Al Jury,Bill Leavy,Tom Fincken
28-Jan-01,XXXV,71921,Trent Dilfer,Brian Billick,Baltimore Ravens,34,Kerry Collins,Jim Fassel,New York Giants,7,Ray Lewis,Raymond James Stadium,Tampa,Florida,27,Gerald Austin,Chad Brown,"Tony Veteri, Jr.",Walt Anderson,Bill Lovett,Bill Schmitz,Doug Toole
3-Feb-02,XXXVI,72922,Tom Brady,Bill Belichick,New England Patriots,20,Kurt Warner,Mike Martz,St. Louis Rams,17,Tom Brady,Louisiana Superdome,New Orleans,Louisiana,3,Bernie Kukar,Jeff Rice,Mark Hittner,Ron Phares,Pete Morelli,Scott Green,Laird Hayes
26-Jan-03,XXXVII,67603,Brad Johnson,Jon Gruden,Tampa Bay Buccaneers,48,Rich Gannon,Bill Callahan,Oakland Raiders,21,Dexter Jackson,Qualcomm Stadium,San Diego,California,27,Bill Carollo,Ed Coukart,Dale Williams,Mark Steinkerchner,Tom Sifferman,Don Carey,Rick Patterson
1-Feb-04,XXXVIII,71525,Tom Brady,Bill Belichick¾,New England Patriots,32,Jake Delhomme,John Fox,Carolina Panthers,29,Tom Brady,Reliant Stadium,Houston,Texas,3,Ed Hochuli,Jeff Rice,Mark Hittner,Ben Montgomery,Tom Sifferman,Scott Green,Laird Hayes
6-Feb-05,XXXIX,78125,Tom Brady,Bill Belichick¾,New England Patriots,24,Donovan McNabb,Andy Reid,Philadelphia Eagles,21,Deion Branch,Alltel Stadium,Jacksonville,Florida,3,Terry McAulay,Carl Paganelli,Gary Slaughter,Mark Steinkerchner,Tom Sifferman,Tony Steratore,Rick Patterson
5-Feb-06,XL,68206,Ben Roethlisberger,Bill Cowher,Pittsburgh Steelers,21,Matt Hasselbeck,Mike Holmgren¾,Seattle Seahawks,10,Hines Ward,Ford Field,Detroit,Michigan,11,Bill Leavy,Garth DeFelice,Mark Hittner,Mark Perlman,Steve Zimmer,Bob Waggoner,Tom Hill
4-Feb-07,XLI,74512,Peyton Manning,Tony Dungy,Indianapolis Colts,29,Rex Grossman,Lovie Smith,Chicago Bears,17,Peyton Manning,Dolphin Stadium,Miami Gardens,Florida,12,Tony Corrente,Carl Paganelli,George Hayward,Ron Marinucci,Jim Saracino,Perry Paganelli,John Parry
3-Feb-08,XLII,71101,Eli Manning,Tom Coughlin,New York Giants,17,Tom Brady,Bill Belichick,New England Patriots,14,Eli Manning,University of Phoenix Stadium,Glendale,Arizona,3,Mike Carey[3],Tony Michalek,Gary Slaughter,Carl Johnson,Boris Cheek,Scott Helverson,Larry Rose
1-Feb-09,XLIII,70774,Ben Roethlisberger,Mike Tomlin,Pittsburgh Steelers,27,Kurt Warner,Ken Whisenhunt,Arizona Cardinals,23,Santonio Holmes,Raymond James Stadium,Tampa,Florida,4,Terry McAulay,Roy Ellison,Derrick Bowers,Mark Perlman,Greg Gautreaux,Keith Ferguson,Michael Banks
7-Feb-10,XLIV,74059,Drew Brees,Sean Payton,New Orleans Saints,31,Peyton Manning,Jim Caldwell,Indianapolis Colts,17,Drew Brees,Sun Life Stadium,Miami Gardens,Florida,14,Scott Green[4],Undrey Wash,John McGrath,Jeff Seeman,Rob Vernatchi,Greg Steed,Greg Meyer
6-Feb-11,XLV,103219,Aaron Rodgers,Mike McCarthy,Green Bay Packers,31,Ben Roethlisberger,Mike Tomlin,Pittsburgh Steelers,25,Aaron Rodgers,Cowboys Stadium,Arlington,Texas,6,Walt Anderson[5],Chad Brown,Kent Payne,John Hussey,Doug Rosenbaum,Scott Helverson,Mike Weatherford
5-Feb-12,XLVI,68658,Eli Manning,Tom Coughlin¾,New York Giants,21,Tom Brady,Bill Belichick¾,New England Patriots,17,Eli Manning,Lucas Oil Stadium,Indianapolis,Indiana,4,John Parry,Carl Paganelli,Tom Stabile,Gary Arthur,Gary Cavaletto,Tony Steratore,Laird Hayes
3-Feb-13,XLVII,71024,Joe Flacco,John Harbaugh,Baltimore Ravens,34,Colin Kaepernick,Jim Harbaugh,San Francisco 49ers,31,Joe Flacco,Mercedes-Benz Superdome,New Orleans,Louisiana,3,Jerome Boger,Darrell Jenkins,Steve Stelljes,Byron Boston,Craig Wrolstad,Dino Paganelli,Joe Larrew
2-Feb-14,XLVIII,82529,Russell Wilson,Pete Carroll,Seattle Seahawks,43,Peyton Manning,John Fox¾,Denver Broncos,8,Malcolm Smith,MetLife Stadium,East Rutherford,New Jersey,35,Terry McAulay,Carl Paganelli,Jim Mello,Tom Symonette,Scott Steenson,Steve Freeman,Dave Wyant
1-Feb-15,XLIX,70288,Tom Brady,Bill Belichick¾,New England Patriots,28,Russell Wilson,Pete Carroll,Seattle Seahawks,24,Tom Brady,University of Phoenix Stadium,Glendale,Arizona,4,Bill Vinovich,Bill Schuster,Dana McKenzie,Mark Perlman,Bob Waggoner,Terrence Miles,Tom Hill
7-Feb-16,L ,71088,Peyton Manning,Gary Kubiak,Denver Broncos,24,Cam Newton,Ron Rivera,Carolina Panthers,10,Von Miller,Levi's Stadium,Santa Clara,California,14,Clete Blakeman,Jeff Rice,Wayne Mackie,Rusty Baynes,Boris Cheek,Keith Ferguson,Scott Edwards
5-Feb-17,LI ,70807,Tom Brady,Bill Belichick¾,New England Patriots,34,Matt Ryan,Dan Quinn,Atlanta Falcons,28,Tom Brady,NRG Stadium,Houston,Texas,6,Carl Cheffers,Dan Ferrell,Kent Payne,Jeff Seeman,Doug Rosenbaum,Todd Prukop,Dyrol Prioleau
