Golden;Trusted judgments;Last judgment at;birthplace;birthplace:confidence;Date of birth;date_of_birth:confidence;Race / ethnicity;race_ethnicity:confidence;Religion;religion:confidence;Sexual orientation;sexual_orientation:confidence;Year of award;year_of_award:confidence;Award;Bio;birthplace_gold;date_of_birth_gold;Movie;Person;race_ethnicity_gold;religion_gold;sexual_orientation_gold;year_of_award_gold
FALSE;3;2015-02-10T08:57:00+07:00;Shipley, Yorkshire, England;1;2028-06-05;1;White;1;;1;Bisexual;1;1964;1;Best Director;http://www.nndb.com/people/249/000043120/;;;Tom Jones;Tony Richardson;;;;
FALSE;3;2015-02-10T09:01:00+07:00;London, England;1;2026-02-16;1;White;1;;1;Gay;1;1969;1;Best Director;http://www.nndb.com/people/771/000032675/;;;Midnight Cowboy;John Schlesinger;;;;
FALSE;3;2015-02-10T09:05:00+07:00;Bascom, Fl;1;2041-01-14;1;White;1;Roman Catholic;1;Straight;1;1977;1;Best Actress;http://www.nndb.com/people/884/000022818/;;;Network;Faye Dunaway;;;;
FALSE;3;2015-02-10T08:48:00+07:00;Salt Lake City, Ut;1;1894-04-23;1;White;1;Roman Catholic;1;Straight;1;1933;1;Best Director;http://www.nndb.com/people/292/000044160/;;;Bad Girl;Frank Borzage;;;;
FALSE;3;2015-02-10T08:43:00+07:00;Philadelphia, Pa;1;1879-08-15;1;White;1;Roman Catholic;1;Straight;1;1945;1;Best Supporting Actress;http://www.nndb.com/people/743/000043614/;;;None but the Lonely Heart;Ethel Barrymore;;;;
FALSE;3;2015-02-10T09:04:00+07:00;Arlington, Va;1;2064-07-26;1;White;1;;1;Straight;1;2010;1;Best Actress;http://www.nndb.com/people/601/000023532/;;;The Blind Side;Sandra Bullock;;;;
FALSE;3;2015-02-10T09:12:00+07:00;Cape Elizabeth, Me;1;1894-02-01;1;White;1;Roman Catholic;1;Bisexual;1;1941;1;Best Director;http://www.nndb.com/people/458/000032362/;;;The Grapes of Wrath;John Ford;;;;
FALSE;3;2015-02-10T09:02:00+07:00;Stockholm, Sweden;1;2015-08-29;1;White;1;;1;Straight;1;1975;1;Best Supporting Actress;http://www.nndb.com/people/836/000024764/;;;Murder on the Orient Express;Ingrid Bergman;;;;
FALSE;3;2015-02-10T08:59:00+07:00;Humacao, Puerto Rico;1;2031-12-11;1;Hispanic;1;;1;Straight;1;1962;1;Best Supporting Actress;http://www.nndb.com/people/463/000023394/;;;West Side Story;Rita Moreno;;;;
FALSE;3;2015-02-10T11:08:00+07:00;Chicago, Il;1;2051-07-21;1;White;1;Anglican/episcopalian;1;Straight;1;1998;1;Best Supporting Actor;http://www.nndb.com/people/606/000022540/;;;Good Will Hunting;Robin Williams;;;;
FALSE;3;2015-02-10T08:51:00+07:00;Samrong Young, Cambodia;1;2040-03-22;1;Asian;1;Buddhist;1;Straight;1;1985;1;Best Supporting Actor;http://www.nndb.com/people/093/000063901/;;;The Killing Fields;Haing S. Ngor;;;;
FALSE;3;2015-02-10T10:45:00+07:00;Walton-on-Thames, Surrey, England;1;2035-10-01;1;White;1;;1;Straight;1;1965;1;Best Actress;http://www.nndb.com/people/874/000023805/;;;Mary Poppins;Julie Andrews;;;;
FALSE;3;2015-02-10T08:52:00+07:00;New York City;1;1899-07-07;1;White;1;;0.6571;Gay;0.6571;1965;1;Best Director;http://www.nndb.com/people/373/000041250/;;;My Fair Lady;George Cukor;;;;
FALSE;3;2015-02-10T09:06:00+07:00;Birkenhead, Cheshire, England;1;2036-05-09;1;White;1;;1;Straight;1;1971;1;Best Actress;http://www.nndb.com/people/799/000063610/;;;Women in Love;Glenda Jackson;;;;
FALSE;3;2015-02-10T09:29:00+07:00;New York City;1;2043-08-17;1;White;1;Roman Catholic;1;Straight;1;1981;1;Best Actor;http://www.nndb.com/people/765/000023696/;;;Raging Bull;Robert De Niro;;;;
FALSE;3;2015-02-10T08:51:00+07:00;New Brunswick, Nj;1;2044-09-25;1;White;1;Jewish;1;Straight;1;1988;1;Best Actor;http://www.nndb.com/people/614/000024542/;;;Wall Street;Michael Douglas;;;;
FALSE;3;2015-02-10T09:06:00+07:00;Hoboken, Nj;1;2015-12-12;1;White;1;;1;Straight;1;1954;1;Best Supporting Actor;http://www.nndb.com/people/300/000026222/;;;From Here to Eternity;Frank Sinatra;;;;
FALSE;3;2015-02-10T09:04:00+07:00;Burbank, Ca;1;2060-08-17;1;White;1;Roman Catholic;1;Straight;1;2003;1;Best Actor;http://www.nndb.com/people/331/000025256/;;;Mystic River;Sean Penn;;;;
FALSE;3;2015-02-10T11:02:00+07:00;Hastings, Ne;0.6667;2037-04-27;1;White;1;;1;Bisexual;1;1967;1;Best Supporting Actress;http://www.nndb.com/people/961/000063772/;;;Who's Afraid of Virginia Woolf?;Sandy Dennis;;;;
FALSE;3;2015-02-10T08:46:00+07:00;Brooklyn, Ny;1;2064-12-04;1;White;1;;1;Straight;1;1993;1;Best Supporting Actress;http://www.nndb.com/people/985/000025910/;;;My Cousin Vinny;Marisa Tomei;;;;
FALSE;3;2015-02-10T11:02:00+07:00;Chiswick, London, England;1;2045-07-26;1;White;1;;1;Straight;1;2007;1;Best Actress;http://www.nndb.com/people/907/000044775/;;;The Queen;Helen Mirren;;;;
FALSE;3;2015-02-10T10:45:00+07:00;Reading, Berkshire, England;1;2065-08-01;1;White;1;;1;Straight;1;2000;1;Best Director;http://www.nndb.com/people/059/000025981/;;;American Beauty;Sam Mendes;;;;
FALSE;3;2015-02-10T10:48:00+07:00;New York City;1;2024-02-19;1;White;1;;1;Straight;1;1966;1;Best Actor;http://www.nndb.com/people/314/000026236/;;;Cat Ballou;Lee Marvin;;;;
FALSE;3;2015-02-10T09:11:00+07:00;Dusseldorf, Germany;1;2010-01-12;1;White;1;Jewish;1;Straight;1;1937;1;Best Actress;http://www.nndb.com/people/796/000030706/;;;The Great Ziegfeld;Luise Rainer;;;;
FALSE;3;2015-02-10T08:53:00+07:00;Chicago, Il;1;2022-07-26;1;White;1;;1;Straight;1;1978;1;Best Supporting Actor;http://www.nndb.com/people/224/000032128/;;;Julia;Jason Robards;;;;
FALSE;3;2015-02-10T09:04:00+07:00;Los Angeles, Ca;1;2063-11-05;1;White;1;;1;Straight;1;1974;1;Best Supporting Actress;http://www.nndb.com/people/104/000024032/;;;Paper Moon;Tatum O'Neal;;;;
FALSE;3;2015-02-10T09:02:00+07:00;Reading, England;1;1975-10-05;1;White;1;;1;Straight;1;2009;1;Best Actress;http://www.nndb.com/people/582/000023513/;;;The Reader;Kate Winslet;;;;
FALSE;3;2015-02-10T09:05:00+07:00;Cloquet, Mn;1;2049-04-20;1;White;1;;1;Straight;1;1995;1;Best Actress;http://www.nndb.com/people/004/000022935/;;;Blue Sky;Jessica Lange;;;;
FALSE;3;2015-02-10T11:02:00+07:00;Sucha, Galicia, Austria;0.6667;2006-06-22;1;White;1;Jewish;1;Straight;1;1946;1;Best Director;http://www.nndb.com/people/982/000024910/;;;The Lost Weekend;Billy Wilder;;;;
FALSE;3;2015-02-10T08:52:00+07:00;Chicago, Il;1;2012-03-22;1;White;1;;1;Straight;1;1952;1;Best Supporting Actor;http://www.nndb.com/people/553/000022487/;;;A Streetcar Named Desire;Karl Malden;;;;
TRUE;95;;Helena, Mt;1;1901-05-07;1;White;1;Roman Catholic;1;Straight;1;1953;0.9642;Best Actor;http://www.nndb.com/people/740/000031647/;;;High Noon;Gary Cooper;;;;1953
TRUE;92;;London, England;1;1971-03-07;1;White;1;Jewish;1;Straight;1;2006;1;Best Supporting Actress;http://www.nndb.com/people/309/000032213/;;;The Constant Gardener;Rachel Weisz;;Jewish;;2006
FALSE;3;2015-02-10T08:57:00+07:00;St. Louis, Mo;1;2020-08-18;1;White;1;Jewish;1;Straight;1;1966;1;Best Supporting Actress;http://www.nndb.com/people/859/000022793/;;;A Patch of Blue;Shelley Winters;;;;
FALSE;3;2015-02-10T11:02:00+07:00;Lexington, Ky;1;2061-05-06;1;White;1;;1;Straight;1;2006;1;Best Supporting Actor;http://www.nndb.com/people/763/000022697/;;;Syriana;George Clooney;;;;
FALSE;3;2015-02-10T09:02:00+07:00;Kirksville, Mo;1;2024-11-22;1;White;1;;1;Straight;1;1986;1;Best Actress;http://www.nndb.com/people/780/000043651/;;;The Trip to Bountiful;Geraldine Page;;;;
FALSE;3;2015-02-10T09:10:00+07:00;Shaker Heights, Oh;1;2025-01-26;1;White;1;Jewish;1;Straight;1;1987;1;Best Actor;http://www.nndb.com/people/804/000022738/;;;The Color of Money;Paul Newman;;;;
FALSE;3;2015-02-10T09:05:00+07:00;Quincy, Il;1;2006-05-03;1;White;1;Roman Catholic;1;Straight;1;1942;1;Best Supporting Actress;http://www.nndb.com/people/690/000042564/;;;The Great Lie;Mary Astor;;;;
FALSE;3;2015-02-10T09:13:00+07:00;Berlin, Germany;1;2031-11-06;1;White;1;Jewish;1;Straight;1;1968;1;Best Director;http://www.nndb.com/people/455/000023386/;;;The Graduate;Mike Nichols;;;;
FALSE;3;2015-02-10T11:07:00+07:00;Chicago, Il;1;1981-09-12;1;Black;1;Baptist;1;Straight;1;2007;1;Best Supporting Actress;http://www.nndb.com/people/434/000129047/;;;Dreamgirls;Jennifer Hudson;;;;
TRUE;84;;Concord, Ca;1;2056-07-09;0.9648;White;1;Born-Again Christian;1;Straight;1;1994;1;Best Actor;http://www.nndb.com/people/687/000022621/;;2056-07-09;Philadelphia;Tom Hanks;;Born-Again Christian;;1994
FALSE;3;2015-02-10T11:06:00+07:00;Hartford, Ct;1;2007-05-12;1;White;1;Atheist;1;Bisexual;1;1934;1;Best Actress;http://www.nndb.com/people/775/000023706/;;;Morning Glory;Katharine Hepburn;;;;
FALSE;3;2015-02-10T08:48:00+07:00;Felixstowe, Suffolk, England;1;2008-02-22;1;White;1;;1;Straight;1;1971;1;Best Supporting Actor;http://www.nndb.com/people/701/000030611/;;;Ryan's Daughter;John Mills;;;;
FALSE;3;2015-02-10T08:52:00+07:00;Otaro, Hokkaido, Japan;1;2029-04-03;1;Asian;1;;1;Straight;1;1958;1;Best Supporting Actress;http://www.nndb.com/people/091/000063899/;;;Sayonara;Miyoshi Umeki;;;;
FALSE;3;2015-02-10T09:06:00+07:00;Milwaukee, Wi;1;1900-04-05;1;White;1;Roman Catholic;1;Straight;1;1939;1;Best Actor;http://www.nndb.com/people/979/000024907/;;;Boys Town;Spencer Tracy;;;;
FALSE;3;2015-02-10T08:59:00+07:00;Brooklyn, Ny;1;2018-06-30;1;White;1;Roman Catholic;1;Straight;1;1959;1;Best Actress;http://www.nndb.com/people/805/000063616/;;;I Want To Live!;Susan Hayward;;;;
FALSE;3;2015-02-10T08:59:00+07:00;Misericordia, Arezzo, Tuscany, Italy;1;2052-10-27;1;White;1;;1;Straight;1;1999;1;Best Actor;http://www.nndb.com/people/259/000025184/;;;Life is Beautiful;Roberto Benigni;;;;
FALSE;3;2015-02-10T09:03:00+07:00;Chicago, Il;1;2022-07-26;1;White;1;;1;Straight;1;1977;1;Best Supporting Actor;http://www.nndb.com/people/224/000032128/;;;All the President's Men;Jason Robards;;;;
FALSE;3;2015-02-10T10:50:00+07:00;Los Angeles, Ca;1;2046-01-05;1;White;1;Atheist;1;Straight;1;1978;1;Best Actress;http://www.nndb.com/people/879/000022813/;;;Annie Hall;Diane Keaton;;;;
FALSE;3;2015-02-10T09:00:00+07:00;Na;0.6571;2056-10-04;1;White;0.6571;;1;Straight;0.6571;2013;1;Best Supporting Actor;http://www.nndb.com/people/455/000213813/;;;Django Unchained;Christoph Waltz;;;;
FALSE;3;2015-02-10T09:10:00+07:00;Denison, Ia;1;2021-01-27;1;White;1;;1;Straight;1;1954;1;Best Supporting Actress;http://www.nndb.com/people/702/000031609/;;;From Here to Eternity;Donna Reed;;;;
FALSE;3;2015-02-10T09:14:00+07:00;St. Cloud, Mn;1;2013-11-04;1;White;1;;1;Straight;1;1970;1;Best Supporting Actor;http://www.nndb.com/people/110/000063918/;;;They Shoot Horses, Don't They?;Gig Young;;;;
FALSE;3;2015-02-10T08:46:00+07:00;Cape Elizabeth, Me;1;1894-02-01;1;White;1;Roman Catholic;1;Bisexual;1;1936;1;Best Director;http://www.nndb.com/people/458/000032362/;;;The Informer;John Ford;;;;
FALSE;3;2015-02-10T09:14:00+07:00;Cleveland, Oh;1;2066-08-14;1;Multiracial;1;;1;Straight;1;2002;1;Best Actress;http://www.nndb.com/people/487/000023418/;;;Monster's Ball;Halle Berry;;;;
FALSE;3;2015-02-10T09:07:00+07:00;Longview, Tx;1;2061-07-15;1;Black;1;;1;Straight;1;2007;1;Best Actor;http://www.nndb.com/people/833/000025758/;;;The Last King of Scotland;Forest Whitaker;;;;
FALSE;3;2015-02-10T09:00:00+07:00;Cambridge, England;1;2023-08-29;1;White;1;;1;Straight;1;1982;1;Best Director;http://www.nndb.com/people/750/000023681/;;;Gandhi;Richard Attenborough;;;;
FALSE;3;2015-02-10T09:05:00+07:00;Tunbridge Wells, Kent, England;1;1883-12-11;1;White;1;Anglican/episcopalian;1;Straight;1;1936;1;Best Actor;http://www.nndb.com/people/452/000047311/;;;The Informer;Victor McLaglen;;;;
FALSE;3;2015-02-10T09:03:00+07:00;London, England;1;2014-04-02;1;White;1;Roman Catholic;1;Bisexual;1;1958;1;Best Actor;http://www.nndb.com/people/751/000023682/;;;The Bridge on the River Kwai;Alec Guinness;;;;
FALSE;3;2015-02-10T08:56:00+07:00;Brooklyn, Ny;1;2047-10-29;1;White;1;Jewish;1;Straight;1;1978;1;Best Actor;http://www.nndb.com/people/814/000022748/;;;The Goodbye Girl;Richard Dreyfuss;;;;
FALSE;3;2015-02-10T10:53:00+07:00;Lawrence, Ks;1;2020-01-30;1;White;1;Presbyterian;1;Straight;1;1956;1;Best Director;http://www.nndb.com/people/384/000044252/;;;Marty;Delbert Mann;;;;
FALSE;3;2015-02-10T08:46:00+07:00;Istanbul, Turkey;1;2009-09-07;1;White;1;;1;Straight;1;1948;1;Best Director;http://www.nndb.com/people/537/000026459/;;;Gentleman's Agreement;Elia Kazan;;;;
FALSE;3;2015-02-10T09:06:00+07:00;Oak Park, Il;1;2035-12-21;1;White;1;;1;Straight;1;1976;0.6667;Best Director;http://www.nndb.com/people/679/000032583/;;;Rocky;John G. Avildsen;;;;
TRUE;90;;Walters, Ok;1;2010-12-13;1;White;1;;1;Straight;1;1943;1;Best Supporting Actor;http://www.nndb.com/people/680/000042554/;;;Johnny Eager;Van Heflin;;Na;;
FALSE;3;2015-02-10T09:18:00+07:00;Uvalde, Tx;1;1969-11-04;1;White;1;;1;Straight;1;2014;1;Best Actor;http://www.nndb.com/people/583/000023514/;;;Dallas Buyers Club;Matthew McConaughey;;;;
FALSE;3;2015-02-10T09:13:00+07:00;Silver Spring, Md;1;2045-11-21;1;White;1;Buddhist;1;Straight;1;1970;1;Best Supporting Actress;http://www.nndb.com/people/996/000022930/;;;Cactus Flower;Goldie Hawn;;;;
FALSE;3;2015-02-10T09:00:00+07:00;Kansas City, Mo;1;2048-03-28;1;White;1;;1;Straight;1;1995;1;Best Supporting Actress;http://www.nndb.com/people/894/000024822/;;;Bullets Over Broadway;Dianne Wiest;;;;
FALSE;3;2015-02-10T10:53:00+07:00;Rueil-Malmaison, Hauts-De-Seine, France;1;1972-06-19;1;White;1;;1;Straight;1;2012;1;Best Actor;http://www.nndb.com/people/303/000281457/;;;The Artist;Jean Dujardin;;;;
FALSE;3;2015-02-10T08:51:00+07:00;Swampscott, Ma;1;1894-07-25;1;White;1;;1;Straight;1;1938;1;Best Supporting Actor;http://www.nndb.com/people/347/000032251/;;;Come and Get It;Walter Brennan;;;;
FALSE;3;2015-02-10T09:14:00+07:00;West Covina, Ca;1;2058-10-16;1;White;1;Roman Catholic;1;Straight;1;2004;1;Best Supporting Actor;http://www.nndb.com/people/614/000025539/;;;Mystic River;Tim Robbins;;;;
FALSE;3;2015-02-10T09:04:00+07:00;Hartford, Ct;1;2007-05-12;1;White;1;Atheist;1;Bisexual;1;1982;1;Best Actress;http://www.nndb.com/people/775/000023706/;;;On Golden Pond;Katharine Hepburn;;;;
FALSE;3;2015-02-10T11:07:00+07:00;Milwaukee, Wi;1;1900-04-05;1;White;1;Roman Catholic;1;Straight;1;1938;1;Best Actor;http://www.nndb.com/people/979/000024907/;;;Captains Courageous;Spencer Tracy;;;;
FALSE;3;2015-02-10T08:55:00+07:00;Winterset, Ia;1;2007-05-26;1;White;1;Roman Catholic;1;Straight;1;1970;1;Best Actor;http://www.nndb.com/people/605/000023536/;;;True Grit;John Wayne;;;;
FALSE;3;2015-02-10T09:02:00+07:00;Elmhurst, Ny;1;2046-12-14;1;White;1;Roman Catholic;1;Straight;1;1963;1;Best Supporting Actress;http://www.nndb.com/people/775/000022709/;;;The Miracle Worker;Patty Duke;;;;
FALSE;3;2015-02-10T11:07:00+07:00;Rome, Italy;1;2008-03-07;1;White;1;;1;Straight;1;1956;1;Best Actress;http://www.nndb.com/people/806/000063617/;;;The Rose Tattoo;Anna Magnani;;;;
FALSE;3;2015-02-10T08:46:00+07:00;Ilford, Essex, England;1;2034-12-28;1;White;1;;1;Straight;1;1979;1;Best Supporting Actress;http://www.nndb.com/people/260/000030170/;;;California Suite;Maggie Smith;;;;
FALSE;3;2015-02-10T08:56:00+07:00;Richmond, Va;1;2034-04-24;1;White;1;Baptist;1;Straight;1;1984;1;Best Actress;http://www.nndb.com/people/799/000023730/;;;Terms of Endearment;Shirley MacLaine;;;;
FALSE;3;2015-02-10T09:04:00+07:00;London, England;1;2032-02-27;1;White;1;Jewish;1;Straight;1;1961;1;Best Actress;http://www.nndb.com/people/624/000023555/;;;Butterfield 8;Elizabeth Taylor;;;;
FALSE;3;2015-02-10T08:46:00+07:00;O'fallon, Il;1;2018-04-17;1;White;1;;1;Straight;1;1954;1;Best Actor;http://www.nndb.com/people/210/000022144/;;;Stalag 17;William Holden;;;;
FALSE;3;2015-02-10T09:03:00+07:00;Glasgow, Scotland;1;1886-02-02;1;White;1;;1;Straight;0.6842;1930;1;Best Director;http://www.nndb.com/people/626/000042500/;;;The Divine Lady;Frank Lloyd;;;;
FALSE;3;2015-02-10T09:04:00+07:00;Norwood, Oh;1;2034-09-16;1;White;1;;1;Gay;1;1962;1;Best Supporting Actor;http://www.nndb.com/people/119/000063927/;;;West Side Story;George Chakiris;;;;
FALSE;3;2015-02-10T08:59:00+07:00;Kansas City, Mo;1;1885-04-01;1;White;1;;1;Straight;1;1932;1;Best Actor;http://www.nndb.com/people/976/000043847/;;;The Champ;Wallace Beery;;;;
FALSE;3;2015-02-10T08:49:00+07:00;Washington, Dc;1;1900-10-10;1;White;1;;1;Straight;1;1932;1;Best Actress;http://www.nndb.com/people/908/000031815/;;;The Sin of Madelon Claudet;Helen Hayes;;;;
FALSE;3;2015-02-10T08:56:00+07:00;London, England;1;1972-01-01;1;White;1;;1;Na;1;2011;1;Best Director;http://www.nndb.com/people/093/000268286/;;;The King's Speech;Tom Hooper;;;;
FALSE;3;2015-02-10T11:02:00+07:00;New York City;1;2010-03-08;1;White;1;;1;Straight;1;1949;1;Best Supporting Actress;http://www.nndb.com/people/085/000063893/;;;Key Largo;Claire Trevor;;;;
TRUE;81;;Manchester, England;1;2056-10-20;1;White;1;Roman Catholic;0.9624;Straight;1;2009;0.9643;Best Director;http://www.nndb.com/people/887/000044755/;;;Slumdog Millionaire;Danny Boyle;;Roman Catholic;;
TRUE;91;;Los Angeles, Ca;1;1972-09-27;1;White;1;Jewish;1;Straight;1;1999;1;Best Actress;http://www.nndb.com/people/592/000023523/;Los Angeles, Ca;;Shakespeare in Love;Gwyneth Paltrow;;;;
FALSE;3;2015-02-10T09:14:00+07:00;Tulsa, Ok;1;2019-03-02;1;White;1;Roman Catholic;1;Straight;1;1944;1;Best Actress;http://www.nndb.com/people/809/000063620/;;;The Song of Bernadette;Jennifer Jones;;;;
FALSE;3;2015-02-10T09:12:00+07:00;Bermondsey, England;1;2033-03-14;1;White;1;;1;Straight;1;2000;1;Best Supporting Actor;http://www.nndb.com/people/754/000022688/;;;The Cider House Rules;Michael Caine;;;;
FALSE;3;2015-02-10T09:18:00+07:00;Omaha, Ne;1;2024-04-03;1;White;1;Deist;1;Bisexual;0.6667;1973;1;Best Actor;http://www.nndb.com/people/721/000022655/;;;The Godfather;Marlon Brando;;;;
FALSE;3;2015-02-10T11:08:00+07:00;South Orange, Nj;1;2059-07-26;1;White;1;;1;Matter of Dispute;0.6667;2000;1;Best Actor;http://www.nndb.com/people/591/000023522/;;;American Beauty;Kevin Spacey;;;;
TRUE;87;;Los Angeles, Ca;0.9593;1975-06-04;1;White;1;Buddhist;1;Bisexual;1;2000;1;Best Supporting Actress;http://www.nndb.com/people/493/000023424/;;;Girl, Interrupted;Angelina Jolie;;Buddhist;Bisexual;2000
FALSE;3;2015-02-10T09:00:00+07:00;London, England;1;1971-03-07;1;White;1;Jewish;1;Straight;1;2006;0.6857;Best Supporting Actress;http://www.nndb.com/people/309/000032213/;;;The Constant Gardener;Rachel Weisz;;;;
FALSE;3;2015-02-10T09:04:00+07:00;New York City;1;2025-02-18;1;White;1;;1;Straight;1;1968;1;Best Supporting Actor;http://www.nndb.com/people/001/000022932/;;;Cool Hand Luke;George Kennedy;;;;
FALSE;3;2015-02-10T11:08:00+07:00;Joliet, Il;1;2016-03-17;1;White;1;Roman Catholic;1;Straight;1;1950;1;Best Supporting Actress;http://www.nndb.com/people/086/000063894/;;;All the King's Men;Mercedes McCambridge;;;;
FALSE;3;2015-02-10T09:00:00+07:00;Atlanta, Ga;1;2063-01-14;1;White;1;Atheist;1;Straight;1;2001;1;Best Director;http://www.nndb.com/people/907/000025832/;;;Traffic;Steven Soderbergh;;;;
FALSE;3;2015-02-10T09:05:00+07:00;New York City;1;1899-12-25;1;White;1;;1;Straight;1;1952;1;Best Actor;http://www.nndb.com/people/837/000024765/;;;The Africa Queen;Humphrey Bogart;;;;
TRUE;86;;London, England;1;2032-02-27;1;White;1;Jewish;1;Straight;1;1967;1;Best Actress;http://www.nndb.com/people/624/000023555/;London, England;;Who's Afraid of Virginia Woolf?;Elizabeth Taylor;;;;1967
FALSE;3;2015-02-10T09:16:00+07:00;Chicago, Il;1;2057-06-23;1;White;1;Disciples of Christ;1;Straight;1;1997;1;Best Actress;http://www.nndb.com/people/517/000025442/;;;Fargo;Frances McDormand;;;;
FALSE;3;2015-02-10T08:55:00+07:00;San Francisco, Ca;1;2030-05-31;1;White;1;;1;Straight;1;1993;1;Best Director;http://www.nndb.com/people/849/000022783/;;;Unforgiven;Clint Eastwood;;;;
FALSE;3;2015-02-10T11:06:00+07:00;London, England;1;2057-04-29;1;White;1;;1;Straight;1;1990;1;Best Actor;http://www.nndb.com/people/788/000022722/;;;My Left Foot;Daniel Day-Lewis;;;;
FALSE;3;2015-02-10T09:04:00+07:00;Chicago, Il;1;1899-02-23;1;White;1;;1;Straight;1;1932;1;Best Director;http://www.nndb.com/people/544/000041421/;;;Skippy;Norman Taurog;;;;
FALSE;3;2015-02-10T09:18:00+07:00;Malibu, Ca;1;2060-08-16;1;White;1;;1;Straight;1;1981;1;Best Supporting Actor;http://www.nndb.com/people/378/000024306/;;;Oridnary People;Timothy Hutton;;;;
FALSE;3;2015-02-10T08:55:00+07:00;Honolulu, Hi;1;1967-06-20;1;White;1;Roman Catholic;1;Straight;1;2003;1;Best Actress;http://www.nndb.com/people/917/000022851/;;;The Hours;Nicole Kidman;;;;
