Symbol,Company,Market,SET50,SET100,SETHD,Industry,Sector,Address,Zip code,Tel,Fax,Website
TRT,TIRATHAI PUBLIC COMPANY LIMITED,mai,False,False,False,Resources,-,"BANGPOO INDUSTRIAL ESTATE, 516/1 MOO 4, AMPHOE MUEANG Samut Prakarn",10280,"0-2709-4499, 0-2323-0818, 0-2709-3237-8","0-2323-0910, 0-2709-3236",www.tirathai.co.th
TRU,THAI RUNG UNION CAR PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Automotive,"304 Macharoen Road, Nong Khang Phlu, Nong Khaem Bangkok",10160,"0-2420-0076, 0-2431-0065, 0-2431-0071-2","0-2812-0844, 0-2420-3664, 0-2814-5030",http://www.thairung.co.th
TRUBB,"THAI RUBBER LATEX CORPORATION (THAILAND) PUBLIC CO.,LTD.",SET,False,False,False,Agro & Food Industry,Agribusiness,"99/1-3 BANGNA-TRAT ROAD,KM 7, BANGKAEW, BANG PLEE Samut Prakarn",10540,"0-2033-2333, 0-2033-2300-88",0-2033-2389-99,www.thaitex.com
True,TRUE CORPORATION PUBLIC COMPANY LIMITED,SET,True,True,False,Technology,Information & Communication Technology,"TRUE TOWER, 18 RATCHADAPHISEK ROAD, HUAI KHWANG Bangkok",10310,0-2859-1111,0-2859-9134,http://www.truecorp.co.th
TSC,THAI STEEL CABLE PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Automotive,"700/737 Moo. 1, Tambol Panthong, Amphur Panthong Chonburi",20160,0-3844-7200-21,0-3844-7259-60,http://www.thaisteelcable.com
TSE,THAI SOLAR ENERGY PUBLIC COMPANY LIMITED,SET,False,False,False,Resources,Energy & Utilities,"725 Metropolis, 19th floor, Sukhumvit Road, KlongtanNua, Wattana Bangkok",10110,0-2258-4530-3,0-2258-4534,http://www.thaisolarenergy.com
TSF,THREE SIXTY FIVE PUBLIC COMPANY LIMITED,mai,False,False,False,Services,-,"1555 Soi Ladprao 94 (Panjamit), Plubpla, Wang Thong Lang Bangkok",10310,0-2957-5532-3,0-2957-5532-4,www.365pcl.com
TSI,THE THAI SETAKIJ INSURANCE PUBLIC COMPANY LIMITED,SET,False,False,False,Financials,Insurance,"160 NORTH SATHON ROAD, SILOM, BANG RAK Bangkok",10500,"0-2630-9055, 0-2630-9111",0-2267-7274,www.tsi.co.th
TSR,THIENSURAT PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Home & Office Products,"43/9, Moo 7, Soi Chuchat Arnusorn 4, Bang Talad Sub-District, Pakkred District Nonthaburi",11120,0-2819-8899,0-2962-6675,www.thiensurat.co.th
TSTE,THAI SUGAR TERMINAL PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Transportation & Logistics,"90 MOO 1,SOI SIAMSILO,POOCHAOSAMINGPRAI ROAD, PHRA PRADAENG Samut Prakarn",10130,0-2183-4567,"0-2183-4561, 0-2183-4562",www.tstegroup.com
TSTH,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Steel,"Rasa Tower 2, 20/F, 555 Phaholyothin Road, Chatuchak Bangkok",10900,0-2937-1000,0-2937-1223-4,www.tatasteelthailand.com
TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,SET,False,False,False,Services,Transportation & Logistics,"ORAKARN BLDG, 26/26-27 SOI CHIDLOM, PLOENCHIT ROAD, LUMPINI, PATHUM WAN Bangkok",10330,0-2250-0569-74,"0-2253-9497, 0-2254-8436",http://www.thoresen.com
TTCL,TTCL PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Construction Services,"159/41-44 SERM-MIT TOWER 27TH - 30TH FLOOR, SUKHUMVIT 21 (ASOKE), NORTH KLONGTOEY, WATTANA Bangkok",10110,0-2260-8505,0-2260-8525-6,www.ttcl.com
TTI,THAI TEXTILE INDUSTRY PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"385 SOI BANGMEKKHAO,SUKHUMVIT ROAD, AMPHOE MUEANG Samut Prakarn",10280,0-2703-8484,"0-2387-1983, 0-2387-0894",www.tti.co.th
TTL,TTL INDUSTRIES PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"Lumpini Tower Building, 18th Floor, 1168/47 Rama IV Road, Thungmahamek Thungmahamek, Sathorn Bangkok",10120,0-2679-9727-31,0-2679-9732-3,-
TTLPF,TALAAD THAI LEASEHOLD PROPERTY FUND,SET,False,False,False,Property & Construction,Property Fund & REITs,"1 Empire Tower, 32nd Fl., South Sathorn Rd., Yannawa, Sathorn Bangkok",10120,0-2686-6100,0-2670-0430,-
TTTM,THAI TORAY TEXTILE MILLS PUBLIC COMPANY LIMITED,SET,False,False,False,Consumer Products,Fashion,"BUBHAJIT BLDG, FLOOR 6, 20 NORTH SATHON ROAD, SILOM, BANG RAK, Bangkok",10500,"0-2238-3950-1, 0-2266-6593-4","0-2238-3959, 0-2266-6610",http://www.toray.co.th
TTW,TTW PUBLIC COMPANY LIMITED,SET,False,True,True,Resources,Energy & Utilities,"30/130 Moo 12, Buddha Monthon 5 Road, Rai Khing, Sam Pran Nakorn Phathom",73210,"0-2019-9490-3, 0-2019-9484-9",0-2420-6064,http://www.ttwplc.com
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,SET,True,True,True,Agro & Food Industry,Food & Beverage,"S.M.TOWER, FL M, 979/12 PHAHOLYOTHIN RD, SAMSENNAI, PHAYA THAI Bangkok",10400,"0-2298-0024, 0-2298-0537-41",0-2298-0553,thaiunion.com
TU-PF,T.U. DOME RESIDENTIAL COMPLEX LEASEHOLD PROPERTY FUND,SET,False,False,False,Property & Construction,Property Fund & REITs,"23A, 25 Floor, Asia Centre Building, 173/27-30, 32-33 South Sathon Road, Thungmahamek, Sathon Bangkok",10120,0-2786-2000,0-2786-2370-74,-
TVD,TV DIRECT PUBLIC COMPANY LIMITED,mai,False,False,False,Services,-,"25 Watcharaphon Road, Tarang, Bangkhen Bangkok",10230,0-2666-0999,0-2666-0488,http://www.tvdirect.tv
TVI,THAIVIVAT INSURANCE PUBLIC COMPANY LIMITED,SET,False,False,False,Financials,Insurance,"PACIFIC INSURANCE BLDG, 71 DINDAENG RD, PHAYA THAI, Bangkok",10400,"0-2248-0900, 0-2248-0910, 0-2644-6400, 0-2644-6500","0-2248-4575, 0-2248-4975",http://www.thaivivat.co.th
TVO,THAI VEGETABLE OIL PUBLIC COMPANY LIMITED,SET,False,True,True,Agro & Food Industry,Food & Beverage,"149 RAJADAPISEK RD (THAPHRA-TAKSIN), BUKHALO, THON BURI Bangkok",10600,0-2477-9020,"0-2477-9880, 0-2477-9894",www.tvothai.com
TVT,TV THUNDER PUBLIC COMPANY LIMITED,mai,False,False,False,Services,-,"1213/309 - 310 Soi Lardprao 94 (Panjamit) Srivara Road, Phlapphla, Wangthonglang Bangkok",10310,0-2559-0022,0-2559-3609,http://www.tvthunder.co.th
TWP,THAI WIRE PRODUCTS PUBLIC COMPANY LIMITED,SET,False,False,False,Industrials,Steel,"ZEER STREET BUILDING, FLOOR 7, 99/2 MOO 8, PHAHONYOTHIN ROAD, AMPHOE LAM LUK KA Pathum Thani",12130,0-2992-6867,0-2992-6870,www.thaiwireproducts.com
TWPC,THAI WAH PUBLIC COMPANY LIMITED,SET,False,False,False,Agro & Food Industry,Agribusiness,"21/59, 21/63-64 Thai Wah Tower I. 20th ? 21st Floor, South Sathorn Road, Tungmahamek Sub-District, Sathorn District Bangkok",10120,0-2285-0040,0-2285-0268,www.thaiwah.com
TWZ,TWZ CORPORATION PUBLIC COMPANY LIMITED,SET,False,False,False,Technology,Information & Communication Technology,"269 Ratchadapisek Rd., Ratchadapisek, Din Daeng Bangkok",10400,0-2275-9789,0-2275-9798,www.twz.co.th
TYCN,"TYCOONS WORLDWIDE GROUP (THAILAND) PUBLIC CO.,LTD.",SET,False,False,False,Industrials,Steel,"99 Moo 1, Tumbon Nikompattana, Amphur Nikompattana Rayong",21180,0-3365-8558,0-3863-6969,www.tycons.com
U,U CITY PUBLIC COMPANY LIMITED,SET,False,False,False,Property & Construction,Property Development,"No. 21, TST Tower Soi Choei Phuang, Viphavadi-Rangsit Road, Chomphon, Chatuchak Bangkok",10900,0-2273-8838,0-2273-8858,www.ucity.co.th
UAC,UAC GLOBAL PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"NO.1 TP&T BUILDING, FL 19, SOI VIBHAVADI RANGSIT 19, VIBHAVADI RANGSIT ROAD, CHATUCHAK SUB-DISTRICT, CHATUCHAK DISTRICT, Bangkok",10900,0-2936-1701,0-2936-1700,www.uac.co.th
UBIS,UBIS (ASIA) PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"807/1 6th Floor, Rama 3 Road, Bangpongpang, Yannawa Bangkok",10120,0-2683-0008,0-2294-2013,www.ubisasia.com
UEC,UNIMIT ENGINEERING PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"109/92-95 MOO 19, SOI SUKSAWAT, 66 SUKSAWAT ROAD, AMPHOE PHRA PRADAENG Samut Prakarn",10130,0-2463-0100,0-2463-1910,www.unimit.com
UKEM,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED,mai,False,False,False,Industrial,-,"UNION HOUSE BUILDING, 728 BOROMRATCHONNEE ROAD, BANGBUMRU, BANG PHALT Bangkok",10700,0-2881-8288,0-2433-7243-4,http://www.unionpetrochemical.com
