Menu,Serving Size (G),Calories,Protein (g),Total Carbs (g),Sodium (mg),Sugars (g),Weight Watchers,Category
OREO® 31º Below® – Small,12 oz,550,14,81,420,67,16,31º Below Mix
Reese’s® Peanut Butter Cup 31º Below® – Large,24 oz,1130,34,136,760,124,32,31º Below Mix
Reese’s® Peanut Butter Cup 31º Below® – Medium,16 oz,830,25,100,560,90,24,31º Below Mix
Reese’s® Peanut Butter Cup 31º Below® – Mini,9 oz,420,13,51,280,46,12,31º Below Mix
Reese’s® Peanut Butter Cup 31º Below® – Small,12 oz,600,18,73,400,66,17,31º Below Mix
made with M&M’s® 31º Below® – Large,24 oz,1430,30,206,510,190,40,31º Below Mix
made with M&M’s® 31º Below® – Medium,16 oz,1050,22,151,360,140,29,31º Below Mix
made with M&M’s® 31º Below® – Mini,9 oz,500,12,73,200,67,14,31º Below Mix
made with M&M’s® 31º Below® – Small,12 oz,760,16,109,270,101,21,31º Below Mix
made with Snickers® 31º Below® – Large,24 oz,1290,33,176,710,159,36,31º Below Mix
made with Snickers® 31º Below® – Medium,16 oz,950,24,129,520,116,27,31º Below Mix
made with Snickers® 31º Below® – Mini,9 oz,470,13,64,260,59,13,31º Below Mix
made with Snickers® 31º Below® – Small,12 oz,690,17,94,380,84,19,31º Below Mix
Heath® 31º Below® Pie – 1/9 Pie,118 grams,340,5,43,210,35,10,31º Below Mix
OREO® 31º Below® Pie – 1/9 Pie,127 grams,360,6,50,280,33,10,31º Below Mix
Reese’s® Peanut Butter Cup 31º Below® Pie – 1/9 Pie,129 grams,400,8,43,280,33,11,31º Below Mix
Chocolate Éclair Frozen Yogurt – 2.5 oz Scoop,2.5 oz,150,3,23,65,19,4,Bright Choices
Chocolate Éclair Frozen Yogurt – 4 oz Scoop,4 oz,230,4,37,105,30,6,Bright Choices
Fat-Free Vanilla Frozen Yogurt – 2.5 oz Scoop,2.5 oz,80,4,17,65,16,2,Bright Choices
Fat-Free Vanilla Frozen Yogurt – 4 oz Scoop,4 oz,130,6,28,105,26,4,Bright Choices
Lemon Sorbet – 2.5 oz Scoop,2.5 oz,80,0,21,10,20,2,Bright Choices
Lemon Sorbet – 4 oz Scoop,4 oz,130,0,33,15,33,4,Bright Choices
Premium Churned Light Amaretto Cherry Swirl Ice Cream – 2.5 oz Scoop,2.5 oz,130,3,22,65,19,4,Bright Choices
Premium Churned Light Amaretto Cherry Swirl Ice Cream – 4 oz Scoop,4 oz,210,5,36,105,31,6,Bright Choices
"Premium Churned Reduced Fat, No Sugar Added-Caramel Turtle Truffle Ice Cream – 2.5 oz Scoop",2.5 oz,120,3,24,75,4,4,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Caramel Turtle Truffle Ice Cream – 4 oz Scoop",4 oz,200,5,38,120,7,7,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Chocolate Covered Bananas Ice Cream – 2.5 oz Scoop",2.5 oz,110,3,21,60,5,4,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Chocolate Covered Bananas Ice Cream – 4 oz Scoop",4 oz,170,5,33,95,8,6,Bright Choices
"Premium Churned Reduced- Fat, No Sugar Added Key Lime Pie Ice Cream – 2.5 oz Scoop",2.5 oz,130,3,23,70,4,4,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Key Lime Pie Ice Cream – 4 oz Scoop",4 oz,210,5,37,110,6,7,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Peach Cobbler Ice Cream – 2.5 oz",2.5 oz,130,3,25,50,4,4,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Peach Cobbler Ice Cream – 4 oz Scoop",4 oz,200,4,40,80,6,7,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Pineapple Coconut Ice Cream – 2.5 oz Scoop",2.5 oz,100,3,18,50,5,3,Bright Choices
"Premium Churned Reduced- Fat, No Sugar Added Pineapple Coconut Ice Cream – 4 oz Scoop",4 oz,160,5,29,75,8,5,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Thin Mint Ice Cream – 2.5 oz Scoop",2.5 oz,110,3,19,50,4,4,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Thin Mint Ice Cream – 4 oz Scoop",4 oz,180,6,31,80,7,6,Bright Choices
"Premium Churned Reduced- Fat, No Sugar Added Tin Roof Sundae – 2.5 oz Scoop",2.5 oz,120,3,22,65,4,4,Bright Choices
"Premium Churned Reduced-Fat, No Sugar Added Tin Roof Sundae – 4 oz Scoop",4 oz,190,5,34,100,7,6,Bright Choices
Raspberry Cheese Louise Frozen Yogurt – 2.5 oz Scoop,2.5 oz,140,3,21,75,18,4,Bright Choices
Raspberry Cheese Louise Frozen Yogurt – 4 oz Scoop,4 oz,220,5,33,120,29,6,Bright Choices
Strawberry Frozen Yogurt -2.5 oz Scoop,2.5 oz,110,3,18,45,18,3,Bright Choices
Strawberry Frozen Yogurt – 4 oz Scoop,4 oz,180,4,29,70,28,5,Bright Choices
Cappuccino Blast® made with Soft Serve – Large,32 fl oz,520,13,86,220,74,14,Cappuccino Blast
Cappuccino Blast® made with Soft Serve – Medium,24 fl oz,410,10,66,170,57,11,Cappuccino Blast
Cappuccino Blast® made with Soft Serve – Mini,12 fl oz,190,4,30,75,26,5,Cappuccino Blast
Cappuccino Blast® made with Soft Serve – Small,16 fl oz,270,6,44,110,38,7,Cappuccino Blast
Cappuccino Blast® Caramel – Large,32 fl oz,970,13,165,620,135,27,Cappuccino Blast
Cappuccino Blast® Caramel – Medium,24 fl oz,730,10,123,460,101,20,Cappuccino Blast
Cappuccino Blast® Caramel – Mini,12 fl oz,400,5,68,260,55,11,Cappuccino Blast
Cappuccino Blast® Caramel – Small,16 fl oz,470,6,77,280,64,13,Cappuccino Blast
Cappuccino Blast® Mocha – Large,32 fl oz,770,11,127,180,94,21,Cappuccino Blast
Cappuccino Blast® Mocha – Medium,24 fl oz,600,9,97,140,72,17,Cappuccino Blast
Cappuccino Blast® Mocha – Mini,12 fl oz,280,4,43,65,33,8,Cappuccino Blast
Cappuccino Blast® Mocha – Small,16 fl oz,400,6,65,90,48,11,Cappuccino Blast
Cappuccino Blast® Original – Large,32 fl oz,640,11,94,180,83,18,Cappuccino Blast
Cappuccino Blast® Original – Medium,24 fl oz,500,9,73,140,64,14,Cappuccino Blast
Cappuccino Blast® Original – Mini,12 fl oz,230,4,33,65,29,7,Cappuccino Blast
Cappuccino Blast® Original – Small,16 fl oz,330,6,48,90,42,9,Cappuccino Blast
Cappuccino Blast® Turtle – Large,32 fl oz,970,12,174,610,134,27,Cappuccino Blast
Cappuccino Blast® Turtle – Medium,24 fl oz,780,10,141,480,107,22,Cappuccino Blast
Cappuccino Blast® Turtle – Mini,12 fl oz,380,5,68,220,52,10,Cappuccino Blast
Cappuccino Blast® Turtle – Small,16 fl oz,510,6,91,320,70,14,Cappuccino Blast
Iced Cappy Mocha – Large,32 fl oz,610,16,117,240,86,17,Cappuccino Blast
Iced Cappy Mocha – Medium,24 fl oz,460,12,88,180,65,12,Cappuccino Blast
Iced Cappy Mocha – Mini,12 fl oz,200,6,38,90,29,6,Cappuccino Blast
Iced Cappy Mocha – Small,16 fl oz,300,8,58,120,43,8,Cappuccino Blast
Iced Cappy Original – Large,32 fl oz,430,16,70,230,63,11,Cappuccino Blast
Iced Cappy Original -Medium,24 fl oz,320,12,53,180,47,9,Cappuccino Blast
Iced Cappy Original – Mini,12 fl oz,160,6,26,90,24,4,Cappuccino Blast
Iced Cappy Original – Small,16 fl oz,210,8,35,115,31,6,Cappuccino Blast
Jamoca® Heath® Cappuccino Blast® – Large,32 fl oz,990,13,136,480,124,28,Cappuccino Blast
Jamoca® Heath® Cappuccino Blast® – Medium,24 fl oz,770,10,105,370,96,22,Cappuccino Blast
Jamoca® Heath® Cappuccino Blast® – Mini,12 fl oz,330,4,45,150,41,9,Cappuccino Blast
Jamoca® Heath® Cappuccino Blast® – Small,16 fl oz,510,7,70,250,63,14,Cappuccino Blast
OREO® ‘n Cookies Cappuccino Blast® – Large,32 fl oz,950,15,146,590,110,27,Cappuccino Blast
OREO® ‘n Cookies Cappuccino Blast® – Medium,24 fl oz,740,11,112,450,85,20,Cappuccino Blast
OREO® ‘n Cookies Cappuccino Blast® – Mini,12 fl oz,320,5,48,180,37,9,Cappuccino Blast
OREO® ‘n Cookies Cappuccino Blast® – Small,16 fl oz,490,7,75,300,56,14,Cappuccino Blast
Pumpkin Pie Cappuccino Blast® – Large,32 fl oz,550,11,93,210,76,16,Cappuccino Blast
Pumpkin Pie Cappuccino Blast® – Medium,24 fl oz,430,9,72,160,58,13,Cappuccino Blast
Pumpkin Pie Cappuccino Blast® – Mini,12 fl oz,200,4,33,70,27,6,Cappuccino Blast
Pumpkin Pie Cappuccino Blast® – Small,16 fl oz,290,6,47,105,39,8,Cappuccino Blast
Triple Mocha Cappuccino Blast® – Large,32 fl oz,990,14,152,280,112,28,Cappuccino Blast
Triple Mocha Cappuccino Blast® – Medium,24 fl oz,820,11,121,230,90,23,Cappuccino Blast
Triple Mocha Cappuccino Blast® – Mini,12 fl oz,410,6,56,110,43,12,Cappuccino Blast
Triple Mocha Cappuccino Blast® – Small,16 fl oz,530,7,79,140,58,15,Cappuccino Blast
Cherries Jubilee Ice Cream – 2.5 oz Scoop,2.5 oz,150,3,19,50,16,4,Classic Flavors
Cherries Jubilee Ice Cream – 4 oz Scoop,4 oz,240,4,30,80,26,7,Classic Flavors
Chocolate Chip Cookie Dough Ice Cream – 2.5 oz Scoop,2.5 oz,190,3,23,85,19,5,Classic Flavors
Chocolate Chip Cookie Dough Ice Cream – 4 oz Scoop,4 oz,300,5,36,135,30,8,Classic Flavors
Chocolate Chip Ice Cream -2.5 oz Scoop,2.5 oz,170,3,18,55,16,5,Classic Flavors
Chocolate Chip Ice Cream – 4 oz Scoop,4 oz,260,5,28,90,26,8,Classic Flavors
Chocolate Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,21,85,19,5,Classic Flavors
Chocolate Ice Cream – 4 oz Scoop,4 oz,260,5,33,135,30,8,Classic Flavors
Daiquiri Ice – 2.5 oz Scoop,2.5 oz,80,0,21,10,21,2,Classic Flavors
Daiquiri Ice – 4 oz Scoop,4 oz,130,0,34,15,33,4,Classic Flavors
Gold Medal Ribbon® Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,19,80,17,4,Classic Flavors
Gold Medal Ribbon® Ice Cream – 4 oz Scoop,4 oz,260,5,31,130,27,7,Classic Flavors
Jamoca® Almond Fudge Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,18,50,14,5,Classic Flavors
Jamoca® Almond Fudge Ice Cream – 4 oz Scoop,4 oz,260,6,29,85,23,8,Classic Flavors
Jamoca® Ice Cream – 2.5 oz Scoop,2.5 oz,140,3,13,55,11,4,Classic Flavors
Jamoca® Ice Cream – 4 oz Scoop,4 oz,220,5,21,85,17,6,Classic Flavors
Mint Chocolate Chip Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,18,55,16,5,Classic Flavors
Mint Chocolate Chip Ice Cream – 4 oz Scoop,4 oz,260,5,28,90,26,8,Classic Flavors
Nutty Coconut Ice Cream – 2.5 oz Scoop,2.5 oz,190,4,18,65,15,5,Classic Flavors
Nutty Coconut Ice Cream – 4 oz Scoop,4 oz,300,6,28,105,24,9,Classic Flavors
OREO® Cookies ‘n Cream Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,20,95,17,5,Classic Flavors
OREO® Cookies ‘n Cream Ice Cream – 4 oz Scoop,4 oz,280,5,32,160,27,8,Classic Flavors
Old Fashioned Butter Pecan Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,16,75,15,5,Classic Flavors
Old Fashioned Butter Pecan Ice Cream – 4 oz Scoop,4 oz,280,5,25,115,23,8,Classic Flavors
Peanut Butter ‘n Chocolate Ice Cream – 2.5 oz Scoop,2.5 oz,200,5,19,110,16,6,Classic Flavors
Peanut Butter ‘n Chocolate Ice Cream – 4 oz Scoop,4 oz,320,8,30,170,26,9,Classic Flavors
Pink Bubblegum Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,22,60,22,5,Classic Flavors
Pink Bubblegum Ice Cream – 4 oz Scoop,4 oz,260,4,36,95,35,7,Classic Flavors
Pistachio Almond Ice Cream – 2.5 oz Scoop,2.5 oz,170,4,14,55,12,5,Classic Flavors
Pistachio Almond Ice Cream – 4 oz Scoop,4 oz,280,7,22,85,19,8,Classic Flavors
Pralines ‘n Cream Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,22,110,19,5,Classic Flavors
Pralines ‘n Cream Ice Cream – 4 oz Scoop,4 oz,280,4,35,170,31,8,Classic Flavors
Rainbow Sherbet – 2.5 oz Scoop,2.5 oz,100,1,21,25,21,3,Classic Flavors
Rainbow Sherbet – 4 oz Scoop,4 oz,160,2,33,35,33,4,Classic Flavors
Reese’s® Peanut Butter Cup Ice Cream – 2.5 oz Scoop,2.5 oz,190,4,20,90,19,5,Classic Flavors
Reese’s® Peanut Butter Cup Ice Cream – 4 oz Scoop,4 oz,300,6,32,140,30,8,Classic Flavors
Rocky Road Ice Cream – 2.5 oz Scoop,2.5 oz,170,4,19,75,16,5,Classic Flavors
Rocky Road Ice Cream – 4 oz Scoop,4 oz,270,6,31,120,26,8,Classic Flavors
Vanilla Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,17,45,16,5,Classic Flavors
Vanilla Ice Cream – 4 oz Scoop,4 oz,260,4,27,70,26,7,Classic Flavors
Very Berry Strawberry Ice Cream – 2.5 oz Scoop,2.5 oz,140,2,17,45,17,4,Classic Flavors
Very Berry Strawberry Ice Cream – 4 oz Scoop,4 oz,220,4,27,70,27,6,Classic Flavors
World Class® Chocolate Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,19,60,17,5,Classic Flavors
World Class® Chocolate Ice Cream – 4 oz Scoop,4 oz,280,5,31,95,27,8,Classic Flavors
made with Snickers® Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,23,100,19,5,Classic Flavors
made with Snickers® Ice Cream – 4 oz Scoop,4 oz,290,5,36,160,31,8,Classic Flavors
Banana Royale Sundae,1 Serving,620,9,87,200,73,18,Classic Flavors
Brownie Sundae,1 Serving,920,12,119,460,97,26,Classic Flavors
Classic Banana Split,1 Serving,1010,12,173,240,125,29,Classic Flavors
Two-Scoop Sundae,1 Serving,530,8,61,200,51,15,Classic Flavors
Berry Flavored Waffle Cone,46 grams,130,2,23,5,11,3,Cones
Cake Cone,7 grams,25,0,5,15,0,1,Cones
Sugar Cone,12 grams,45,1,9,35,3,1,Cones
Waffle Cone,48 grams,130,2,24,0,11,4,Cones
Vanilla Soft Serve – Kids,3 oz,130,4,18,75,17,3,Cups and Cones
Vanilla Soft Serve – Large,9 oz,380,13,55,220,52,11,Cups and Cones
Vanilla Soft Serve – Regular,6 oz,250,8,37,150,35,7,Cups and Cones
Trick OREO® Treat Whoopie Pie,145grams,450,7,51,270,32,12,Cups and Cones
Brownie a la Mode,78 grams,260,3,36,130,26,8,Desserts
Cake Bites – Chocolate Dipped Strawberry,83 grams,290,4,32,170,25,8,Desserts
Cake Bites – Chocolate Mint,85 grams,330,4,33,180,25,9,Desserts
Cake Bites – Double Chocolate,86 grams,310,4,35,190,27,9,Desserts
Cake Bites – Love Potion #31,81 grams,300,4,32,170,24,9,Desserts
Cake Bites – OREO® Cookie Bite,76grams,290,4,31,190,23,8,Desserts
Cake Bites – Praline Caramel,89 grams,360,3,39,160,32,10,Desserts
Chocolate Dipped Strawberry – 1/8 cake,105 grams,260,3,33,125,28,7,Desserts
Chocolate Mint 1/8 cake,112 grams,290,4,30,90,27,8,Desserts
Double Chocolate Chip 1/16 cake,126 grams,360,5,42,210,33,10,Desserts
Double Chocolate OREO® 1/8 cake,113 grams,300,4,36,140,29,9,Desserts
Mini Cone – Chocolate Chip Ice Cream,26g,60,1,8,20,6,2,Desserts
Mini Cone – Gold Medal Ribbon Ice Cream,26g,60,1,9,35,6,2,Desserts
Mini Cone – Rainbow Sherbet,26g,40,0,9,10,7,1,Desserts
Mini Cone – Vanilla Ice Cream,26g,60,1,7,20,6,2,Desserts
Mini Cone – Very Berry Strawberry Ice Cream,26g,50,1,7,20,6,1,Desserts
OREO® Cookie 1/16 cake,122 grams,330,4,35,135,30,9,Desserts
Red Velvet Cake Bite,77grams,280,3,30,150,24,8,Desserts
Soft Serve Cookie Sandwich,91 grams,190,5,32,170,21,5,Desserts
Soft Serve Cookie Sandwich with Sprinkles,118 grams,330,5,49,180,32,9,Desserts
Strawberry ‘n Cream Ice Cream Cake 1/8 cake,78 grams,220,2,25,40,24,6,Desserts
Apple Cinnamon Crisp Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,21,65,17,4,Flavors of the Month
Apple Cinnamon Crisp Ice Cream – 4 oz Scoop,4 oz,260,4,34,105,28,7,Flavors of the Month
Berry Passionate Frozen Yogurt – 2.5 oz Scoop,2.5 oz,130,3,22,50,21,4,Flavors of the Month
Berry Passionate Frozen Yogurt – 4 oz Scoop,4 oz,210,4,36,80,34,6,Flavors of the Month
Blueberry Shortbread Ice Cream – 2.5 oz Scoop,2.5 oz,160,3,15,70,14,4,Flavors of the Month
Blueberry Shortbread Ice Cream – 4 oz Scoop,4 oz,250,5,24,110,22,7,Flavors of the Month
Bundle of Love Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,20,75,18,5,Flavors of the Month
Bundle of Love Ice Cream -4 oz Scoop,4 oz,290,5,32,115,28,8,Flavors of the Month
Jamoca® Almond Fudge Ice Cream – 2.5 oz Scoop,2.5 oz,170,3,18,50,14,5,Flavors of the Month
Jamoca® Almond Fudge Ice Cream – 4 oz Scoop,4 oz,260,6,29,85,23,8,Flavors of the Month
Jamoca® Heath® Ice Cream – 2.5 oz Scoop,2.5 oz,180,3,19,85,18,5,Flavors of the Month
Jamoca® Heath® Ice Cream – 4 oz Scoop,4 oz,280,5,30,140,29,8,Flavors of the Month
Lunar Cheesecake – 2.5 oz Scoop,2.5 oz,180,3,19,100,16,5,Flavors of the Month
Lunar Cheesecake – 4 oz Scoop,4 oz,290,5,30,160,25,8,Flavors of the Month
Nutty Cream Cheese Brownie Ice Cream – 2.5 oz Scoop,2.5 oz,190,3,22,85,19,6,Flavors of the Month
Nutty Cream Cheese Brownie Ice Cream – 4 oz Scoop,4 oz,300,5,34,140,30,9,Flavors of the Month
OREO® ‘n Chocolate Ice Cream – 2.5 oz Scoop,2.5 oz,200,3,22,110,18,6,Flavors of the Month
OREO® ‘n Chocolate Ice Cream – 4 oz Scoop,4 oz,310,5,35,180,28,9,Flavors of the Month
OREO® Nutty Salted Caramel – 2.5 oz Scoop,2.5 oz,180,3,22,120,19,5,Flavors of the Month
OREO® Nutty Salted Caramel – 4 oz Scoop,4 oz,290,5,35,190,30,8,Flavors of the Month
Reese’s® Buzzer Beater Ice Cream – 2.5 oz Scoop,2.5 oz,190,5,18,85,16,6,Flavors of the Month
Reese’s® Buzzer Beater Ice Cream – 4 oz Scoop,4 oz,310,7,29,140,26,9,Flavors of the Month
Strawberry Lemonade Punch – 2.5 oz Scoop,2.5 oz,80,1,17,20,17,2,Flavors of the Month
Strawberry Lemonade Punch – 4 oz Scoop,4 oz,130,1,28,30,27,4,Flavors of the Month
Trick OREO® Treat Ice Cream – 2.5 oz Scoop,2.5 oz,190,3,23,90,19,5,Flavors of the Month
Trick OREO® Treat Ice Cream – 4 oz Scoop,4 oz,300,5,36,140,30,9,Flavors of the Month
Triple Vanilla – 2.5 oz Scoop,2.5 oz,170,2,13,35,13,4,Flavors of the Month
Triple Vanilla – 4 oz Scoop,4 oz,260,4,21,55,20,7,Flavors of the Month
Coke® Float with Soft Serve – Large,32 fl oz,570,14,100,310,97,16,"Floats, Freezes, and Ice Cream Sodas"
Coke® Float with Soft Serve – Medium,24 fl oz,430,11,75,230,73,12,"Floats, Freezes, and Ice Cream Sodas"
Coke® Float with Soft Serve – Mini,12 fl oz,170,4,31,85,31,5,"Floats, Freezes, and Ice Cream Sodas"
Coke® Float with Soft Serve – Small,16 fl oz,290,7,50,150,48,8,"Floats, Freezes, and Ice Cream Sodas"
Coke® Float with Vanilla Ice Cream – Large,32 fl oz,810,11,106,240,104,23,"Floats, Freezes, and Ice Cream Sodas"
Coke® Float with Vanilla Ice Cream – Medium,24 fl oz,610,8,80,180,78,17,"Floats, Freezes, and Ice Cream Sodas"
Coke® Float with Vanilla Ice Cream – Mini,12 fl oz,230,3,33,70,32,6,"Floats, Freezes, and Ice Cream Sodas"
Coke® Float with Vanilla Ice Cream – Small,16 fl oz,410,6,53,120,52,11,"Floats, Freezes, and Ice Cream Sodas"
Freeze with Orange Sherbet – Large,926 grams,740,5,164,240,162,20,"Floats, Freezes, and Ice Cream Sodas"
Freeze with Orange Sherbet – Medium,652 grams,510,3,112,160,111,14,"Floats, Freezes, and Ice Cream Sodas"
Freeze with Orange Sherbet – Small,463 grams,370,3,82,120,81,10,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Float with Vanilla Ice Cream & Root Beer – Large,32 fl oz,880,11,127,290,125,25,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Float with Vanilla Ice Cream & Root Beer – Medium,24 fl oz,640,8,91,210,90,18,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Float with Vanilla Ice Cream & Root Beer – Mini,12 fl oz,240,3,39,85,38,7,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Float with Vanilla Ice Cream & Root Beer – Small,16 fl oz,440,6,63,150,62,13,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Soda with Vanilla Ice Cream – Large,32 fl oz,1030,11,154,200,146,28,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Soda with Vanilla Ice Cream – Medium,24 fl oz,770,9,116,150,110,21,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Soda with Vanilla Ice Cream – Mini,12 fl oz,260,3,39,55,37,7,"Floats, Freezes, and Ice Cream Sodas"
Ice Cream Soda with Vanilla Ice Cream – Small,16 fl oz,520,6,78,100,74,14,"Floats, Freezes, and Ice Cream Sodas"
Daiquiri Ice Freeze – Large,32 fl oz,610,0,154,65,147,17,Freeze
Daiquiri Ice Freeze – Medium,24 fl oz,420,0,107,45,102,12,Freeze
Daiquiri Ice Freeze – Mini,12 fl oz,190,0,47,20,45,5,Freeze
Daiquiri Ice Freeze – Small,16 fl oz,310,0,77,30,73,8,Freeze
Rainbow Sherbet Freeze – Large,32 fl oz,710,6,157,150,149,20,Freeze
Rainbow Sherbet Freeze – Medium,24 fl oz,490,4,109,100,103,14,Freeze
Rainbow Sherbet Freeze – Mini,12 fl oz,220,2,48,50,46,6,Freeze
Rainbow Sherbet Freeze – Small,16 fl oz,360,3,79,75,75,10,Freeze
Peach Passion Fruit Blast – Large,32 fl oz,540,3,137,20,131,16,Fruit Blast
Peach Passion Fruit Blast – Medium,24 fl oz,370,2,94,15,90,11,Fruit Blast
Peach Passion Fruit Blast – Mini,12 fl oz,190,1,47,5,45,5,Fruit Blast
Peach Passion Fruit Blast – Small,16 fl oz,270,1,68,10,66,8,Fruit Blast
Strawberry Citrus Fruit Blast – Large,32 fl oz,500,1,126,20,122,14,Fruit Blast
Strawberry Citrus Fruit Blast – Medium,24 fl oz,350,1,87,10,84,10,Fruit Blast
Strawberry Citrus Fruit Blast – Mini,12 fl oz,170,0,43,5,42,5,Fruit Blast
Strawberry Citrus Fruit Blast – Small,16 fl oz,250,1,63,10,61,7,Fruit Blast
Tropical Fruit Blast – Large,32 fl oz,550,3,137,25,129,15,Fruit Blast
Tropical Fruit Blast – Medium,24 fl oz,380,2,94,15,89,11,Fruit Blast
Tropical Fruit Blast – Mini,12 fl oz,190,1,47,10,44,5,Fruit Blast
Tropical Fruit Blast – Small,16 fl oz,270,1,68,10,65,8,Fruit Blast
Wild Mango Fruit Blast – Large,32 fl oz,730,2,178,25,174,20,Fruit Blast
Wild Mango Fruit Blast – Medium,24 fl oz,500,1,123,15,119,14,Fruit Blast
Wild Mango Fruit Blast – Mini,12 fl oz,250,1,61,10,60,7,Fruit Blast
Wild Mango Fruit Blast – Small,16 fl oz,360,1,89,10,87,10,Fruit Blast
Chocolate Chip Cookie Dough Ice Cream Quart,1/2 cup,180,3,21,85,18,5,Pre-Packed Ice Cream
Chocolate Chip Ice Cream Quart,1/2 cup,170,3,18,60,17,5,Pre-Packed Ice Cream
Chocolate Ice Cream Quart,1/2 cup,170,4,21,80,19,5,Pre-Packed Ice Cream
Gold Medal Ribbon® Ice Cream Quart,1/2 cup,160,3,20,100,16,5,Pre-Packed Ice Cream
Jamoca® Almond Fudge Ice Cream Quart,1/2 cup,180,4,19,55,15,5,Pre-Packed Ice Cream
