Transaction,date_time,period_day,weekday_weekend,items
79,2016-10-30 14:45:00,afternoon,weekend,"coffee,fudge,muffin,tea"
80,2016-10-30 14:48:00,afternoon,weekend,"bread,coffee,frittata"
81,2016-10-31 08:28:00,morning,weekday,"cake,coffee"
82,2016-10-31 08:47:00,morning,weekday,"bread,tartine"
83,2016-10-31 08:57:00,morning,weekday,"bread,coffee"
84,2016-10-31 09:04:00,morning,weekday,bread
85,2016-10-31 09:10:00,morning,weekday,"coffee,medialuna,pastry"
86,2016-10-31 09:11:00,morning,weekday,juice
87,2016-10-31 09:12:00,morning,weekday,bread
88,2016-10-31 09:16:00,morning,weekday,"coffee,jam"
89,2016-10-31 09:19:00,morning,weekday,bread
90,2016-10-31 09:20:00,morning,weekday,"bread,coffee"
91,2016-10-31 09:22:00,morning,weekday,tea
92,2016-10-31 09:27:00,morning,weekday,coffee
93,2016-10-31 09:29:00,morning,weekday,"bread,coke"
94,2016-10-31 09:39:00,morning,weekday,coffee
95,2016-10-31 09:43:00,morning,weekday,"farm house,pastry,tea"
96,2016-10-31 09:46:00,morning,weekday,"coffee,juice,pastry"
97,2016-10-31 09:51:00,morning,weekday,"coffee,juice,pastry"
98,2016-10-31 09:52:00,morning,weekday,farm house
99,2016-10-31 09:56:00,morning,weekday,"bread,coffee,pastry"
100,2016-10-31 09:58:00,morning,weekday,bread
101,2016-10-31 10:04:00,morning,weekday,"coffee,pastry"
102,2016-10-31 10:04:00,morning,weekday,farm house
103,2016-10-31 10:07:00,morning,weekday,bread
104,2016-10-31 10:12:00,morning,weekday,"coffee,medialuna,muffin"
105,2016-10-31 10:21:00,morning,weekday,"cake,coffee,tea"
106,2016-10-31 10:24:00,morning,weekday,"coffee,pastry"
107,2016-10-31 10:27:00,morning,weekday,"coffee,tea"
108,2016-10-31 10:31:00,morning,weekday,"farm house,muffin"
109,2016-10-31 10:35:00,morning,weekday,"bread,muffin,pastry"
110,2016-10-31 10:36:00,morning,weekday,pastry
111,2016-10-31 10:38:00,morning,weekday,coffee
112,2016-10-31 10:59:00,morning,weekday,coffee
113,2016-10-31 11:02:00,morning,weekday,"cake,coffee"
114,2016-10-31 11:05:00,morning,weekday,farm house
115,2016-10-31 11:08:00,morning,weekday,bread
116,2016-10-31 11:11:00,morning,weekday,coffee
117,2016-10-31 11:13:00,morning,weekday,"cake,coffee,cookies,my-5 fruit shoot"
118,2016-10-31 11:18:00,morning,weekday,"cookies,pastry,tea"
119,2016-10-31 11:25:00,morning,weekday,"coffee,muffin"
120,2016-10-31 11:29:00,morning,weekday,farm house
121,2016-10-31 11:30:00,morning,weekday,"bread,coffee"
122,2016-10-31 11:37:00,morning,weekday,cookies
123,2016-10-31 11:42:00,morning,weekday,"coffee,jam,juice"
124,2016-10-31 11:43:00,morning,weekday,"coffee,soup"
125,2016-10-31 11:47:00,morning,weekday,tea
126,2016-10-31 11:52:00,morning,weekday,"coffee,jam"
127,2016-10-31 11:53:00,morning,weekday,farm house
128,2016-10-31 11:55:00,morning,weekday,"coffee,tartine,tea"
129,2016-10-31 11:59:00,morning,weekday,"cake,coffee"
130,2016-10-31 12:03:00,afternoon,weekday,"coffee,muffin"
131,2016-10-31 12:08:00,afternoon,weekday,"bread,coffee"
132,2016-10-31 12:14:00,afternoon,weekday,"cookies,juice,pick and mix bowls,tea"
133,2016-10-31 12:16:00,afternoon,weekday,"hearty & seasonal,soup"
134,2016-10-31 12:19:00,afternoon,weekday,"farm house,hearty & seasonal,tea"
135,2016-10-31 12:20:00,afternoon,weekday,bread
136,2016-10-31 12:27:00,afternoon,weekday,"soup,tea"
137,2016-10-31 12:37:00,afternoon,weekday,farm house
138,2016-10-31 12:43:00,afternoon,weekday,"coffee,hearty & seasonal,soup"
139,2016-10-31 12:50:00,afternoon,weekday,"bread,hearty & seasonal,muffin"
140,2016-10-31 12:53:00,afternoon,weekday,"coffee,cookies"
141,2016-10-31 12:54:00,afternoon,weekday,bread
142,2016-10-31 12:56:00,afternoon,weekday,"muffin,tea"
143,2016-10-31 12:59:00,afternoon,weekday,tea
144,2016-10-31 13:02:00,afternoon,weekday,"hearty & seasonal,soup"
145,2016-10-31 13:05:00,afternoon,weekday,"coffee,focaccia,tea"
146,2016-10-31 13:08:00,afternoon,weekday,sandwich
147,2016-10-31 13:09:00,afternoon,weekday,"coffee,tartine"
148,2016-10-31 13:21:00,afternoon,weekday,"coffee,fudge"
149,2016-10-31 13:26:00,afternoon,weekday,coffee
150,2016-10-31 13:31:00,afternoon,weekday,bread
151,2016-10-31 13:50:00,afternoon,weekday,"coke,soup"
152,2016-10-31 13:51:00,afternoon,weekday,muffin
153,2016-10-31 13:55:00,afternoon,weekday,"coffee,cookies,muffin,tea"
154,2016-10-31 14:00:00,afternoon,weekday,"coffee,coke,hearty & seasonal,mighty protein"
155,2016-10-31 14:01:00,afternoon,weekday,"muffin,sandwich,tea"
156,2016-10-31 14:04:00,afternoon,weekday,"coffee,muffin"
157,2016-10-31 14:05:00,afternoon,weekday,"bread,coffee"
158,2016-10-31 14:20:00,afternoon,weekday,"coffee,muffin"
159,2016-10-31 14:22:00,afternoon,weekday,"bread,cookies,hot chocolate"
160,2016-10-31 14:35:00,afternoon,weekday,"mineral water,muffin"
161,2016-10-31 14:42:00,afternoon,weekday,tea
162,2016-10-31 14:44:00,afternoon,weekday,muffin
163,2016-10-31 14:47:00,afternoon,weekday,"coffee,juice"
164,2016-10-31 14:47:00,afternoon,weekday,"coffee,muffin"
165,2016-10-31 14:48:00,afternoon,weekday,tea
166,2016-10-31 14:49:00,afternoon,weekday,"coffee,muffin"
167,2016-10-31 14:50:00,afternoon,weekday,"bread,hearty & seasonal,mineral water,sandwich"
168,2016-10-31 14:56:00,afternoon,weekday,"coffee,tea"
169,2016-10-31 15:05:00,afternoon,weekday,mineral water
170,2016-10-31 15:16:00,afternoon,weekday,coffee
171,2016-10-31 15:20:00,afternoon,weekday,"soup,tea"
172,2016-10-31 17:06:00,evening,weekday,"bread,coffee"
173,2016-10-31 17:08:00,evening,weekday,"bread,muffin"
174,2016-10-31 17:40:00,evening,weekday,coffee
175,2016-10-31 17:49:00,evening,weekday,bread
176,2016-10-31 18:22:00,evening,weekday,"coffee,cookies"
178,2016-01-11 07:51:00,morning,weekday,"coffee,pastry"
179,2016-01-11 08:20:00,morning,weekday,"coffee,pastry"
180,2016-01-11 08:22:00,morning,weekday,"jam,tea"
181,2016-01-11 08:45:00,morning,weekday,tea
182,2016-01-11 09:07:00,morning,weekday,"ella's kitchen pouches,pastry"
183,2016-01-11 09:09:00,morning,weekday,pastry
184,2016-01-11 09:26:00,morning,weekday,"farm house,tea"
185,2016-01-11 09:29:00,morning,weekday,"tea,victorian sponge"
186,2016-01-11 09:43:00,morning,weekday,"pastry,tea"
187,2016-01-11 10:02:00,morning,weekday,bread
188,2016-01-11 10:04:00,morning,weekday,coffee
189,2016-01-11 10:29:00,morning,weekday,"bread,coffee"
190,2016-01-11 10:34:00,morning,weekday,"coffee,pastry"
191,2016-01-11 10:50:00,morning,weekday,"soup,tea"
192,2016-01-11 10:56:00,morning,weekday,bread
193,2016-01-11 11:00:00,morning,weekday,coffee
194,2016-01-11 11:04:00,morning,weekday,bread
195,2016-01-11 11:06:00,morning,weekday,"bread,scandinavian"
196,2016-01-11 11:08:00,morning,weekday,"bread,cake,cookies"
197,2016-01-11 11:10:00,morning,weekday,"coffee,tea"
198,2016-01-11 11:11:00,morning,weekday,"coffee,cookies"
199,2016-01-11 11:13:00,morning,weekday,coffee
200,2016-01-11 11:16:00,morning,weekday,bread
201,2016-01-11 11:22:00,morning,weekday,"coffee,pastry"
202,2016-01-11 11:23:00,morning,weekday,coffee
203,2016-01-11 11:25:00,morning,weekday,coffee
204,2016-01-11 11:30:00,morning,weekday,"bread,scandinavian"
205,2016-01-11 11:49:00,morning,weekday,"coffee,pastry"
206,2016-01-11 11:54:00,morning,weekday,"coffee,pastry,scandinavian"
207,2016-01-11 12:03:00,afternoon,weekday,"coffee,hearty & seasonal,muffin"
208,2016-01-11 12:10:00,afternoon,weekday,bread
209,2016-01-11 12:10:00,afternoon,weekday,coffee
210,2016-01-11 12:12:00,afternoon,weekday,scandinavian
211,2016-01-11 12:15:00,afternoon,weekday,"coffee,soup"
212,2016-01-11 12:20:00,afternoon,weekday,"coffee,cookies,tartine"
213,2016-01-11 12:22:00,afternoon,weekday,bread
214,2016-01-11 12:26:00,afternoon,weekday,"bread,tea"
215,2016-01-11 12:30:00,afternoon,weekday,"coffee,pastry"
216,2016-01-11 12:31:00,afternoon,weekday,"coffee,tartine"
217,2016-01-11 12:33:00,afternoon,weekday,"bread,cookies"
218,2016-01-11 12:37:00,afternoon,weekday,sandwich
219,2016-01-11 12:41:00,afternoon,weekday,tartine
220,2016-01-11 12:49:00,afternoon,weekday,"bread,pastry"
221,2016-01-11 12:53:00,afternoon,weekday,"bread,scandinavian"
222,2016-01-11 13:08:00,afternoon,weekday,scandinavian
223,2016-01-11 13:11:00,afternoon,weekday,"alfajores,coffee"
224,2016-01-11 13:15:00,afternoon,weekday,coffee
225,2016-01-11 13:19:00,afternoon,weekday,"coffee,coke,soup"
226,2016-01-11 13:21:00,afternoon,weekday,cake
227,2016-01-11 13:31:00,afternoon,weekday,"sandwich,soup,tea"
228,2016-01-11 13:33:00,afternoon,weekday,coffee
229,2016-01-11 13:37:00,afternoon,weekday,"bread,hearty & seasonal"
230,2016-01-11 13:41:00,afternoon,weekday,alfajores
231,2016-01-11 13:45:00,afternoon,weekday,cake
232,2016-01-11 14:10:00,afternoon,weekday,"bread,tea"
233,2016-01-11 14:13:00,afternoon,weekday,"bread,coffee,soup,tea"
234,2016-01-11 14:14:00,afternoon,weekday,coffee
235,2016-01-11 14:18:00,afternoon,weekday,scandinavian
236,2016-01-11 14:22:00,afternoon,weekday,fudge
237,2016-01-11 14:25:00,afternoon,weekday,"coffee,sandwich"
238,2016-01-11 14:37:00,afternoon,weekday,"bread,cookies,pastry,tea"
239,2016-01-11 14:37:00,afternoon,weekday,muffin
240,2016-01-11 14:42:00,afternoon,weekday,scandinavian
241,2016-01-11 14:54:00,afternoon,weekday,"jam,tea"
242,2016-01-11 15:02:00,afternoon,weekday,"alfajores,juice,tea"
243,2016-01-11 15:18:00,afternoon,weekday,"cake,coffee,muffin,soup"
244,2016-01-11 15:33:00,afternoon,weekday,"cake,coffee,hot chocolate"
245,2016-01-11 15:37:00,afternoon,weekday,"cake,cookies"
246,2016-01-11 15:48:00,afternoon,weekday,"bread,tea"
247,2016-01-11 16:07:00,afternoon,weekday,"alfajores,coffee,juice"
248,2016-01-11 16:08:00,afternoon,weekday,"coffee,soup,tea"
249,2016-01-11 16:10:00,afternoon,weekday,hot chocolate
250,2016-01-11 16:10:00,afternoon,weekday,cookies
251,2016-01-11 16:26:00,afternoon,weekday,"coffee,medialuna"
252,2016-01-11 16:28:00,afternoon,weekday,"bread,eggs"
253,2016-01-11 17:46:00,evening,weekday,scandinavian
254,2016-01-11 18:43:00,evening,weekday,medialuna
255,2016-02-11 08:02:00,morning,weekday,"coffee,pastry"
256,2016-02-11 08:05:00,morning,weekday,"bread,coffee"
257,2016-02-11 08:07:00,morning,weekday,"bread,coffee,pastry"
258,2016-02-11 08:08:00,morning,weekday,"coffee,pastry"
259,2016-02-11 08:11:00,morning,weekday,pastry
260,2016-02-11 08:12:00,morning,weekday,coffee
261,2016-02-11 08:12:00,morning,weekday,coffee
262,2016-02-11 08:29:00,morning,weekday,"coffee,hot chocolate,pastry"
263,2016-02-11 08:53:00,morning,weekday,coke
264,2016-02-11 09:02:00,morning,weekday,"coffee,jam"
265,2016-02-11 09:03:00,morning,weekday,tea
266,2016-02-11 09:05:00,morning,weekday,"bread,pastry"
267,2016-02-11 09:18:00,morning,weekday,"alfajores,coffee,farm house"
268,2016-02-11 09:22:00,morning,weekday,"pastry,tea"
269,2016-02-11 09:25:00,morning,weekday,bread
270,2016-02-11 09:27:00,morning,weekday,"coffee,jam"
271,2016-02-11 09:33:00,morning,weekday,"coffee,pastry,tea"
272,2016-02-11 09:35:00,morning,weekday,farm house
274,2016-02-11 09:52:00,morning,weekday,"bread,coffee,pastry"
275,2016-02-11 09:53:00,morning,weekday,farm house
276,2016-02-11 09:54:00,morning,weekday,"coffee,pastry"
277,2016-02-11 10:12:00,morning,weekday,farm house
278,2016-02-11 10:13:00,morning,weekday,"coffee,pastry"
279,2016-02-11 10:15:00,morning,weekday,coffee
280,2016-02-11 10:17:00,morning,weekday,"coffee,pastry"
281,2016-02-11 10:29:00,morning,weekday,bread
282,2016-02-11 10:37:00,morning,weekday,"bread,coffee,pastry"
283,2016-02-11 10:44:00,morning,weekday,"coffee,pastry"
284,2016-02-11 10:48:00,morning,weekday,"coffee,farm house"
285,2016-02-11 10:52:00,morning,weekday,"farm house,pastry"
286,2016-02-11 10:53:00,morning,weekday,"alfajores,bread,juice"
287,2016-02-11 10:56:00,morning,weekday,"coffee,pastry"
288,2016-02-11 10:59:00,morning,weekday,"alfajores,bread"
289,2016-02-11 11:00:00,morning,weekday,bread
290,2016-02-11 11:03:00,morning,weekday,"coffee,cookies"
291,2016-02-11 11:04:00,morning,weekday,coffee
292,2016-02-11 11:15:00,morning,weekday,cookies
293,2016-02-11 11:29:00,morning,weekday,hearty & seasonal
294,2016-02-11 11:35:00,morning,weekday,coffee
295,2016-02-11 11:39:00,morning,weekday,"bread,jam,tartine"
296,2016-02-11 11:58:00,morning,weekday,"farm house,scandinavian"
297,2016-02-11 12:06:00,afternoon,weekday,"coffee,hearty & seasonal,muffin,scandinavian"
298,2016-02-11 12:11:00,afternoon,weekday,"coffee,coke,pick and mix bowls,tartine"
299,2016-02-11 12:14:00,afternoon,weekday,bread
300,2016-02-11 12:18:00,afternoon,weekday,"alfajores,coffee,farm house,scandinavian"
301,2016-02-11 12:24:00,afternoon,weekday,"juice,mineral water,soup"
302,2016-02-11 12:27:00,afternoon,weekday,"soup,tea"
303,2016-02-11 12:30:00,afternoon,weekday,"cookies,juice,soup,tea"
304,2016-02-11 12:33:00,afternoon,weekday,"hearty & seasonal,tea"
305,2016-02-11 12:35:00,afternoon,weekday,fudge
306,2016-02-11 12:39:00,afternoon,weekday,"coffee,juice,mineral water,soup"
307,2016-02-11 12:52:00,afternoon,weekday,hearty & seasonal
308,2016-02-11 12:54:00,afternoon,weekday,"hearty & seasonal,smoothies"
309,2016-02-11 12:56:00,afternoon,weekday,"hearty & seasonal,tea"
310,2016-02-11 13:02:00,afternoon,weekday,"coffee,sandwich"
311,2016-02-11 13:09:00,afternoon,weekday,"cookies,farm house"
312,2016-02-11 13:11:00,afternoon,weekday,"juice,soup,tea"
313,2016-02-11 13:12:00,afternoon,weekday,soup
314,2016-02-11 13:16:00,afternoon,weekday,coffee
316,2016-02-11 13:23:00,afternoon,weekday,bread
317,2016-02-11 13:42:00,afternoon,weekday,"cookies,tea"
318,2016-02-11 13:46:00,afternoon,weekday,"bread,hearty & seasonal,soup"
319,2016-02-11 13:50:00,afternoon,weekday,coffee
320,2016-02-11 13:58:00,afternoon,weekday,coffee
321,2016-02-11 14:00:00,afternoon,weekday,"coffee,tea"
322,2016-02-11 14:01:00,afternoon,weekday,bread
323,2016-02-11 14:05:00,afternoon,weekday,tea
324,2016-02-11 14:11:00,afternoon,weekday,"coffee,tea"
325,2016-02-11 14:11:00,afternoon,weekday,coffee
326,2016-02-11 14:34:00,afternoon,weekday,fudge
327,2016-02-11 15:03:00,afternoon,weekday,tea
328,2016-02-11 15:25:00,afternoon,weekday,"soup,tea"
329,2016-02-11 15:33:00,afternoon,weekday,juice
330,2016-02-11 15:46:00,afternoon,weekday,alfajores
331,2016-02-11 15:57:00,afternoon,weekday,bread
332,2016-02-11 16:25:00,afternoon,weekday,"alfajores,coffee"
333,2016-02-11 16:54:00,afternoon,weekday,"alfajores,cookies,juice,mineral water,pick and mix bowls"
334,2016-02-11 17:01:00,evening,weekday,"alfajores,coffee"
335,2016-02-11 17:41:00,evening,weekday,fudge
336,2016-02-11 18:08:00,evening,weekday,"juice,mighty protein"
337,2016-02-11 18:13:00,evening,weekday,"alfajores,coffee,mineral water"
338,2016-02-11 18:19:00,evening,weekday,"coffee,mighty protein"
339,2016-02-11 18:40:00,evening,weekday,alfajores
340,2016-03-11 07:46:00,morning,weekday,"bread,coffee"
341,2016-03-11 07:50:00,morning,weekday,medialuna
342,2016-03-11 08:01:00,morning,weekday,"bread,medialuna"
343,2016-03-11 08:07:00,morning,weekday,farm house
344,2016-03-11 08:08:00,morning,weekday,"coffee,pastry"
345,2016-03-11 08:09:00,morning,weekday,farm house
346,2016-03-11 08:15:00,morning,weekday,"coffee,pastry"
347,2016-03-11 08:40:00,morning,weekday,medialuna
348,2016-03-11 08:49:00,morning,weekday,"bread,sandwich,tea"
349,2016-03-11 08:54:00,morning,weekday,bread
350,2016-03-11 09:00:00,morning,weekday,"coffee,farm house,jam"
351,2016-03-11 09:02:00,morning,weekday,focaccia
352,2016-03-11 09:06:00,morning,weekday,bread
353,2016-03-11 09:08:00,morning,weekday,"bread,my-5 fruit shoot,pastry,tartine"
354,2016-03-11 09:13:00,morning,weekday,"farm house,pastry"
355,2016-03-11 09:19:00,morning,weekday,"bread,pastry"
356,2016-03-11 09:24:00,morning,weekday,"bread,pastry"
357,2016-03-11 09:31:00,morning,weekday,"coffee,jam"
358,2016-03-11 09:34:00,morning,weekday,farm house
359,2016-03-11 09:34:00,morning,weekday,"bread,pastry"
360,2016-03-11 09:44:00,morning,weekday,"bread,coffee,tea"
361,2016-03-11 09:45:00,morning,weekday,jam
363,2016-03-11 09:57:00,morning,weekday,"medialuna,pastry"
364,2016-03-11 09:59:00,morning,weekday,coffee
365,2016-03-11 10:01:00,morning,weekday,tea
366,2016-03-11 10:04:00,morning,weekday,bread
367,2016-03-11 10:10:00,morning,weekday,"bread,pastry"
368,2016-03-11 10:13:00,morning,weekday,pastry
369,2016-03-11 10:26:00,morning,weekday,farm house
370,2016-03-11 10:27:00,morning,weekday,tea
371,2016-03-11 10:39:00,morning,weekday,"alfajores,brownie,coffee,fudge"
372,2016-03-11 10:48:00,morning,weekday,"bread,cookies,fudge"
373,2016-03-11 11:03:00,morning,weekday,coffee
374,2016-03-11 11:05:00,morning,weekday,bread
375,2016-03-11 11:15:00,morning,weekday,"coffee,jam,pastry"
376,2016-03-11 11:20:00,morning,weekday,"coffee,soup"
377,2016-03-11 11:23:00,morning,weekday,"hearty & seasonal,pastry,smoothies,soup"
378,2016-03-11 11:31:00,morning,weekday,"bread,pastry"
379,2016-03-11 11:47:00,morning,weekday,"medialuna,pastry"
380,2016-03-11 11:51:00,morning,weekday,"coffee,tea"
381,2016-03-11 11:53:00,morning,weekday,"bread,cookies"
382,2016-03-11 12:01:00,afternoon,weekday,"bread,coffee,focaccia,hearty & seasonal,pick and mix bowls,sandwich"
383,2016-03-11 12:02:00,afternoon,weekday,coffee
384,2016-03-11 12:05:00,afternoon,weekday,"brownie,coffee,sandwich"
385,2016-03-11 12:07:00,afternoon,weekday,"brownie,cookies"
386,2016-03-11 12:12:00,afternoon,weekday,coffee
387,2016-03-11 12:16:00,afternoon,weekday,coffee
388,2016-03-11 12:23:00,afternoon,weekday,"bread,coffee,sandwich"
389,2016-03-11 12:37:00,afternoon,weekday,"coffee,hot chocolate"
390,2016-03-11 12:47:00,afternoon,weekday,tea
391,2016-03-11 13:02:00,afternoon,weekday,"brownie,coffee,sandwich"
392,2016-03-11 13:19:00,afternoon,weekday,"brownie,farm house,focaccia,pastry"
393,2016-03-11 13:30:00,afternoon,weekday,"cake,focaccia"
394,2016-03-11 13:35:00,afternoon,weekday,"hearty & seasonal,mineral water,soup"
395,2016-03-11 13:36:00,afternoon,weekday,hearty & seasonal
396,2016-03-11 13:37:00,afternoon,weekday,hearty & seasonal
397,2016-03-11 13:41:00,afternoon,weekday,"coffee,pastry"
398,2016-03-11 14:00:00,afternoon,weekday,coffee
399,2016-03-11 14:03:00,afternoon,weekday,"cake,tea"
400,2016-03-11 14:09:00,afternoon,weekday,"coffee,soup"
401,2016-03-11 14:14:00,afternoon,weekday,"bread,focaccia,fudge"
402,2016-03-11 14:16:00,afternoon,weekday,"alfajores,coffee,hot chocolate"
403,2016-03-11 14:26:00,afternoon,weekday,"brownie,cake,pastry"
404,2016-03-11 14:40:00,afternoon,weekday,"alfajores,dulce de leche,medialuna"
405,2016-03-11 14:41:00,afternoon,weekday,"alfajores,dulce de leche"
406,2016-03-11 14:48:00,afternoon,weekday,"bread,cake"
407,2016-03-11 14:51:00,afternoon,weekday,"cake,coffee"
408,2016-03-11 15:00:00,afternoon,weekday,bread
409,2016-03-11 15:01:00,afternoon,weekday,sandwich
410,2016-03-11 15:06:00,afternoon,weekday,"alfajores,bread,coffee,medialuna"
411,2016-03-11 15:19:00,afternoon,weekday,coffee
412,2016-03-11 15:23:00,afternoon,weekday,"alfajores,bread"
413,2016-03-11 15:27:00,afternoon,weekday,"coffee,tea"
414,2016-03-11 15:33:00,afternoon,weekday,bread
415,2016-03-11 15:33:00,afternoon,weekday,dulce de leche
416,2016-03-11 15:40:00,afternoon,weekday,farm house
417,2016-03-11 15:41:00,afternoon,weekday,fudge
418,2016-03-11 15:42:00,afternoon,weekday,coffee
419,2016-03-11 15:55:00,afternoon,weekday,"alfajores,brownie,coffee,ella's kitchen pouches,juice"
420,2016-03-11 15:59:00,afternoon,weekday,alfajores
421,2016-03-11 16:06:00,afternoon,weekday,"alfajores,bread,brownie,cookies,juice"
422,2016-03-11 16:10:00,afternoon,weekday,"cake,cookies"
423,2016-03-11 16:17:00,afternoon,weekday,pick and mix bowls
424,2016-03-11 16:28:00,afternoon,weekday,coffee
425,2016-03-11 16:42:00,afternoon,weekday,farm house
426,2016-03-11 17:15:00,evening,weekday,tea
427,2016-03-11 17:25:00,evening,weekday,coffee
428,2016-03-11 17:29:00,evening,weekday,"farm house,focaccia"
429,2016-03-11 17:32:00,evening,weekday,dulce de leche
430,2016-03-11 17:40:00,evening,weekday,"cookies,ella's kitchen pouches,juice,my-5 fruit shoot"
431,2016-03-11 17:45:00,evening,weekday,bread
432,2016-03-11 18:07:00,evening,weekday,hot chocolate
433,2016-03-11 18:08:00,evening,weekday,coffee
435,2016-03-11 18:51:00,evening,weekday,coffee
436,2016-03-11 19:00:00,evening,weekday,coffee
437,2016-04-11 07:32:00,morning,weekday,medialuna
438,2016-04-11 08:34:00,morning,weekday,"bread,jam,tea"
439,2016-04-11 08:36:00,morning,weekday,farm house
440,2016-04-11 08:40:00,morning,weekday,bread
441,2016-04-11 08:45:00,morning,weekday,coffee
