title,year,genres,rank_in_year,imdb_rating,rt_score,rt_audience_score,worldwide_gross,2015_inflation,adjusted,rt_freshness,audience_freshness,length,rating,release_date,studio,poster_url,poster_img
Cape Fear,1991,Thriller|Crime,8,7.3,7.1,3.5,182291969.0,73.36%,316024944.41,76.0,77.0,128.0,R,1991-11-15,Universal Pictures,http://resizing.flixster.com/0QRNH4M7vkPTz26alWM9mwKaOB4=/178x270/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/72/10937223_ori.jpg,<img src=http://resizing.flixster.com/0QRNH4M7vkPTz26alWM9mwKaOB4=/178x270/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/72/10937223_ori.jpg width=100>
City Slickers,1991,Western|Comedy,10,6.7,7.0,3.1,179033791.0,73.36%,310376502.92,90.0,64.0,113.0,PG-13,1991-06-07,Columbia Pictures|Castle Rock Entertainment|Nelson Entertainment,http://resizing.flixster.com/q3rBGER1l3OdFFApBBsTcME3bsM=/180x261/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/27/11152780_ori.jpg,<img src=http://resizing.flixster.com/q3rBGER1l3OdFFApBBsTcME3bsM=/180x261/dkpu1ddg7pbsk.cloudfront.net/movie/11/15/27/11152780_ori.jpg width=100>
Hook,1991,Family|Comedy|Adventure,4,6.7,4.4,3.3,300854823.0,73.36%,521567841.06,30.0,76.0,142.0,PG,1991-12-11,TriStar Pictures|Amblin Entertainment,http://resizing.flixster.com/2Kp3hYPiPnhkEpDQNFEv4IRaD9M=/180x261/dkpu1ddg7pbsk.cloudfront.net/movie/25/46/254606_ori.jpg,<img src=http://resizing.flixster.com/2Kp3hYPiPnhkEpDQNFEv4IRaD9M=/180x261/dkpu1ddg7pbsk.cloudfront.net/movie/25/46/254606_ori.jpg width=100>
Hot Shots!,1991,Comedy,9,6.7,6.5,3.0,181096164.0,73.36%,313951873.33,83.0,65.0,84.0,PG-13,1991-07-31,20th Century Fox,http://resizing.flixster.com/3JzsLocKZT_RNxFVI61xsM_v4Fw=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/49/11164957_ori.jpg,<img src=http://resizing.flixster.com/3JzsLocKZT_RNxFVI61xsM_v4Fw=/179x257/dkpu1ddg7pbsk.cloudfront.net/movie/11/16/49/11164957_ori.jpg width=100>
JFK,1991,Thriller|History|Drama,6,8.0,7.7,3.8,205405498.0,73.36%,356095013.09,85.0,88.0,189.0,R,1991-12-20,Warner Bros.,http://resizing.flixster.com/3rM4ZIxn0hOIAIKjFqZvy76ICyw=/180x265/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/59/10935981_ori.jpg,<img src=http://resizing.flixster.com/3rM4ZIxn0hOIAIKjFqZvy76ICyw=/180x265/dkpu1ddg7pbsk.cloudfront.net/movie/10/93/59/10935981_ori.jpg width=100>
Robin Hood: Prince of Thieves,1991,Drama|Adventure|Action,2,6.9,5.7,3.4,390493908.0,73.36%,676967922.64,50.0,72.0,143.0,PG-13,1991-06-14,Warner Bros.,http://resizing.flixster.com/LWcUdj-bVCtz_yveVI-r0FfP7jE=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/00/11170050_ori.jpg,<img src=http://resizing.flixster.com/LWcUdj-bVCtz_yveVI-r0FfP7jE=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/00/11170050_ori.jpg width=100>
Terminator 2: Judgment Day,1991,Sci-Fi|Action,1,8.5,8.3,3.7,519843345.0,73.36%,901210651.82,92.0,94.0,137.0,R,1991-07-03,TriStar Pictures|Carolco Pictures|Lightstorm Entertainment,http://resizing.flixster.com/sKc-3qOa64rxXpfEsKbNqv6DeY0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/43/11174301_ori.jpg,<img src=http://resizing.flixster.com/sKc-3qOa64rxXpfEsKbNqv6DeY0=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/43/11174301_ori.jpg width=100>
The Addams Family,1991,Fantasy|Comedy,7,6.8,5.6,3.2,191502426.0,73.36%,331992373.9,60.0,66.0,99.0,PG-13,1991-11-22,Paramount Pictures|Orion Pictures,http://resizing.flixster.com/jPsVpHIM4G8ViFgMbdUoxpk4shs=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/26/64/266402_ori.jpg,<img src=http://resizing.flixster.com/jPsVpHIM4G8ViFgMbdUoxpk4shs=/180x257/dkpu1ddg7pbsk.cloudfront.net/movie/26/64/266402_ori.jpg width=100>
The Silence of the Lambs,1991,Thriller,5,8.6,8.5,4.1,272742922.0,73.36%,472832496.33,94.0,95.0,118.0,R,1991-02-14,Orion Pictures,http://resizing.flixster.com/Q8QDUnqJmgkfSlxyyppLZXF28t4=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/55/12/86/5512865_ori.jpg,<img src=http://resizing.flixster.com/Q8QDUnqJmgkfSlxyyppLZXF28t4=/180x267/dkpu1ddg7pbsk.cloudfront.net/movie/55/12/86/5512865_ori.jpg width=100>
Back to the Future Part III,1990,Romance|Comedy|Adventure,6,7.4,6.5,3.4,244527583.0,80.66%,441756758.76,73.0,78.0,118.0,PG,1990-05-25,Universal Pictures,http://resizing.flixster.com/I9PEVOh_ZpCiMnCfw57AkXDgRhM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/38/11173854_ori.jpg,<img src=http://resizing.flixster.com/I9PEVOh_ZpCiMnCfw57AkXDgRhM=/180x270/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/38/11173854_ori.jpg width=100>
