name_th	name_en	region	destination	household	population	male	female
สกลนคร	Sakon Nakhon	ตะวันออกเฉียงเหนือ	เมืองรอง	379651	1153390	574342	579048
สงขลา	Songkhla	ใต้	เมืองหลัก	543879	1435968	700441	735527
สตูล	Satun	ใต้	เมืองรอง	104281	323586	160926	162660
สมุทรปราการ	Samut Prakan	กลาง	เมืองหลัก	693926	1344875	642774	702101
สมุทรสงคราม	Samut Songkhram	กลาง	เมืองรอง	71306	193305	92555	100750
สมุทรสาคร	Samut Sakhon	กลาง	เมืองหลัก	290805	584703	282258	302445
สระแก้ว	Sa Kaeo	ตะวันออก	เมืองรอง	212786	566303	283497	282806
สระบุรี	Saraburi	กลาง	เมืองหลัก	277184	645911	318243	327668
สิงห์บุรี	Sing Buri	กลาง	เมืองรอง	77432	208446	99265	109181
สุโขทัย	Sukhothai	กลาง	เมืองรอง	217841	595072	288842	306230
สุพรรณบุรี	Suphan Buri	กลาง	เมืองรอง	302594	846334	408808	437526
สุราษฎร์ธานี	Surat Thani	ใต้	เมืองหลัก	503053	1068010	526693	541317
สุรินทร์	Surin	ตะวันออกเฉียงเหนือ	เมืองรอง	397878	1396831	696248	700583
หนองคาย	Nong Khai	ตะวันออกเฉียงเหนือ	เมืองรอง	175639	522311	259849	262462
หนองบัวลำภู	Nong Bua Lam Phu	ตะวันออกเฉียงเหนือ	เมืองรอง	149891	512780	256221	256559
อ่างทอง	Ang Thong	กลาง	เมืองรอง	99928	279654	134095	145559
อำนาจเจริญ	Amnat Charoen	ตะวันออกเฉียงเหนือ	เมืองรอง	117994	378438	188632	189806
อุดรธานี	Udon Thani	ตะวันออกเฉียงเหนือ	เมืองรอง	519338	1586646	787642	799004
อุตรดิตถ์	Uttaradit	เหนือ	เมืองรอง	170691	453103	221583	231520
อุทัยธานี	Uthai Thani	กลาง	เมืองรอง	123952	328618	160855	167763
อุบลราชธานี	Ubon Ratchathani	ตะวันออกเฉียงเหนือ	เมืองรอง	605004	1878146	939054	939092
