Date,Oil,Gold,SET
2007-05-31,64.45,667.31,737.4
2007-06-30,68.02,655.66,776.79
2007-07-31,72.56,665.38,859.76
2007-08-31,69.7,665.4110000000001,813.21
2007-09-30,77.43,712.653,845.5
2007-10-31,84.76,754.6039999999999,907.28
2007-11-30,85.72,806.248,846.44
2007-12-31,90.7,803.203,858.1
2008-01-31,87.92,889.595,784.23
2008-02-29,96.35,922.298,845.76
2008-03-31,98.63,968.434,817.03
2008-04-30,107.33,909.705,832.45
2008-05-31,121.68,888.663,833.65
2008-06-30,136.03,889.488,768.59
2008-07-31,122.48,939.7719999999999,676.32
2008-08-31,111.23,839.025,684.44
2008-09-30,90.32,829.932,596.54
2008-10-31,57.43,806.62,416.53
2008-11-30,47.22,760.863,401.84
2008-12-31,35.58,816.092,449.96
2009-01-31,42.02,858.69,437.69
2009-02-28,43.23,943.0,431.52
2009-03-31,46.65,924.273,431.5
2009-04-30,50.36,890.2,491.69
2009-05-31,63.71,928.645,560.41
2009-06-30,69.56,945.67,597.48
2009-07-31,68.59,934.2280000000001,624.0
2009-08-31,70.37,949.375,653.25
2009-09-30,65.55,996.591,717.07
2009-10-31,75.56,1043.1589999999999,685.24
2009-11-30,76.21,1127.036,689.07
2009-12-31,77.16,1134.724,734.54
2010-01-31,71.01,1117.963,696.55
2010-02-28,74.6,1095.413,721.37
2010-03-31,78.7,1113.337,787.98
2010-04-30,84.13,1148.688,763.51
2010-05-31,71.88,1205.434,750.43
2010-06-30,72.49,1232.92,797.31
2010-07-31,74.43,1192.9660000000001,855.83
2010-08-31,72.39,1215.81,913.19
2010-09-30,77.48,1270.9769999999999,975.3
2010-10-31,79.42,1342.024,984.46
2010-11-30,83.65,1369.886,1005.12
2010-12-31,88.99,1390.5529999999999,1032.76
2011-01-31,95.53,1360.46,964.1
2011-02-28,108.5,1374.68,987.91
2011-03-31,111.42,1423.26,1047.48
2011-04-30,120.35,1480.89,1093.56
2011-05-31,111.2,1512.58,1073.83
2011-06-30,107.5,1529.36,1041.48
2011-07-31,112.18,1572.75,1133.53
2011-08-31,111.4,1759.01,1070.05
2011-09-30,101.57,1772.14,916.21
2011-10-31,107.12,1666.43,974.75
2011-11-30,110.38,1739.0,995.33
2011-12-31,106.84,1639.97,1025.32
2012-01-31,111.21,1654.05,1083.97
2012-02-29,120.79,1744.82,1160.9
2012-03-31,120.89,1675.95,1196.77
2012-04-30,117.2,1649.2,1228.49
2012-05-31,101.06,1589.04,1141.5
2012-06-30,92.99,1598.76,1172.11
2012-07-31,102.22,1594.29,1199.3
2012-08-31,111.17,1630.31,1227.48
2012-09-30,109.68,1744.81,1298.79
2012-10-31,106.16,1746.58,1298.87
2012-11-30,108.59,1721.64,1324.04
2012-12-31,107.76,1684.7620000000002,1391.93
2013-01-31,112.3,1671.847826,1474.2
2013-02-28,108.62,1627.57,1541.58
2013-03-31,107.23,1593.08619,1561.06
2013-04-30,100.65,1487.857273,1597.86
2013-05-31,98.78,1414.026957,1562.07
2013-06-30,100.78,1343.35,1451.9
2013-07-31,104.97,1285.515652,1423.14
2013-08-31,111.55,1351.741818,1294.3
2013-09-30,105.61,1348.6,1383.16
2013-10-31,106.75,1316.58,1442.88
2013-11-30,107.07,1275.86,1371.13
2013-12-31,107.94,1221.511905,1298.71
2014-01-31,104.45,1244.27,1274.28
2014-02-28,105.92,1299.58,1325.33
2014-03-31,104.08,1336.08,1376.26
2014-04-30,103.95,1298.45,1414.94
2014-05-31,105.91,1288.74,1415.73
2014-06-30,108.59,1279.1,1485.75
2014-07-31,103.6,1310.59,1502.39
2014-08-31,99.99,1295.13,1561.63
2014-09-30,94.17,1236.55,1585.67
2014-10-31,81.97,1222.49,1584.16
2014-11-30,68.89,1175.33,1593.91
2014-12-31,52.0,1200.62,1497.67
2015-01-31,44.83,1250.75,1581.25
2015-02-28,56.83,1227.08,1587.01
2015-03-31,51.06,1178.63,1505.94
2015-04-30,62.21,1198.93,1526.74
2015-05-31,60.47,1198.63,1496.05
2015-06-30,58.79,1181.5,1504.55
2015-07-31,50.51,1128.31,1440.12
2015-08-31,47.01,1117.93,1382.41
2015-09-30,43.58,1124.77,1349.0
2015-10-31,43.66,1159.25,1394.94
2015-11-30,38.93,1086.44,1359.7
2015-12-31,31.27,1075.74,1288.02
2016-01-31,29.11,1097.91,1300.98
2016-02-29,30.13,1199.5,1332.37
2016-03-31,34.33,1245.14,1407.7
2016-04-30,42.7,1242.26,1404.61
2016-05-31,45.15,1260.95,1424.28
2016-06-30,46.27,1276.4,1444.99
2016-07-31,38.97,1336.66,1524.07
2016-08-31,43.91,1340.17,1548.44
2016-09-30,44.63,1326.61,1483.21
2016-10-31,45.83,1266.55,1495.72
2016-11-30,44.8,1238.35,1510.24
2016-12-31,53.3,1157.36,1542.94
2017-01-31,52.19,1192.1,1577.31
2017-02-28,53.4,1234.2,1559.56
2017-03-31,50.43,1231.42,1575.11
2017-04-30,49.33,1266.88,1566.32
2017-05-31,48.69,1246.04,1561.66
2017-06-30,45.63,1260.26,1574.74
2017-07-31,49.97,1236.84,1576.08
2017-08-31,49.36,1283.04,1616.16
2017-09-30,55.2,1314.07,1673.16
2017-10-31,58.53,1279.51,1721.37
2017-11-30,61.06,1281.9,1697.39
2017-12-31,64.47,1264.45,1753.71
2018-01-31,66.28,1331.3,1826.86
2018-02-28,63.97,1330.73,1830.13
2018-03-31,65.87,1324.66,1776.26
2018-04-30,71.01,1334.76,1780.11
