id,ChangwatTH,ChangwatEN,Region,MajorHospital,Longitude,Latitude,Capitol,Population,Area,PopDensity,LargestCity,AbbrevCH,ISO
73,นครปฐม,Nakhon Pathom,Central,โรงพยาบาลนครปฐม,100.07499873,13.819631775,Thanon Khat,891071,2168,411.0,Nakhon Pathom,NPT,TH-73
74,สมุทรสาคร,Samut Sakhon,Central,โรงพยาบาลสมุทรสาคร,100.279308,13.551748000000002,Samut Sakhon,531887,872,610.0,Samut Sakhon,SKN,TH-74
75,สมุทรสงคราม,Samut Songkhram,Central,โรงพยาบาลสมเด็จพระพุทธเลิศหล้า,99.99819904299999,13.406707723,Samut Songkhram,194189,417,466.0,Samut Songkhram,SKM,TH-75
76,เพชรบุรี,Phetchaburi,Central,โรงพยาบาลพระจอมเกล้า,99.938405626,13.117511571,Phetchaburi,474192,6225,76.0,Phetchaburi,PBI,TH-76
77,ประจวบคีรีขันธ์,Prachuap Khiri Khan,Central,โรงพยาบาลประจวบคีรีขันธ์,99.79529858,11.80127993,Prachuap Khiri Khan,525107,6368,82.0,Hua Hin,PKN,TH-77
80,นครศรีธรรมราช,Nakhon Si Thammarat,Southern,โรงพยาบาลมหาราชนครศรีธรรมราช,99.971581983,8.3909884349,Nakhon Si Thammarat,1544028,9943,155.0,Nakhon Si Thammarat,NRT,TH-80
81,กระบี่,Krabi,Southern,โรงพยาบาลกระบี่,98.863831099,8.073935014,Krabi,456811,4709,97.0,Krabi,KBI,TH-81
82,พังงา,Phang-nga,Southern,โรงพยาบาลพังงา,98.52714924700001,8.447031779400001,Phang Nga,261370,4171,63.0,Thai Mueang,PNA,TH-82
83,ภูเก็ต,Phuket,Southern,โรงพยาบาลวชิระภูเก็ต,98.383881552,7.8967083834,Phuket,378364,543,697.0,Phuket,PKT,TH-83
84,สุราษฎร์ธานี,Surat Thani,Southern,โรงพยาบาลสุราษฎร์ธานี,99.310401645,9.1234123737,Surat Thani,1040230,12891,81.0,Surat Thani,SNI,TH-84
85,ระนอง,Ranong,Southern,โรงพยาบาลระนอง,98.64272118,9.96339807,Bang Rin,177089,3298,54.0,Ranong,RNG,TH-85
86,ชุมพร,Chumphon,Southern,โรงพยาบาลชุมพรเขตรอุดมศักดิ์,99.186156398,10.499655192,Chumphon,500575,6009,83.3,Chumphon,CPN,TH-86
90,สงขลา,Songkhla,Southern,โรงพยาบาลหาดใหญ่,100.46691925,7.017455796599999,Songkhla,1401303,7394,190.0,Hat Yai,SKA,TH-90
91,สตูล,Satun,Southern,โรงพยาบาลสตูล,100.07043101,6.6191272765999996,Satun,312673,2479,126.0,Satun,STN,TH-91
92,ตรัง,Trang,Southern,โรงพยาบาลตรัง,99.619563,7.568708999999999,Trang,638746,4918,129.8,Trang,TRG,TH-92
93,พัทลุง,Phatthalung,Southern,โรงพยาบาลพัทลุง,100.07324862,7.6155621852,Phatthalung,520419,3424,152.0,Phatthalung,PLG,TH-93
94,ปัตตานี,Pattani,Southern,โรงพยาบาลปัตตานี,101.25037304,6.8675027999000005,Pattani,686186,1940,354.0,Pattani,PTN,TH-94
95,ยะลา,Yala,Southern,โรงพยาบาลยะลา,101.276365,6.547672,Yala,511911,4521,113.0,Yala,YLA,TH-95
96,นราธิวาส,Narathiwat,Southern,โรงพยาบาลนราธิวาสราชนครินทร์,101.8241036,6.414424244,Narathiwat,775799,4475,173.0,Su-ngai Kolok,NWT,TH-96
