key,name,subhead,description,rating,rating_count,ingredients,brand
14_bj,Cherry Garcia®,Cherry Ice Cream with Cherries & Fudge Flakes,"Our euphorically edible tribute to guitarist Jerry Garcia & Grateful Dead fans everywhere, it’s the first ice cream named for a rock legend and the most famous of our fan-suggested flavors.",4.4,153,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CHERRIES, SUGAR, EGG YOLKS, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), FRUIT AND VEGETABLE CONCENTRATES (COLOR), COCOA POWDER, GUAR GUM, NATURAL FLAVORS, LEMON JUICE CONCENTRATE, CARRAGEENAN, MILK FAT, SOY LECITHIN",bj
15_bj,Chillin' the Roast™,Cold Brew Coffee Ice Cream with Chocolate Cookie-Covered Coffee Liqueur Truffles & Fudge Swirls,"Our cold brew coffee ice cream not only delivers a chillacious blast of creamy caffeination, it’s also loaded with enough coffee liqueur-filled, cookie crumble-covered truffles to fuel a truffolution.",3.3,172,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, EGG YOLKS, BUTTER (CREAM, SALT), COFFEE, WHEAT FLOUR, MILK PROTEIN CONCENTRATE, COCOA (PROCESSED WITH ALKALI), SOYBEAN OIL, GUAR GUM, NATURAL FLAVOR, SALT, CORN STARCH, CANOLA OIL, RUM, SOY LECITHIN, CHOCOLATE, BAKING SODA, CARRAGEENAN",bj
16_bj,Chocolate Chip Cookie Dough,Vanilla Ice Cream with Gobs of Chocolate Chip Cookie Dough,We knew we were onto something big when we made the world’s first batch of Chocolate Chip Cookie Dough ice cream in 1984. Today the flavor still reigns among our all-time most popular concoctions.,4.6,983,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, WHEAT FLOUR, SUGAR, BROWN SUGAR, EGG YOLKS, BUTTER (CREAM, SALT), EXPELLER PRESSED SOYBEAN OIL, EGGS, COCONUT OIL, CHOCOLATE LIQUOR, VANILLA EXTRACT, COCOA (PROCESSED WITH ALKALI), COCOA POWDER, SALT, MOLASSES, GUAR GUM, COCOA BUTTER, NATURAL FLAVOR, CARRAGEENAN, MILK FAT, SOY LECITHIN",bj
17_bj,Chocolate Fudge Brownie,Chocolate Ice Cream with Fudge Brownies,"The fabulously fudgy brownies in this flavor come from New York’s Greyston Bakery, where producing great baked goods is part of their greater-good mission to provide jobs and training to low-income city residents.",3.4,204,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA (PROCESSED WITH ALKALI), WHEAT FLOUR, COCOA POWDER, SOYBEAN OIL, EGG YOLKS, INVERT CANE SUGAR, EGGS, EGG WHITES, GUAR GUM, SALT, CARRAGEENAN, VANILLA EXTRACT, MALTED BARLEY FLOUR, SODIUM BICARBONATE",bj
18_bj,Chocolate Shake It™,Chocolate Malt Milkshake Ice Cream With Salted Fudge Pieces & Marshmallow Swirls,For those who prefer their ice cream shaken & swirled here’s a chocolate malt milkshake and marshmallow creation we topped off with euphoric morsels of salted fudge. Enjoy!,3.9,111,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CORN SYRUP, WHEAT FLOUR, POWDERED SUGAR (CANE SUGAR, CORNSTARCH), SUGAR, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), BUTTER (CREAM, SALT), BARLEY MALT, TAPIOCA SYRUP, EGG WHITES, MILK, COCOA, SEA SALT, GUAR GUM, NATURAL FLAVOR, PECTIN, VANILLA EXTRACT, ENZYMES, CARRAGEENAN, SALT, BAKING SODA",bj
19_bj,Chocolate Therapy®,Chocolate Ice Cream with Chocolate Cookies & Swirls of Chocolate Pudding Ice Cream,"You know how sometimes you just want to scream? You could just scream, or you could grab a spoon, get a grip, and treat yourself to some primal s'cream therapy of the sublimest chocolate kind. (Euphoria may occur upon tasting.)",4.8,72,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, COCOA (PROCESSED WITH ALKALI), WHEAT FLOUR, SUGAR, SOYBEAN OIL, BROWN SUGAR, EGG YOLKS, CHOCOLATE LIQUOR, COCOA, HONEY, GUAR GUM, COCOA BUTTER, VANILLA EXTRACT, SALT, BAKING SODA, NATURAL FLAVORS, SOY LECITHIN, CARRAGEENAN",bj
20_bj,Chubby Hubby®,Vanilla Malt Ice Cream with Peanutty Fudge-Covered Pretzels with Fudge & Peanut Buttery Swirls,"Two tricksters convinced a co-worker this flavor really existed (it didn’t), then felt guilty & made him an actual batch packed with pretzels, peanut butter & fudge. He loved it, so did we, & the rest is history. Enjoy!",4.3,118,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, PEANUTS, WHEAT FLOUR, COCONUT OIL, PARTIALLY DEFATTED PEANUT FLOUR, EGG YOLKS, BUTTER (CREAM, SALT), PEANUT OIL, BARLEY MALT, VANILLA EXTRACT, MILK, COCOA (PROCESSED WITH ALKALI), SALT, SOY LECITHIN, COCOA, CHOCOLATE LIQUOR, SOYBEAN OIL, GUAR GUM, ENZYMES, BAKING SODA, CARRAGEENAN",bj
21_bj,Chunky Monkey®,Banana Ice Cream with Fudge Chunks & Walnuts,"To create a flavor as fun as the name, we monkeyed around with bunches of test batches until we knew we had a winner: the nuttiest chocolatey-chunkiest concoction-gone-bananas you'll ever go ape for.",4.4,108,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WALNUTS, BANANA PUREE, COCONUT OIL, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), COCOA POWDER, LEMON JUICE CONCENTRATE, GUAR GUM, NATURAL FLAVORS, MILK FAT, CARRAGEENAN, SOY LECITHIN, VANILLA EXTRACT",bj
22_bj,Cinnamon Buns®,Caramel Ice Cream with Cinnamon Bun Dough & a Cinnamon Streusel Swirl,"Our cool salute to cinnamon buns is so cinnamon-streuseled & dough-loaded, there's no telling where the cinnamon buns end or the ice cream begins. That's because it's one fun flavor all the way through. Enjoy!",4.6,83,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, DRIED CANE SYRUP, WHEAT FLOUR, CORN SYRUP, EGG YOLKS, BROWN SUGAR, SOYBEAN OIL, BUTTER (CREAM, SALT), SPICE, COCONUT OIL, MOLASSES, SALT, SOY LECITHIN, SODIUM BICARBONATE, VANILLA EXTRACT, GUAR GUM, CARRAGEENAN",bj
23_bj,Coffee Coffee BuzzBuzzBuzz!®,Coffee Ice Cream with Espresso Bean Fudge Chunks,"Somewhere between the creamy coffee coffee ice cream & the buzzbuzzbuzz of espresso fudge, it hits you: you’re wide awake & in lovelovelove.",4.9,47,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COFFEE EXTRACT, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), COFFEE, COCOA POWDER, SOY LECITHIN, GUAR GUM, VANILLA EXTRACT, CARRAGEENAN",bj
24_bj,Coffee Toffee Bar Crunch,Coffee Ice Cream with Fudge-Covered Toffee Pieces,Coffee What Bar Crunch?  We gave this flavor a new name to go with the new toffee bars we’re using as part of our commitment to source Fairtrade Certified and non-GMO ingredients.  We love it and know you will too!,2.9,302,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COFFEE EXTRACT, EGG YOLKS, BUTTER (CREAM, SALT), ALMONDS, COCOA (PROCESSED WITH ALKALI), MILK, SOY LECITHIN, COCOA, NATURAL FLAVOR, SALT, VANILLA EXTRACT, VEGETABLE OIL (CANOLA, SAFFLOWER, AND/OR SUNFLOWER OIL), GUAR GUM, CARRAGEENAN",bj
25_bj,Cold Brew Caramel Latte,Cold Brew & Sweet Cream Ice Creams with Salted Caramel Swirls,"If you’ve been looking for a more chillacious way to get your Ben & Jerry’s on, this dreamy latte-inspired ice cream made with cold brew coffee, rich sweet cream, & salt-kissed caramel is a mighty cool & euphoric motorvator.",4.6,10,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), CORN SYRUP, EGG YOLKS, SUGAR, BUTTER (CREAM, SALT), COFFEE, SEA SALT, GUAR GUM, CARAMELIZED SUGAR SYRUP, CARRAGEENAN, BAKING SODA",bj
26_bj,Everything But The...®,"A Collision of Chocolate & Vanilla Ice Creams mixed with Peanut Butter Cups, Fudge-Covered Toffee Pieces, White Chocolatey Chunks & Fudge-Covered Almonds","We've combined some of your most favorite Ben & Jerry's flavors & swirled them into even bigger show-stoppers. Now you can enjoy them in tasty, twisted tandem!",3.8,72,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, PEANUTS, ROASTED ALMONDS (ALMONDS, PEANUT OIL), PARTIALLY DEFATTED PEANUT FLOUR, DRIED CANE SYRUP, BUTTER (CREAM, SALT), VANILLA EXTRACT, MILK, COCOA, SOY LECITHIN, ALMONDS, SALT, GUAR GUM, NATURAL FLAVORS, MILK FAT, BUTTEROIL, VEGETABLE OIL (CANOLA, SAFFLOWER, AND/OR SUNFLOWER OIL), CARRAGEENAN, CORN MALTODEXTRIN",bj
27_bj,Glampfire Trail Mix™,"Chocolate Ice Cream with Crunchy Pretzel Swirls, Marshmallow Swirls & Fudge-Covered Almonds","Inspired by glampfire tales of outdoorsy getaways filled with indoorsy perks, our trail mix is uber-chocolatey, nutty, marshmallowed-&-pretzeled, so you can get lost in the dessert without leaving the yurt.",4.7,68,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, COCOA (PROCESSED WITH ALKALI), CORN SYRUP, SUGAR, CANOLA OIL, WHEAT FLOUR, CORN STARCH, ROASTED ALMONDS (ALMONDS, PEANUT OIL), DRIED CANE SYRUP, COCONUT OIL, EGG YOLKS, SALT, MILK FAT, COCOA, EGG WHITES, SOY LECITHIN, BUTTEROIL, VANILLA EXTRACT, GUAR GUM, TAPIOCA STARCH, NATURAL FLAVOR, PECTIN, SOYBEAN OIL, BAKING SODA, CARRAGEENAN, BARLEY MALT",bj
28_bj,Half Baked®,Chocolate & Vanilla Ice Creams mixed with Gobs of Chocolate Chip Cookie Dough & Fudge Brownies,"Ben & Jerry’s is proud to partner with fellow B Corps Greyston & Rhino Bakeries to bring you half baked. The incredible stories behind both the fudge brownies & cookie dough make this a flavor that not only tastes good, but does good.",4.7,887,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, WHEAT FLOUR, BROWN SUGAR, COCOA (PROCESSED WITH ALKALI), EGG YOLKS, BUTTER (CREAM, SALT), COCOA POWDER, EGGS, EXPELLER PRESSED SOYBEAN OIL, SOYBEAN OIL, INVERT CANE SUGAR, CHOCOLATE LIQUOR, VANILLA EXTRACT, SALT, EGG WHITES, GUAR GUM, MOLASSES, COCOA BUTTER, NATURAL FLAVOR, CARRAGEENAN, SOY LECITHIN, BAKING SODA, MALTED BARLEY FLOUR",bj
29_bj,Ice Cream Sammie,Vanilla Ice Cream with Chocolate Sandwich Cookies & Chocolate Cookie Swirls,"To capture the great taste of the classic ice cream sandwich in a flavor that’s not actually a sandwich, we packed our creamy-rich vanilla ice cream with chocolate sandwich cookies & swirls, best-captured, by you, with a spoon.",5.0,31,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WHEAT FLOUR, CANOLA OIL, EGG YOLKS, COCOA PROCESSED WITH ALKALI, COCONUT OIL, SUNFLOWER OIL, COCOA, BUTTEROIL, SALT, BAKING SODA, TAPIOCA STARCH, NATURAL FLAVORS, GUAR GUM, SOY LECITHIN, VANILLA EXTRACT, NATURAL FLAVOR, CARRAGEENAN",bj
30_bj,Milk & Cookies,"Vanilla Ice Cream with a Chocolate Cookie Swirl, Chocolate Chip & Chocolate Chocolate Chip Cookies","How do you take classic milk-&-cookie goodness to a whole 'nother level of greatness? We don’t really know what that means, but we know this flavor’s loaded with the most euphoric assortment of cookies we ever dunked, chunked & swirled in our ice cream.",4.7,104,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WHEAT FLOUR, CANOLA OIL, EGG YOLKS, BROWN SUGAR, BUTTER (CREAM, SALT), COCOA (PROCESSED WITH ALKALI), COCOA, COCONUT OIL, CHOCOLATE LIQUOR, SOYBEAN OIL, EGGS, SALT, NATURAL FLAVORS, VANILLA EXTRACT, TAPIOCA STARCH, GUAR GUM, HONEY, BAKING SODA, COCOA BUTTER, SOY LECITHIN, VANILLA BEANS, CARRAGEENAN",bj
31_bj,Mint Chocolate Cookie,Peppermint Ice Cream with Chocolate Sandwich Cookies,"In case you’ve ever wondered what makes this wintry flavor so wicked cool to luge a spoon through: it’s the pepperminty excellence we packed in it, not to mention all those chocolate sandwich cookie moguls. Enjoy!",4.4,141,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WHEAT FLOUR, EGG YOLKS, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), SUNFLOWER OIL, SALT, BAKING SODA, GUAR GUM, NATURAL FLAVORS, SOY LECITHIN, PEPPERMINT EXTRACT, CARRAGEENAN",bj
32_bj,Minter Wonderland™,Dark Chocolate Mint Ice Cream with Marshmallow Swirls & Chocolate Cookie Swirls,"Imagine a wild ride through the wintriest, chocolate mintiest wonderland of ice cream filled with crunchy cookie swirls and marshmallowy drifts. Honestly, if this flavor was a toboggan, you’d already be on it.",4.7,32,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, COCOA (PROCESSED WITH ALKALI), SUGAR, CORN SYRUP, CANOLA OIL, WHEAT FLOUR, EGG YOLKS, COCOA, COCONUT OIL, EGG WHITES, NATURAL FLAVORS, TAPIOCA STARCH, GUAR GUM, SALT, PECTIN, SOY LECITHIN, BAKING SODA, CARRAGEENAN",bj
33_bj,New York Super Fudge Chunk®,"Chocolate Ice Cream with White & Dark Fudge Chunks, Pecans, Walnuts & Fudge-Covered Almonds","In 1985, to make a name for ourselves in New York, we picked a New York kind of name and created a flavor packed with more kinds of chunks than ever before. We figured if the flavor was euphoric in New York, it would be everywhere. It was, and it is.",4.9,63,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, COCOA (PROCESSED WITH ALKALI), SUGAR, COCONUT OIL, WALNUTS, PECANS, ROASTED ALMONDS (ALMONDS, PEANUT OIL), DRIED CANE SYRUP, EGG YOLKS, COCOA, MILK FAT, SALT, SOY LECITHIN, VANILLA EXTRACT, GUAR GUM, BUTTEROIL, PEANUT OIL, BUTTER (CREAM), NATURAL FLAVORS, CARRAGEENAN",bj
34_bj,Oat of This Swirled™,Buttery Brown Sugar Ice Cream with Fudge Flakes & Oatmeal Cinnamon Cookie Swirls,"When’s the best time to enjoy this blissful mix of brown sugar ice cream with otherworldly swirls of cinnamony oatmeal cookies? Any time between breakfast and bed, from now ‘til whenever.",4.5,255,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, CANOLA OIL, COCONUT OIL, EGG YOLKS, BUTTER (CREAM, SALT), COCOA (PROCESSED WITH ALKALI), BUTTER OIL, WHEAT FLOUR, OATS, BROWN SUGAR, COCOA POWDER, SPICE, TAPIOCA STARCH, SALT, GUAR GUM, SOY LECITHIN, VANILLA EXTRACT, BAKING SODA, NATURAL FLAVOR, LEMON JUICE CONCENTRATE, CARRAGEENAN, MILK FAT",bj
