Company	Valuation ($B)	Country	Category	Select Investors
ReNew Power Ventures	$2	India	Energy & Utilities	Goldman Sachs, JERA, Asian Development Bank
Tempus Labs	$2	United States	Robotic Process Automation	New Enterprise Associates, T. Rowe Associates, Lightbank
Traveloka	$2	Indonesia	TravelTech	Global Founders Capital, East Ventures, Expedia Inc.
Trendy Group International	$2	China	Clothing & Accessories	L Capital Partners
Zenefits	$2	United States	Fintech	SV Angel, Institutional Venture Partners, Venrock
HashiCorp	$2	United States	DevOps	Redpoint Ventures, True Ventures, Mayfield Fund
InVision	$2	United States	Internet Software & Services	FirstMark Capital, Tiger Global Management, ICONIQ Capital
Postmates	$2	United States	On Demand	Founders Fund, Matrix Partners, Tiger Global Management
Afiniti	$2	United States	Internet Software & Services	GAM Holding
Devoted Health	$2	United States	Healthcare	Andreessen Horowitz, F-Prime Capital, Venrock
Quora	$2	United States	Internet Software & Services	Y Combinator, Matrix Partners, Benchmark
reddit	$2	United States	Social	Y Combinator, Sequoia Capital, Coatue Management
Sprinklr	$2	United States	Internet Software & Services	Azure Capital Partners, Battery Ventures, Intel Capital
Zocdoc	$2	United States	Healthcare	Founders Fund, Khosla Ventures, Goldman Sachs
L&P Cosmetic	$2	South Korea	Beauty & grooming	CDIB Capital
23andMe	$2	United States	Healthcare	Google Ventures, New Enterprise Associates, MPM Capital
Buzzfeed	$2	United States	Media	SV Angel, RRE Ventures, New Enterprise Associates
Carbon3D	$2	United States	Hardware	Google Ventures, Sequoia Capital, Wakefield Group
Carta	$2	United States	Fintech	Menlo Ventures, Spark Capital, Union Square Ventures
Graphcore	$2	United Kingdom	Application & Data Integration Software	Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners
Insidesales.com	$2	United States	Big Data	Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers
Pax Labs	$2	United States	Consumer Electronics	Tao Capital Partners, Global Asset Capital, Tiger Global Management
Pony.ai	$2	United States	AutoTech	Sequoia Capital China, IDG Capital, DCM Ventures
Revolut	$2	United Kingdom	Fintech	index Ventures, DST Global, Ribbit Capital
Squarespace	$2	United States	Internet Software & Services	General Atlantic, Index Ventures, Accel Partners
CureVac	$2	Germany	Biotechnology	dievini Hopp BioTech Holding & Co., Eli Lilly & Co., LBBW Venture Capital
Darktrace	$2	United Kingdom	Cybersecurity	KKR, Ten Eleven Ventures, Summit Partners
Jusfoun Big Data	$2	China	Big Data	Boxin Capital, DT Capital Partners, IDG Capital
ServiceTitan	$2	United States	Internet Software & Services	Bessemer Venture Partners, ICONIQ Capital, Battery Ventures
BlaBlaCar	$2	France	On-Demand	Accel Partners, Index Ventures, Insight Venture Partners
CAOCAO	$2	China	On Demand	People Electrical Appliance Group China, Zhongrong International Trust
Dataminr	$2	United States	BI & Analytics	Venrock, Institutional Venture Partners, Goldman Sachs
Delhivery	$2	India	Supply Chain & Logistics	Times Internet, Nexus Venture Partners, SoftBank Group
Gan & Lee Pharmaceuticals	$2	China	Biotechnology	Qiming Venture Partners, Goldman Sachs, Hillhouse Capital Management
Infinidat	$2	Israel	Hardware	TPG Growth, Goldman Sachs
Looker	$2	United States	Business Intelligence, Analytics & Performance Mgmt	Redpoint Ventures, First Round Capital, capitalG
TransferWise	$2	United Kingdom	Fintech	IA Ventures, Index Ventures, SV Angel
AIWAYS	$2	China	Auto Tech	Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology
Quanergy Systems	$2	United States	Auto Tech	Delphi Automotive, Samsung Ventures, Motus Ventures
Promasidor Holdings	$2	South Africa	Food and Beverage	IFC, Ajinomoto
Oxford Nanopore Technologies	$2	United Kingdom	Healthcare	Illumina, Invesco Perpetual, IP Group
DouyuTV	$2	China	Internet Software & Services	CMB International Capital, Nanshan Capital, Tencent Holdings
Aihuishou	$2	China	Marketplace	Morningside Ventures, JD.com, Tiantu Capital
Asana	$2	United States	Internet Software & Services	8VC, Benchmark, Generation Investment Management
Chime	$2	United States	Fintech	Forerunner Ventures, Crosslink Capital, Homebrew
Desktop Metal	$2	United States	3D Printing	Australian Future Fund, GE Ventures, Data Collective
Freshworks	$2	United States	Internet Software & Services	Accel, Tiger Global Management, capitalG
GuaHao (We Doctor)	$2	China	Healthcare	Tencent, Morningside Group
ironSource	$2	Israel	Mobile Software & Services	Access Industries, Clal Industries and Investments
Mu Sigma	$2	United States	Big Data	Sequoia Capital, General Atlantic
Nextdoor	$2	United States	Social	Benchmark Capital, DAG Ventures, Insight Venture Partners
Segment	$2	United States	Internet Software & Services	Accel, Y Combinator, Thrive Capital
STX Entertainment	$2	United States	Entertainment	Tencent, TPG Growth, Hony Capital
Tujia	$2	China	eCommerce/Marketplace	GGV Capital, QiMing Venture Partnersl
Tuandaiwang	$1	China	Fintech	Beihai Hongtai Investment, China Minsheng Investment, Yisheng Innovation
Coocaa	$1	China	Consumer Hardware	Baidu, Tencent Holdings
Allbirds	$1	United States	Apparel	Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management
AppLovin	$1	United States	Adtech	Orient Hontai Capital, Webb Investment Network
AvidXchange	$1	United States	Fintech	Temasek Holdings, Charlotte Angel Partners, TPG Growth
C3 IoT	$1	United States	IoT	Makena Capital Management, TPG Growth, Breyer Capital
Cabify	$1	Spain	On Demand	Seaya Ventures, Otter Rock Capital, Rakuten
CGTZ	$1	China	Fintech	Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund
Gett	$1	Israel	On-demand	Volkswagen, Access Industries, Vostok New Ventures
Hike	$1	India	Social	Foxconn, Tiger Global management, Tencent
Koudai Gouwu	$1	China	eCommerce/Marketplace	New Enterprise Associates, Tiger Global management, Tencent
Wemakeprice	$1	South Korea	eCommerce/Marketplace	IMM Investment, NXC
Docker	$1	United States	Internet Software & Services	Greylock Partners, Lightspeed Venture Partners, Lowercase Capital
Zeta Interactive	$1	United States	Internet Software & Services	GSO Capital Partners, Franklin Square
Intercom	$1	United States	Mobile & Telecommunications	FirstMark Capital, Tiger Global Management
Monzo	$1	United Kingdom	Fintech	Passion Capital, Thrive Capital, Orange Digital Ventures
Starry	$1	United States	Sales Tech	Social Capital, Bessemer Venture Partners
Atom Bank	$1	United Kingdom	Fintech	Toscafund Asset Management, Woodford Investment Management, BBVA
Butterfly Network	$1	United States	Healthcare	Bill & Melinda Gates Foundation, Aeris Capital,
ezCater	$1	United States	Food & Grocery	Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group
4Paradigm	$1	China	Cybersecurity	Sequoia Capital China, China Construction Bank, Bank of China
Clover Health	$1	United States	Healthcare	Google Ventures, Sequoia Capital, First Round Capital
Glossier	$1	United States	eCommerce	Forerunner Ventures, Institutional Venture Partners, Thrive Capital
Human Longevity	$1	United States	Healthcare	Celgene, GE Ventures, Draper Fisher Jurvetson
KeepTruckin	$1	United States	Supply Chain & Logistics	Google Ventures, Index Ventures, Scale Venture Partners
OfferUp	$1	United States	eCommerce/Marketplace	Andreessen Horowitz, GGV Capital, T. Rowe Price
Ten-X	$1	United States	Internet Software & Services	Stone Point Capital, Google Capital
Thumbtack	$1	United States	eCommerce/Marketplace	Tiger Global, Sequoia Capital, Google Capital
Viva Republica (Toss)	$1	South Korea	Fintech	Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers
Warby Parker	$1	United States	eCommerce/Marketplace	BoxGroup, Felicis Ventures, First Round Capital
Yiguo (易果生鲜)	$1	China	Food & Grocery	Alibaba Group, KKR, Goldman Sachs
HeartFlow	$1	United States	Digital Health	BlueCross BlueShield Venture Partners, US Venture Partners
Logic Show (Luojisiwei)	$1	China	Ed Tech	Sequoia Capital China, Qiming Venture Partners, Tencent Holdings
Automattic	$1	United States	Internet Software & Services	Insight Venture Partners, Lowercase Capital, Polaris Partners
Deezer	$1	France	Internet Software & Services	Orange Digital Ventures, Access Industries
Tuhu	$1	China	Auto Tech	Qiming Venture Partners, Yaxia Automobile, Far East Horizon
BrewDog	$1	United Kingdom	Food & Beverages	TSG Consumer Partners, Crowdcube
LIfeMiles	$1	Colombia	Business Products & Services	Advent International
Doctolib	$1	France	Digital Health	BPI France, Kerala Ventures, Accel
Actifio	$1	United States	Big Data	Greylock Partners, North Bridge Venture Partners, Technology Crossover Ventures
Airtable	$1	United States	Internet Software & Services	Caffeinated Capital, CRV, Founder Collective
Brex	$1	United States	Fintech	DST Global, Ribbit Capital, Greenoaks Capital Management
Casper	$1	United States	eCommerce / D2C	Norwest Venture Partners, New Enterprise Associates, Lerer Hippeau Ventures
GitLab	$1	United States	DevOps	Google Ventures, ICONIQ Capital, Khosla Ventures
Global Fashion Group	$1	Luxembourg	eCommerce/Marketplace	Access Industries, Rocket Internet, Tengelmann Ventures
Outreach	$1	United States	BI & Analytics	Mayfield Fund, M12, Trinity Ventures
OVH	$1	France	Big Data	KKR, TowerBrook Capital Partners
Proteus Digital Health	$1	United States	Healthcare	Novartis, Essex Woodlands, The Carlyle Group
Shopclues	$1	India	eCommerce/Marketplace	Nexus Venture Partners, GIC Special Investments, Tiger Global Management
TangoMe	$1	United States	Social	Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group
Tradeshift	$1	United States	Fintech / Supply Chain	Notion Capital, Scentan Ventures, Kite Ventures
Yijiupi (易久批)	$1	China	e-commerce	Source Code Capital, Meituan Dianping, Tencent Holdings
TuSimple	$1	United States	AutoTech	Sina Weibo Fund, Zhiping Capital, Composite Capital Partners
Radius Payments Solutions	$1	United Kingdom	Internet Software & Services	Inflexion Private Equity
Formlabs	$1	United States	3D Printing	Pitango Venture Capital, DFJ Growth Fund, Foundry Group
Jiuxian	$1	China	eCommerce/Marketplace	Sequoia Capital China, Rich Land Capital, Merrysunny Wealth
AppDirect	$1	United States	Internet Software & Services	Mithril, iNovia Capital, Foundry Group
Jumia	$1	Nigeria	eCommerce/Marketplace	AXA
Avaloq Group	$1	Switzerland	Fintech	Warbug Pincus
10X Genomics	$1	United States	Genomics	Fidelity Investments, Paladin Capital Group, Meritech Capital Partners
17zuoye	$1	China	EdTech	DST Global, Temasek Holdings
58 Daojia	$1	China	Internet Software & Services	KKR, Alibaba Group, Ping An Insurance
9f Group	$1	China	Fintech	China Cinda Asset Management, IDG Capital
About You	$1	Germany	eCommerce	German Media Pool, Seven Venture Capital
Adaptive Biotechnologies	$1	United States	Healthcare	Illumina, Celgene, Casdin Capital
Age of Learning	$1	United States	Edtech	Iconiq Capital
Aijia Life	$1	China	Construction Tech	Tiantu Capital, Fortune Capital, Zhenghedao Fund
Airwallex	$1	Australia	Fintech	DST Global, Sequoia Capital China, Tencent Holdings
Apus Group	$1	China	Mobile Software & Services	Redpoint Ventures, QiMing Venture Partners, Chengwei Capital
BeiBei	$1	China	eCommerce/Marketplace	Banyan Capital, New Horizon Capital, IDG Capital Partners
BigBasket	$1	India	eCommerce/Marketplace	Alibaba Group, Bessemer Venture Partners, Helion Venture Partners
Bill.com	$1	United States	Fintech	August Capital, DCM Ventures, Emergence Capital Partners
Bolt	$1	Estonia	On-demand	Didi Chuxing, Diamler, TMT Investments
Bukalapak	$1	Indonesia	eCommerce	500 Startups, Batavia Incubator, Emtek Group
Calm	$1	United States	Health & Wellness	Insight Venture Partners, TPG Growth, Sound Ventures
Canva	$1	Australia	Collaboration & Project Management	Sequoia Capital China, Blackbird Ventures, Matrix Partners
Cell C	$1	South Africa	Telecommunications	Blue Label Telecoms, Net1 UEPS Technologies
Celonis	$1	Germany	BI & Analytics	Accel, 83North
CloudFlare	$1	United States	Cybersecurity	New Enterprise Associates, Pelion Venture Partners, Union Square Ventures
Cohesity	$1	United States	Data Storage	SoftBank Group, Sequoia Capital, Wing Venture Capital
Collibra	$1	United States	Regtech / AI	Index Ventures, Battery Ventures, ICONIQ Capital
Convoy	$1	United States	Supply Chain	Greylock Partners, capitalG, Y Combinator
Coursera	$1	United States	Edtech	New Enterprise Associates, Kleiner Perkins Caufield & Byers, GSV Capital, Learn Capital
Ding Xiang Yuan	$1	China	Digital Health	Tencent Holdings, DCM Ventures
Dream11	$1	India	Sports/Gaming	Kaalari Capital, Tencent Holdings, Steadview Capital
Dt Dream	$1	China	Internet Software & Services	Alibaba Group, China Everbright Investment Management, Yinxinggu Capital
Face++ (Megvii)	$1	China	AI / Facial Recognition	Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company
Fanli	$1	China	eCommerce/Marketplace	QiMing Venture Partners, Steam boat Ventures
Geek+	$1	China	Robotics	Volcanics Ventures, Vertex Ventures China, Warburg Pincus
Ginkgo BioWorks	$1	United States	Biotechnology	Y Combinator, Data Collective, MassVentures
GoodRx	$1	United States	Travel Tech	Silver Lake Partners, SV Angel, Upfront Ventures
Gusto	$1	United States	Fintech	General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers
Health Catalyst	$1	United States	Digital Health	Sequoia Capital, Kaiser Permanente Ventures, Norwest Venture Partners
Hims	$1	United States	Consumer Products & Services	Forerunner Ventures, Thrive Capital, Redpoint Ventures
Huike Group (Uniquedu Corporation)	$1	China	HR Tech	Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.
HuJiang	$1	China	Edtech	China Minsheng Investment, Baidu, Wanxin Media
iCarbonX	$1	China	Healthcare	Tencent, Vcanbio
iFood	$1	Brazil	On Demand	Movile, Just Eat, Naspers
Illumio	$1	United States	Cybersecurity	Data Collective, Formation 8, General Catalyst Partners
InMobi	$1	India	Adtech	Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures
iTutorGroup	$1	China	Ed Tech	QiMing Venture Partners, Temasek Holdings, Silverlink Capital
JFrog	$1	United States	DevOps	Gemini Israel Ventures, VMware, Battery Ventures
JOLLY Information Technology	$1	China	ecommerce	Legend Capital, CDH Investments, Sequoia Capital China
Kabbage	$1	United States	Fintech	BlueRun Ventures, SV Angel, Mohr Davidow Ventures
Katerra	$1	United States	Construction Tech	Foxconn Technology Company, Khosla Ventures, Moore Capital Management
Kendra Scott Jewelry	$1	United States	Clothing & Accessories	Berkshire Partners, Norwest Venture Partners
Kik Interactive	$1	Canada	Social	Union Square Ventures, RRE Ventures, Spark Capital
Klook	$1	Hong Kong	Travel Tech	Sequoia Capital China, Goldman Sachs, Matrix Partners China
Lalamove	$1	Hong Kong	Consumer Electronics	MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital
letgo	$1	United States	eCommerce/Marketplace	Accel Partners, FJ Labs, Insight Venture Partners
LinkDoc Technology	$1	China	Digital Health	China Investment Corporation, New Enterprise Associates
LinkSure Network	$1	China	Internet Software & Services	N/A
Liquid	$1	United States	Fintech	JAFCO Co, Bitmain Technologies, IDG Capital
Lookout	$1	United States	Cybersecurity	Accel Partners, Greylock Partners, Lowercase Capital
MarkLogic	$1	United States	Big Data	Sequoia Capital, Tenaya Capital, Northgate Capital
MediaMath	$1	United States	AdTech	Silicon Valley Bank, QED Investors, European Founders Fund
Medlinker	$1	China	Digital health	China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China
Mia.com	$1	China	eCommerce/Marketplace	Sequoia Capital China, ZhenFund, K2 Ventures
MindMaze	$1	Switzerland	VR/AR	Hinduja Group
Mofang Gongyu	$1	China	Facilities	Warburg Pincus, Aviation Industry Corporation of China
Momenta	$1	China	Auto Tech	Sinovation Ventures, Tencent Holdings, Sequoia Capital China
Netskope	$1	United States	Cybersecurity	Lightspeed Venture Partners, Social Capital, Accel
New Dada	$1	China	Supply Chain Tech	DST Global, Sequoia Capital China
Nxin (农信互联)	$1	China	Ag Tech	Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund
Omio	$1	Germany	Travel Tech	Lakestar, Battery Ventures, New Enterprise Associates
OrCam Technologies	$1	Israel	Consumer Electronics	Intel Capital, Aviv Venture Capital
OutSystems	$1	Portugal	DevOps	KKR, ES Ventures, North Bridge Growth Equity
Pat McGrath Labs	$1	United States	e-commerce	One Luxury Group, Eurazeo
Poizon	$1	China	eCommerce/Marketplace	DST Global, Sequoia Capital China, Gaorong Capital
PolicyBazaar	$1	India	Fintech	Info Edge, Softbank Capital
Rappi	$1	Colombia	On-demand	DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures
Red Ventures	$1	United States	Business Products & Services	Silver Lake Partners, General Atlantic
Rent the Runway	$1	United States	eCommerce	Bain Capital Ventures, Kleiner Perkins Caufield & Byers, Highland Capital Partners
Revolution Precrafted	$1	Philippines	Construction Tech	K2 Global, 500 Startups
