date,EUR,CNY,JPY,GBP,THB
2012-10-16,0.7665184731,6.2646021769,78.9054116204,0.6206500077,30.6699371455
2012-10-17,0.762195122,6.2544969512,78.681402439,0.6185213415,30.6303353659
2012-10-18,0.7623113279,6.251410276,79.2880012197,0.6189205672,30.6502515627
2012-10-19,0.7671653241,6.2534714231,79.2251630226,0.6235136172,30.7203682394
2012-10-22,0.765520937,6.2546888157,79.8208681007,0.6235168032,30.7402587461
2012-10-23,0.768935025,6.2520569012,79.846212995,0.6256439831,30.7497116494
2012-10-24,0.7726781023,6.2477205996,79.8408283109,0.6245557101,30.7201359913
2012-10-25,0.7696451936,6.2419764489,80.1585469099,0.6194874163,30.6903717386
2012-10-26,0.7747133561,6.2489154013,79.9116826774,0.6207003409,30.739851255
2012-10-29,0.7753140022,6.2436036595,79.6169948829,0.6237788804,30.73034579
2012-10-30,0.7714858818,6.2400864064,79.4630458263,0.6219719179,30.6897083783
2012-10-31,0.7696451936,6.2372816132,79.8737781883,0.6206803664,30.6903717386
2012-11-01,0.7707129094,6.2404624277,80.0154142582,0.6189980732,30.7098265896
2012-11-02,0.7782101167,6.2416342412,80.5836575875,0.6238132296,30.7501945525
2012-11-05,0.7826563356,6.2471628708,80.3005400329,0.6260468028,30.8202238397
2012-11-06,0.78125,6.26296875,80.15625,0.6257421875,30.76015625
2012-11-07,0.7845598619,6.2584340185,80.1114075004,0.6263925938,30.6896281186
2012-11-08,0.7851758794,6.2576947236,79.8837939698,0.6254318467,30.7003768844
2012-11-09,0.7877737514,6.2452339688,79.1239955885,0.6280526233,30.6499133449
2012-11-12,0.7852375344,6.2295249313,79.4110718492,0.6297605026,30.6399685905
2012-11-13,0.7876496534,6.2315689981,79.4974795211,0.6298440454,30.6797416509
2012-11-14,0.785792865,6.2252082351,80.1508722301,0.6306773534,30.71035675
2012-11-15,0.7839448103,6.2339291314,81.2637190342,0.6314283474,30.7196613358
2012-11-16,0.7846214202,6.2354648882,81.1612397018,0.6296194586,30.7500980777
2012-11-19,0.783576242,6.2348377997,81.1784986679,0.6293684375,30.7201065664
2012-11-20,0.7807010696,6.232883129,81.4973846514,0.6281911156,30.6698415177
2012-11-21,0.7809449434,6.2319406482,82.3818820773,0.627645451,30.6997266693
2012-11-22,0.7756146746,6.2319863492,82.5409136741,0.6264639727,30.7003800512
2012-11-23,0.7746533426,6.2286776667,82.2604384538,0.6275466729,30.7002866217
2012-11-26,0.7713668621,6.2254705338,82.1274298056,0.6247685899,30.6803455724
2012-11-27,0.7715454054,6.2222822313,82.1387238639,0.6234858421,30.6797315022
2012-11-28,0.7757350089,6.2260491816,81.7934993406,0.6259173066,30.7299666434
2012-11-29,0.7695859628,6.2272587348,82.1302139449,0.6237725104,30.7103278436
2012-11-30,0.7700600647,6.2297089173,82.6813491452,0.6243647004,30.6999845988
2012-12-03,0.765872712,6.2286895918,82.2240943555,0.6219652294,30.6502259325
2012-12-04,0.7638252368,6.2256339749,81.9431714024,0.6204552398,30.6897341888
2012-12-05,0.7654037505,6.230003827,82.1354764638,0.621431305,30.6796785304
2012-12-06,0.76499388,6.2300336597,82.3592411261,0.6206777846,30.6601897185
2012-12-07,0.7748934522,6.2268888028,82.2859356838,0.6246416118,30.680356451
2012-12-10,0.7733952049,6.2400618716,82.1577726218,0.6221191029,30.6496519722
2012-12-11,0.7696451936,6.2462094974,82.4366966828,0.6214115293,30.620334026
2012-12-12,0.7668711656,6.2484662577,82.9141104294,0.619440184,30.6196319018
2012-12-13,0.7647013841,6.2590043588,83.4900971171,0.6194463562,30.6499961765
2012-12-14,0.7644675484,6.2460056571,83.747419922,0.6203654155,30.6299212598
2012-12-17,0.7598784195,6.2389817629,83.8829787234,0.6170212766,30.6003039514
2012-12-18,0.7588404917,6.2284868721,83.8746395508,0.6167855517,30.5698892093
2012-12-19,0.7517666516,6.2322958954,84.4685009773,0.6135167644,30.6096827545
2012-12-20,0.754944889,6.2323720368,84.1914540239,0.6149781066,30.6198097539
2012-12-21,0.7570595806,6.2314331138,84.0260428496,0.6163979105,30.6298735711
2012-12-24,0.7565441065,6.2334695113,84.4605840521,0.6184748071,30.6097745499
2012-12-27,0.753806724,6.236996834,85.8359716569,0.618046133,30.6497813961
2012-12-28,0.7585526815,6.2331790943,86.0957293484,0.6196996131,30.6098763559
2012-12-31,0.7579202668,6.2306351372,86.1073215098,0.6185387297,30.5798090041
2013-01-02,0.7540340823,6.2330719349,87.0004524204,0.613783743,30.3400693711
2013-01-03,0.7632422531,6.2359181804,86.9561898947,0.6187986567,30.3701724927
2013-01-04,0.7685213649,6.2306332616,88.3492161082,0.6242699047,30.5102981863
2013-01-07,0.7669299793,6.2297722218,87.7981440295,0.6225170642,30.4402178081
2013-01-08,0.7641754547,6.225126089,87.5439400886,0.6224209078,30.4401650619
2013-01-09,0.7659313725,6.2261029412,87.5765931373,0.6242723652,30.3699448529
2013-01-10,0.762601998,6.2251201098,88.2788072905,0.6231983528,30.2997025852
2013-01-11,0.7533524183,6.2168901612,89.0311887901,0.6201597107,30.2697001657
2013-01-14,0.7495689978,6.2202983285,89.2736676411,0.623041751,30.2398620793
2013-01-15,0.7503564193,6.2157274705,88.5720717341,0.6229834171,30.0202596233
2013-01-16,0.7531821948,6.2176696543,88.1675077201,0.6252165399,29.8599081118
2013-01-17,0.7480550569,6.2211998803,89.2579293836,0.6239527229,29.7703470975
2013-01-18,0.7505253678,6.2202791954,89.9654758331,0.6283398379,29.7403182228
2013-01-21,0.7505817008,6.2217218344,89.5969376267,0.629738047,29.7402987315
2013-01-22,0.7509198768,6.2206202598,88.743711046,0.6305098746,29.7401817226
2013-01-23,0.7501875469,6.2183795949,88.5071267817,0.6306826707,29.7899474869
2013-01-24,0.7491197843,6.2228631358,89.6921117687,0.6321821859,29.7999850176
2013-01-25,0.7424456159,6.2209518153,91.105501522,0.6321181973,29.9235281016
2013-01-28,0.7438262422,6.2270901517,90.903005058,0.635599524,29.9598333829
2013-01-29,0.7444353458,6.2278716593,90.4637832204,0.6354500112,29.8503684955
2013-01-30,0.7384978953,6.2210324201,91.241414962,0.6338527435,29.7496492135
2013-01-31,0.7380073801,6.2189667897,91.0110701107,0.6324723247,29.8302583026
2013-02-01,0.7329228965,6.2272793902,92.1870419232,0.6315596599,29.7999120493
2013-02-04,0.7378984652,6.2339138135,92.7021841795,0.6359946871,29.7697756789
2013-02-05,0.7387161114,6.2304055551,93.322006353,0.6352219842,29.7503139543
2013-02-06,0.7398091292,6.2320041429,93.5710586669,0.6385292595,29.7898942073
2013-02-07,0.7382253064,6.2320980363,93.6660268714,0.6366455042,29.7800088587
2013-02-08,0.7477194557,6.2353820846,92.3583071632,0.6328323613,29.789890833
2013-02-11,0.7467702188,6.2323948921,93.4358897767,0.6373683817,29.849899186
2013-02-12,0.7441583569,6.2338889716,94.2104479833,0.6410924245,29.8697722875
2013-02-13,0.7418397626,6.2324925816,93.4347181009,0.6424332344,29.8197329377
2013-02-14,0.7503564193,6.23261049,93.3368349966,0.6448563067,29.8101598259
2013-02-15,0.7504690432,6.232195122,93.0806754221,0.6457035647,29.8701688555
2013-02-18,0.7489514679,6.2455811863,93.7986818454,0.6455212702,29.8899041342
2013-02-19,0.7491197843,6.2443628736,93.4976402727,0.6465652858,29.8696531575
2013-02-20,0.7479431563,6.237920718,93.5602094241,0.6531787584,29.8197456993
2013-02-21,0.7583801001,6.2394964356,93.166995298,0.6553920825,29.8596996815
2013-02-22,0.7583801001,6.2406340058,93.2655847111,0.6537615653,29.8399817989
2013-02-25,0.751653638,6.2373722189,93.9567047505,0.6606283824,29.8203547805
2013-02-26,0.7647013841,6.2308633479,91.91710637,0.6601667049,29.8302362927
2013-02-27,0.7635336337,6.2276093762,91.6698480568,0.6597312362,29.8396579369
2013-02-28,0.7616726331,6.2243887577,92.2157056897,0.6573234824,29.7699748648
2013-03-01,0.7692307692,6.2236923077,92.7153846154,0.6651538462,29.79
2013-03-04,0.768816791,6.2258014915,93.5419389559,0.6642577074,29.8300914892
2013-03-05,0.7672241829,6.2195028387,93.179377014,0.6596593525,29.7997544883
2013-03-06,0.7671653241,6.2191024166,93.4790947449,0.6631377062,29.7598772535
2013-03-07,0.7686395081,6.220292083,94.3889315911,0.6648731745,29.7501921599
2013-03-08,0.7639419404,6.2194805195,95.8747135218,0.6653934301,29.7196333079
2013-03-11,0.7695859628,6.2184854548,96.1289826074,0.6721179006,29.7298753271
2013-03-12,0.7661074083,6.2162721214,95.9549528844,0.6713399219,29.5901325366
2013-03-13,0.7703566751,6.2142361914,95.9787381558,0.6685155227,29.6001848856
2013-03-14,0.7729767334,6.2158924016,96.459766561,0.6691659581,29.6498415398
2013-03-15,0.7641754547,6.216872994,95.9498700902,0.6602475928,29.5399663763
2013-03-18,0.7734550236,6.2185010442,95.0421532988,0.6622321912,29.5297393457
2013-03-19,0.7725587145,6.2157756489,95.4032756489,0.6611943758,29.2799752781
2013-03-20,0.7724990344,6.2165314793,95.550405562,0.6606411742,29.1201235998
2013-03-21,0.7745933385,6.2178931061,95.2362509682,0.6596824167,29.1696359411
2013-03-22,0.7723200494,6.2120018536,94.8795180723,0.6586345382,29.3203583565
2013-03-25,0.7730962505,6.2132199459,94.7429454967,0.6583687669,29.3065326633
2013-03-26,0.7775445144,6.2125029158,94.2772723738,0.6601352927,29.3009874815
2013-03-27,0.7832080201,6.2139724311,94.219924812,0.6619282581,29.2998120301
2013-03-28,0.7809449434,6.2163217493,94.3928153065,0.6603670441,29.2253026162
2013-04-02,0.7788161994,6.182165109,93.2943925234,0.6595794393,29.2998442368
2013-04-03,0.7795447459,6.2082164016,93.5141877144,0.6613657624,29.3701278453
2013-04-04,0.78015291,6.2009673896,95.4205024185,0.6611405836,29.3696364487
2013-04-05,0.7725587145,6.2014833127,96.1758343634,0.6559796044,29.310105068
2013-04-08,0.7678722261,6.2033325655,98.6408661599,0.6534208708,29.2298241573
2013-04-09,0.7668711656,6.2023773006,98.8650306748,0.6531825153,29.0398773006
2013-04-10,0.7641754547,6.1938713129,99.105914718,0.6532171787,29.0203270671
2013-04-11,0.7622532205,6.196203979,99.3901974236,0.6494397439,29.0296516503
2013-04-12,0.7661661048,6.1920778425,99.2491572173,0.6510113393,29.0300337113
2013-04-15,0.7644675484,6.1869123156,97.7218867059,0.652014372,29.0803455393
2013-04-16,0.7616726331,6.183106101,97.7759159113,0.6526772793,28.9702186
2013-04-17,0.7616726331,6.1726711859,97.9587173433,0.6560286389,28.8597760682
2013-04-18,0.7665772327,6.1810655424,98.4285166731,0.6552702185,28.7098505174
2013-04-19,0.7624857034,6.1777354175,99.2832634388,0.651467785,28.6000762486
2013-04-22,0.7670476337,6.1817902892,99.7161923755,0.6568228887,28.6699394032
2013-04-23,0.7698229407,6.1791377983,98.9684372594,0.6556197075,28.8298691301
2013-04-24,0.7688759034,6.1780716592,99.5386744579,0.6554667077,28.9297247424
2013-04-25,0.7645259939,6.1659021407,99.1360856269,0.6466360856,29.1100917431
2013-04-26,0.7692899454,6.1650126933,98.5691207016,0.6462035541,29.2999461497
2013-04-29,0.762601998,6.1650270724,97.8189582857,0.6436360863,29.2701898879
2013-04-30,0.76499388,6.165621175,97.4219706242,0.6458843329,29.3000305998
2013-05-02,0.7580926389,6.1560154651,97.8242741263,0.6418012281,29.4299143355
2013-05-03,0.7625438463,6.155635199,98.0631386305,0.6429007168,29.5798383407
2013-05-06,0.7629510948,6.1666285191,99.3209735256,0.6432440681,29.5597772183
2013-05-07,0.7629510948,6.1538109407,99.1683833066,0.6440833143,29.5399404898
2013-05-08,0.761324705,6.1412257328,98.8884659307,0.6447658927,29.3498287019
2013-05-09,0.7609191904,6.1308781007,98.7673109116,0.6424821184,29.4201795769
2013-05-10,0.7699414844,6.1427471512,101.586079458,0.6500615953,29.7797967354
2013-05-13,0.7708317274,6.1467663609,101.7574963385,0.6506590611,29.6801048331
2013-05-14,0.7705941281,6.1427910919,101.6259536102,0.6535794097,29.7102566078
2013-05-15,0.7773631841,6.1450559701,102.6430348259,0.657960199,29.7496890547
2013-05-16,0.7757951901,6.1491854151,102.5213343677,0.6559348332,29.799844841
2013-05-17,0.7770611547,6.1418913669,102.471054472,0.6564224104,29.7800916932
2013-05-20,0.7780284758,6.1388780829,102.5908348246,0.6579008792,29.8101610519
2013-05-21,0.7772423442,6.1367169283,102.8524794031,0.6599564744,29.8196797762
2013-05-22,0.7738141298,6.1310841136,103.1184709433,0.6621527509,29.8003559545
2013-05-23,0.7759155804,6.1340006207,101.699255121,0.6635242086,29.9200806952
2013-05-24,0.7728572533,6.1319267331,101.4375144911,0.6623000232,29.9196228457
2013-05-27,0.7728572533,6.1211067316,100.9274287039,0.6612566659,29.8601128372
2013-05-28,0.7729169887,6.1215025506,102.0095841707,0.6610759004,30.0200958417
2013-05-29,0.7720815318,6.1290920321,101.0654725139,0.6616352687,30.1798949969
2013-05-30,0.7725587145,6.1362793572,101.7459826947,0.661078492,30.2302224969
2013-05-31,0.7688759034,6.1347839459,100.3152391204,0.656350915,30.3552206674
