Position,"Track Name",Artist,Streams,URL
87,Wish,Blackbeans,11294,https://open.spotify.com/track/1ecud9LC1clhcuhjLIyyMB
88,"enough for you","Olivia Rodrigo",11211,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
89,"In the morning",ITZY,11167,https://open.spotify.com/track/2QdH0rKlV3d9Y6lWzcnlBH
90,คนเราจะแอบรักใครสักคนได้นานแค่ไหน,Rooftop,11105,https://open.spotify.com/track/3IPtnAYykrWz9EPjPWx2D7
91,หรือฉันคิดไปเอง,"Zom Marie",10990,https://open.spotify.com/track/3EMXuZ7n0lgQSNSsVk5d3n
92,เลือกคนที่เขารักเรา,"Three Man Down",10963,https://open.spotify.com/track/62cOB2rHLifRe73H85MhNz
93,"Boy With Luv (feat. Halsey)",BTS,10676,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
94,"A Rocket to the Moon","Gavin D",10661,https://open.spotify.com/track/4Tp1SRCTJ6LO8XA3i9vuAT
95,"Green Tea & Honey","Dane Amar",10575,https://open.spotify.com/track/4s5LsmjqGgpwftaPqgONLC
96,positions,"Ariana Grande",10427,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
97,"Astronaut In The Ocean","Masked Wolf",10284,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
98,Celebrity,IU,9946,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
99,ฝันถึงแฟนเก่า,"Three Man Down",9897,https://open.spotify.com/track/3kJG9AsDp8CPiqeIXtvHTM
100,"Butter (Hotter Remix)",BTS,9876,https://open.spotify.com/track/5qtVXK2ZRv9tfmvqr2MnBZ
101,traitor,"Olivia Rodrigo",9865,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
102,เกี้ยวพาราสี,P-Hot,9774,https://open.spotify.com/track/0QARp3CBkKU4VWVqJJx4a5
103,"Stuck with U (with Justin Bieber)","Ariana Grande",9572,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
104,comethru,"Jeremy Zucker",9571,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
105,Heather,"Conan Gray",9525,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
106,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",9519,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
107,"แค่เธอเข้ามา (Worth The Wait)","Tilly Birds",9455,https://open.spotify.com/track/6a5f2v5IlyeEXQRn65MFdS
108,"I Like Me Better",Lauv,9200,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
109,"Hold On","Justin Bieber",9017,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
110,คนไกล,Patrickananda,9002,https://open.spotify.com/track/63VOJDNJ3a5dve74kzWVcF
111,Hello,JOY,8971,https://open.spotify.com/track/3cGp1jXxLReLKz7QgVbWZR
112,ปล่อยปาก,"Atom Chanakan",8941,https://open.spotify.com/track/692Ch9apeq9cOvZ5FalzVB
113,"ผ่านตา (Everyday)","Three Man Down",8915,https://open.spotify.com/track/1rDbnvj4dqnlegBHe3w4zf
114,กอดความเจ็บช้ำ,Safeplanet,8908,https://open.spotify.com/track/13y3BLdlSdVH7wJwavs06O
115,ถามคำ,UrboyTJ,8596,https://open.spotify.com/track/3sLTOt7ZMwEWEB7YdLaeZS
116,"Keep Cold",Numcha,8575,https://open.spotify.com/track/3IgTrdtmSqAWsFmXTEftOv
117,ต้องชอบแค่ไหน,Pretzelle,8517,https://open.spotify.com/track/5MZwRe4ZpXTuhpM8hhhsv8
118,"10,000 Hours (with Justin Bieber)","Dan + Shay",8400,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
119,ลงใจ,BOWKYLION,8302,https://open.spotify.com/track/69ubzIqMB8QgoWZiazDrQ3
120,"บอกให้ฟังหน่อยนะ (please tell me)","SERIOUS BACON",8290,https://open.spotify.com/track/17UUTchNWTLOFsLUJnpIv8
121,"Dick (feat. Doja Cat)",StarBoi3,8270,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
122,"After School",Weeekly,8264,https://open.spotify.com/track/52CBUrIdyf8tbZaUY9iawE
123,"I’d Do It Again","Violette Wautier",8181,https://open.spotify.com/track/5A8ysv0c3aUkij0ojFlZZM
124,"เมษา (MAYSA) feat. BLACKSHEEP","fellow fellow",8175,https://open.spotify.com/track/0b5v0oPB4g5LDpXvEeZ28L
125,Psycho,"Red Velvet",8167,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
