artistId|artistName|artistUrl|artworkUrl100|collectionName|copyright|genres|id|kind|name|releaseDate|url
1065981054|Billie Eilish|https://music.apple.com/th/artist/billie-eilish/1065981054?app=music|https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/a7/31/24/a731244c-e065-2f44-63a2-d15b6b27fefa/00602577427657.rgb.jpg/200x200bb.png|WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?|℗ 2019 Darkroom/Interscope Records|[{'genreId': '20', 'name': 'Alternative', 'url': 'https://itunes.apple.com/th/genre/id20'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1450695739|song|bad guy|2019-03-29|https://music.apple.com/th/album/bad-guy/1450695723?i=1450695739&app=music
890403665|Shawn Mendes|https://music.apple.com/th/artist/shawn-mendes/890403665?app=music|https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/f3/4f/56/f34f56cb-ae25-45e9-b3b9-895e2dae136a/19UMGIM38577.rgb.jpg/200x200bb.png|If I Can't Have You - Single|℗ 2019 Island Records, a division of UMG Recordings, Inc.|[{'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1460840853|song|If I Can't Have You|2019-05-03|https://music.apple.com/th/album/if-i-cant-have-you/1460840847?i=1460840853&app=music
906961899|Red Velvet|https://music.apple.com/th/artist/red-velvet/906961899?app=music|https://is3-ssl.mzstatic.com/image/thumb/Music113/v4/79/e1/00/79e100f9-a715-8af1-1290-f306080914a1/RV_The_ReVe_Festival_Day1_COV.jpg/200x200bb.png|‘The ReVe Festival’ Day 1 - EP|℗ 2019 SM Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1468948704|song|Zimzalabim|2019-06-19|https://music.apple.com/th/album/zimzalabim/1468948702?i=1468948704&app=music
1471586619|Crayon|https://music.apple.com/th/artist/crayon/1471586619?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/b3/ac/29/b3ac29bf-7c7b-256d-7228-1e97e0ab7cb4/cover.jpg/200x200bb.png|Produce X 101 - 31 Boys 5 Concepts - EP|℗ Stone Music Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1471586618|song|Pretty Girl|2019-07-05|https://music.apple.com/th/album/pretty-girl/1471586609?i=1471586618&app=music
987357639|BAEKHYUN|https://music.apple.com/th/artist/baekhyun/987357639?app=music|https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/98/7f/2f/987f2f37-44de-4f5f-8e6d-119311840375/cover.jpg/200x200bb.png|City Lights - The 1st Mini Album - EP|℗ 2019 SM Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1471975985|song|Stay Up (feat. Beenzino)|2019-07-10|https://music.apple.com/th/album/stay-up-feat-beenzino/1471975981?i=1471975985&app=music
1141774019|BLACKPINK|https://music.apple.com/th/artist/blackpink/1141774019?app=music|https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/7f/53/e5/7f53e506-7410-59bd-5088-72333c93b47a/eCover.jpg/200x200bb.png|KILL THIS LOVE - EP|℗ 2019 YG Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1458318150|song|Don't Know What To Do|2019-04-05|https://music.apple.com/th/album/dont-know-what-to-do/1458318020?i=1458318150&app=music
1471586615|Daily Vitamin|https://music.apple.com/th/artist/daily-vitamin/1471586615?app=music|https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/b3/ac/29/b3ac29bf-7c7b-256d-7228-1e97e0ab7cb4/cover.jpg/200x200bb.png|Produce X 101 - 31 Boys 5 Concepts - EP|℗ Stone Music Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1471586614|song|Monday to Sunday|2019-07-05|https://music.apple.com/th/album/monday-to-sunday/1471586609?i=1471586614&app=music
987357639|BAEKHYUN|https://music.apple.com/th/artist/baekhyun/987357639?app=music|https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/98/7f/2f/987f2f37-44de-4f5f-8e6d-119311840375/cover.jpg/200x200bb.png|City Lights - The 1st Mini Album - EP|℗ 2019 SM Entertainment|[{'genreId': '51', 'name': 'K-Pop', 'url': 'https://itunes.apple.com/th/genre/id51'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}, {'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}]|1471975992|song|Ice Queen|2019-07-10|https://music.apple.com/th/album/ice-queen/1471975981?i=1471975992&app=music
27515517|Cocktail|https://music.apple.com/th/artist/cocktail/27515517?app=music|https://is4-ssl.mzstatic.com/image/thumb/Music123/v4/be/63/56/be6356cb-250b-2606-b43d-4bb4fa9bbbc1/1909141701.jpg/200x200bb.png|เรา - Single|℗ 2019 GMM Grammy PCL.|[{'genreId': '21', 'name': 'Rock', 'url': 'https://itunes.apple.com/th/genre/id21'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1471478038|song|เรา|2019-07-10|https://music.apple.com/th/album/%E0%B9%80%E0%B8%A3%E0%B8%B2/1471478037?i=1471478038&app=music
1203155982|Whal & Dolph|https://music.apple.com/th/artist/whal-dolph/1203155982?app=music|https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/e3/c2/64/e3c26406-adec-3aae-91fe-c60ca6c441ac/cover.jpg/200x200bb.png|PAR-K - EP|℗ 2019 What The Duck|[{'genreId': '14', 'name': 'Pop', 'url': 'https://itunes.apple.com/th/genre/id14'}, {'genreId': '34', 'name': 'Music', 'url': 'https://itunes.apple.com/th/genre/id34'}]|1450514878|song|Skyfall|2019-02-14|https://music.apple.com/th/album/skyfall/1450514705?i=1450514878&app=music
