amphurEN,amphurTH,changwat,lat,long,pop,area,zip
Bang Len,บางเลน,Nakhon Pathom,14.02167,100.16556,89223.0,156.0,73130.0
Bang Mun Nak,บางมูลนาก,Phichit,16.02778,100.37889,49302.0,130.5,66120.0
Bang Na,บางนา,Krung Thep Maha Nakhon,13.66722,100.64194,101737.0,5415.0,10260.0
Bang Nam Priao,บางน้ำเปรี้ยว,Chachoengsao,13.847220000000002,101.05333,83275.0,160.6,24150.0
Bang Pahan,บางปะหัน,Ayutthaya,14.4625,100.54472,38799.0,318.3,13220.0
Bang Pa-in,บางปะอิน,Ayutthaya,14.2275,100.57556,73630.0,321.4,13160.0
Bang Pakong,บางปะกง,Chachoengsao,13.542779999999999,100.99389000000001,83040.0,360.9,24130.0
Bang Phae,บางแพ,Ratchaburi,13.69139,99.93028000000001,44562.0,248.8,70160.0
Bang Phlat,บางพลัด,Krung Thep Maha Nakhon,13.79389,100.505,116271.0,10235.0,10700.0
Bang Phli,บางพลี,Samut Prakan,13.60583,100.70611,212516.0,817.4,10540.0
Bang Pla Ma,บางปลาม้า,Suphanburi,14.402220000000002,100.15444000000001,86947.0,180.7,72150.0
Bang Rachan,บางระจัน,Singburi,14.892220000000002,100.31721999999999,37936.0,199.1,16130.0
Bang Rak,บางรัก,Krung Thep Maha Nakhon,13.73083,100.52417,60485.0,10926.0,10500.0
Bang Rakam,บางระกำ,Phitsanulok,16.758329999999997,100.11806,94854.0,101.3,65140.0
Bang Sai,บางไท,Ayutthaya,14.212778,100.498333,19973.0,132.5,13270.0
Bang Sao Thong,บางเสาธง,Samut Prakan,13.595,100.83055999999999,54843.0,477.8,10540.0
Bang Saphan,บางสะพาน,Prachuap Khiri Khan,11.21417,99.51194,71241.0,82.07,77140.0
Bang Saphan Noi,บางสะพานน้อย,Prachuap Khiri Khan,11.075,99.44167,35553.0,49.37,77170.0
Bang Sue,บางซื่อ,Krung Thep Maha Nakhon,13.80972,100.53721999999999,180598.0,15704.0,10800.0
Bang Yai,บางใหญ่,Nonthaburi,13.87667,100.40389,34953.0,363.0,11140.0
Ban Haet,บ้านแฮด,Khon Kaen,16.2025,102.75083000000001,32135.0,156.6,40110.0
Ban Hong,บ้านโฮ่ง,Lamphun,18.33111,98.81889,42697.0,71.5,51130.0
Ban Kha,บ้านคา,Ratchaburi,13.43,99.40833,22818.0,22.2,70180.0
Ban Khai,บ้านค่าย,Rayong,12.783610000000001,101.29666999999999,58914.0,120.3,21120.0
Ban Khok,บ้านโคก,Uttaradit,18.025,101.07,14395.0,13.5,53180.0
Ban Khwao,บ้านเขว้า,Chaiyaphum,15.778329999999999,101.90694,51277.0,94.2,36170.0
Ban Kruat,บ้านกรวด,Buriram,14.42167,103.1,72124.0,123.5,31180.0
Ban Laem,บ้านแหลม,Phetchaburi,13.200560000000001,99.98028000000001,54068.0,290.7,76110.0
Ban Lat,บ้านลาด,Phetchaburi,13.049439999999999,99.91889,50351.0,168.9,76150.0
Ban Luang,บ้านหลวง,Nan,18.85139,100.43833000000001,12063.0,36.0,55190.0
Ban Lueam,บ้านเหลื่อม,Nakhon Ratchasima,15.60917,102.12944,21480.0,101.3,30350.0
Ban Mai Chaiyaphot,บ้านใหม่ไชยพจน์,Buriram,15.572779999999998,102.83333,26988.0,151.6,31120.0
Ban Mi,บ้านหมี่,Lopburi,15.044720000000002,100.53694,86064.0,146.9,15110.0
Ban Mo,บ้านหมอ,Saraburi,14.61556,100.72721999999999,39489.0,194.0,18130.0
Ban Muang,บ้านม่วง,Sakon Nakhon,17.851110000000002,103.57,67196.0,79.1,47140.0
Ban Na,บ้านนา,Nakhon Nayok,14.266670000000001,101.06139,67268.0,173.2,26110.0
Ban Na Doem,บ้านนาเดิม,Surat Thani,8.885,99.31,21797.0,105.1,84240.0
Bannang Sata,บันนังสตา,Yala,6.2666699999999995,101.26444000000001,53161.0,84.5,95130.0
Ban Na San,บ้านนาสาร,Surat Thani,8.80056,99.36417,68345.0,81.4,84120.0
Ban Phaeng,บ้านแพง,Nakhon Phanom,17.96806,104.21583000000001,34232.0,118.7,48140.0
Ban Phaeo,บ้านแพ้ว,Samut Sakhon,13.59056,100.10778,90961.0,371.0,74120.0
Ban Phai,บ้านไผ่,Khon Kaen,16.06,102.73083000000001,101031.0,211.5,40110.0
Ban Pho,บ้านโพธิ์,Chachoengsao,13.599720000000001,101.07861,45477.0,209.0,24140.0
Banphot Phisai,บรรพตพิสัย,Nakhon Sawan,15.93583,99.98222,88300.0,97.0,60180.0
Ban Phraek,บ้านแพรก,Ayutthaya,14.64778,100.5825,9250.0,236.6,13240.0
Ban Phue,บ้านผือ,Udon Thani,17.6875,102.47278,107965.0,108.2,41190.0
Ban Pong,บ้านโป่ง,Ratchaburi,13.81417,99.87111,157689.0,430.1,70110.0
Ban Rai,บ้านไร่,Uthai Thani,15.08389,99.52111,66167.0,18.3,61140.0
Ban Sang,บ้านสร้าง,Prachinburi,13.995,101.22139,30807.0,85.3,25150.0
Ban Tak,บ้านตาก,Tak,17.043329999999997,99.07889,46492.0,46.8,63120.0
Ban Ta Khun,บ้านตาขุน,Surat Thani,8.905,98.885,14116.0,10.8,84230.0
Ban Thaen,บ้านแท่น,Chaiyaphum,16.405,102.34194000000001,43992.0,142.5,36190.0
Ban Thi,บ้านธิ,Lamphun,18.651670000000003,99.125,17607.0,136.5,51180.0
Benchalak,เบญจลักษ์,Sisaket,14.795,104.67,35807.0,108.1,33110.0
Betong,เบตง,Yala,5.77361,101.06056,54620.0,41.1,95110.0
Bo Kluea,บ่อเกลือ,Nan,19.148889999999998,101.1575,14326.0,17.0,55000.0
Bo Phloi,บ่อพลอย,Kanchanaburi,14.325829999999998,99.51444000000001,54288.0,56.1,71160.0
Borabue,บรบือ,Maha Sarakham,16.03833,103.11917,108256.0,158.8,44130.0
Bo Rai,บ่อไร่,Trat,12.57972,102.525,39736.0,58.4,23140.0
Bo Thong,บ่อทอง,Chonburi,13.27861,101.44028,45547.0,58.3,20270.0
Buachet,บัวเชด,Surin,14.526670000000001,103.945,37877.0,79.1,32230.0
Bua Lai,บัวลาย,Nakhon Ratchasima,15.66278,102.52722,25061.0,188.3,30120.0
Bua Yai,บัวใหญ่,Nakhon Ratchasima,15.583060000000001,102.42305999999999,86776.0,319.5,30120.0
Bueng Bun,บึงบูรพ์,Sisaket,15.330279999999998,104.045,10655.0,214.9,33220.0
Bueng Kan,เมืองบึงกาฬ,Bueng Kan,18.358060000000002,103.65306,89978.0,105.5,38000.0
Bueng Khong Long,บึงโขงหลง,Bueng Kan,17.96667,104.045,35808.0,87.2,38220.0
Bueng Kum,บึงกุ่ม,Krung Thep Maha Nakhon,13.785279999999998,100.66917,138340.0,5690.0,10240.0
Bueng Na Rang,บึงนาราง,Phichit,16.171670000000002,100.12666999999999,28277.0,62.3,66130.0
Bueng Samakkhi,บึงสามัคคี,Kamphaeng Phet,16.18833,99.9775,26663.0,70.7,62210.0
Bueng Sam Phan,บึงสามพัน,Phetchabun,15.79667,101.00833,66613.0,136.0,67160.0
Bung Khla,บุ่งคล้า,Bueng Kan,18.30167,103.97333,13037.0,52.0,38000.0
Buntharik,บุณฑริก,Ubon Ratchathani,14.756670000000002,105.41139,88052.0,62.8,34230.0
Buri Ram,บุรีรัมย์,Buriram,14.994167000000001,103.102222,28283.0,4695.84,31000.0
Cha-am,ชะอำ,Phetchaburi,12.799719999999999,99.96694000000001,20573.0,73.37,76121.0
Mueang Chachoengsao,เมืองฉะเชิงเทรา,Chachoengsao,13.68861,101.07083,141924.0,374.8,24000.0
Chae Hom,แจ้ห่ม,Lampang,18.71278,99.5575,42457.0,31.2,52120.0
Chai Badan,ชัยบาดาล,Lopburi,15.20611,101.13667,90224.0,70.7,15130.0
Chai Buri,ชัยบุรี,Surat Thani,8.46278,99.07667,23347.0,53.0,84210.0
Chai Nat,ชัยนาท,Chainat,15.187222,100.128333,14469.0,286.6,17000.0
Chai Prakan,ไชยปราการ,Chiang Mai,19.73222,99.14028,47898.0,93.8,50320.0
Chai Wan,ไชยวาน,Udon Thani,17.28667,103.22333,38209.0,117.2,41290.0
Chaiya,ไชยา,Surat Thani,9.38667,99.2,47750.0,47.52,84110.0
Mueang Chaiyaphum,เมืองชัยภูมิ,Chaiyaphum,15.806939999999999,102.03166999999999,184921.0,158.1,36000.0
Chaiyo,ไชโย,Ang Thong,14.649170000000002,100.47861,22882.0,316.5,14140.0
Chakkarat,จักราช,Nakhon Ratchasima,15.013329999999998,102.41333,66615.0,132.8,30230.0
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Buriram,14.558333,102.925,39796.0,113.8,31110.0
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Nakhon Ratchasima,15.005,102.27166700000001,33151.0,130.5,30230.0
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Nakhon Si Thammarat,8.176667,100.035,33466.0,269.7,80190.0
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Nan,19.579167,101.08111099999999,9347.0,18.0,55130.0
Chaloem Phra Kiat,เฉลิมพระเกียรติ,Saraburi,14.611389,100.908611,25616.0,170.1,18000.0
Chamni,ชำนิ,Buriram,14.788329999999998,102.84167,33646.0,138.4,31110.0
Chana,จะนะ,Songkhla,6.9141699999999995,100.74056,97095.0,193.0,90130.0
Chanae,จะแนะ,Narathiwat,6.098330000000001,101.69333,31336.0,51.6,96220.0
Changhan,จังหาร,Roi Et,16.13833,103.615,47832.0,47.4,45000.0
Chang Klang,ช้างกลาง,Nakhon Si Thammarat,8.37417,99.56806,29594.0,127.3,80250.0
Mueang Chanthaburi,เมืองจันทบุรี,Chanthaburi,12.610560000000001,102.10417,119203.0,471.0,22000.0
Chanuman,ชานุมาน,Amnat Charoen,16.23333,105.0,37677.0,67.8,37210.0
Charoen Sin,เจริญศิลป์,Sakon Nakhon,17.59667,103.56555999999999,42375.0,105.7,47290.0
Chat Trakan,ชาติตระการ,Phitsanulok,17.276670000000003,100.59917,38646.0,24.4,65170.0
Chatturat,จัตุรัส,Chaiyaphum,15.565560000000001,101.84555999999999,74548.0,102.0,36130.0
Chatuchak,จตุจักร,Krung Thep Maha Nakhon,13.828610000000001,100.55972,176501.0,5363.0,10900.0
Chaturaphak Phiman,จตุรพักตรพิมาน,Roi Et,15.846110000000001,103.55694,81749.0,148.9,45180.0
Cha-uat,ชะอวด,Nakhon Si Thammarat,7.965,99.99833000000001,84227.0,101.1,80180.0
Chawang,ฉวาง,Nakhon Si Thammarat,8.426110000000001,99.50471999999999,65787.0,124.5,80150.0
Chiang Dao,เชียงดาว,Chiang Mai,19.36611,98.96417,87922.0,46.7,50170.0
Chiang Kham,เชียงคำ,Phayao,19.523329999999998,100.30167,77211.0,98.5,56160.0
Chiang Khan,เชียงคาน,Loei,17.89806,101.66639,59016.0,68.1,42110.0
Chiang Khong,เชียงของ,Chiang Rai,20.26,100.40666999999999,62410.0,76.1,57140.0
Chiang Khwan,เชียงขวัญ,Roi Et,16.16556,103.75194,27859.0,219.0,45000.0
Chiang Klang,เชียงกลาง,Nan,19.29167,100.86166999999999,28234.0,100.0,55160.0
Mueang Chiang Mai,เมืองเชียงใหม่,Chiang Mai,18.79028,98.98444,242974.0,1594.3,50000.0
Chiang Muan,เชียงม่วน,Phayao,18.886670000000002,100.30333,19122.0,26.5,56160.0
Mueang Chiang Rai,เมืองเชียงราย,Chiang Rai,19.90861,99.8325,227142.0,186.8,57000.0
Chiang Saen,เชียงแสน,Chiang Rai,20.275,100.08833,51948.0,99.2,57150.0
Chiang Yuen,เชียงยืน,Maha Sarakham,16.40806,103.10528000000001,61704.0,214.5,44160.0
Chian Yai,เชียรใหญ่,Nakhon Si Thammarat,8.168330000000001,100.145,45827.0,196.9,80190.0
Cho-airong,เจาะไอร้อง,Narathiwat,6.20167,101.84167,35989.0,221.2,96130.0
Chok Chai,โชคชัย,Nakhon Ratchasima,14.732220000000002,102.16306,78449.0,146.2,30190.0
Chom Bueng,จอมบึง,Ratchaburi,13.619720000000001,99.59167,58057.0,75.2,70150.0
Chom Phra,จอมพระ,Surin,15.1175,103.61139,60568.0,192.9,32180.0
Chom Thong,จอมทอง,Krung Thep Maha Nakhon,13.677222,100.48472199999999,167794.0,6389.0,10150.0
Chom Thong,จอมทอง,Chiang Mai,18.417222,98.675833,76376.0,107.2,50160.0
Chon Buri,เมืองชลบุรี,Chonburi,13.361944,100.979167,245398.0,1072.0,20000.0
Chon Daen,ชนแดน,Phetchabun,16.18917,100.85972,86086.0,75.7,67150.0
Chonnabot,ชนบท,Khon Kaen,16.08833,102.62167,48756.0,120.6,40180.0
Chuen Chom,ชื่นชม,Maha Sarakham,16.53139,103.17166999999999,24586.0,217.6,44160.0
Chulabhorn,จุฬาภรณ์,Nakhon Si Thammarat,8.075,99.87,30668.0,159.3,80130.0
Chum Phae,ชุมแพ,Khon Kaen,16.54417,102.09971999999999,122091.0,239.0,40130.0
Mueang Chumphon,เมืองชุมพร,Chumphon,10.49306,99.18028000000001,141.765,189.4,86000.0
Chumphon Buri,ชุมพลบุรี,Surin,15.350829999999998,103.38889,70391.0,135.4,32190.0
Chum Phuang,ชุมพวง,Nakhon Ratchasima,15.348889999999999,102.74194,81440.0,150.7,30270.0
Chum Saeng,ชุมแสง,Nakhon Sawan,15.881110000000001,100.3025,67489.0,94.2,60150.0
Chum Ta Bong,ชุมตาบง,Nakhon Sawan,15.631670000000002,99.55278,18369.0,48.5,60150.0
Chun,จุน,Phayao,19.337220000000002,100.135,52066.0,91.2,56150.0
Damnoen Saduak,ดำเนินสะดวก,Ratchaburi,13.5175,99.95472,98994.0,470.7,70130.0
Dan Chang,ด่านช้าง,Suphanburi,14.84167,99.69722,64416.0,54.0,72180.0
Dan Khun Thot,ด่านขุนทด,Nakhon Ratchasima,15.20972,101.76583000000001,126253.0,88.4,36220.0
Dan Makham Tia,ด่านมะขามเตี้ย,Kanchanaburi,13.85361,99.41056,32248.0,40.0,71260.0
Dan Sai,ด่านซ้าย,Loei,17.28,101.14667,49270.0,28.4,42120.0
Den Chai,เด่นชัย,Phrae,17.97861,100.05861,37440.0,141.0,54140.0
Det Udom,เดชอุดม,Ubon Ratchathani,14.90306,105.07638999999999,169896.0,142.9,34160.0
Din Daeng,ดินแดง,Krung Thep Maha Nakhon,13.769720000000001,100.55278,186319.0,22180.0,10400.0
Doem Bang Nang Buat,เดิมบางนางบวช,Suphanburi,14.85361,100.09778,74619.0,135.1,72120.0
Doi Lo,ดอยหล่อ,Chiang Mai,18.474439999999998,98.78361,27623.0,106.2,50160.0
Doi Luang,ดอยหลวง,Chiang Rai,20.11833,100.1,19356.0,86.8,57110.0
Doi Saket,ดอยสะเก็ด,Chiang Mai,18.870279999999998,99.13667,64116.0,95.5,50220.0
Doi Tao,ดอยเต่า,Chiang Mai,17.95361,98.685,27284.0,33.9,50260.0
Dok Khamtai,ดอกคำใต้,Phayao,19.1625,99.99333,73205.0,88.9,56120.0
Don Chan,ดอนจาน,Kalasin,16.45833,103.695,25164.0,106.4,46000.0
Don Chedi,ดอนเจดีย์,Suphanburi,14.635,100.02167,45336.0,179.8,72170.0
Dong Charoen,ดงเจริญ,Phichit,16.02833,100.62666999999999,18214.0,82.7,66210.0
Dong Luang,ดงหลวง,Mukdahan,16.815279999999998,104.53778,35808.0,33.3,49140.0
Don Mot Daeng,ดอนมดแดง,Ubon Ratchathani,15.37889,105.02722,26301.0,112.4,34000.0
Don Mueang,ดอนเมือง,Krung Thep Maha Nakhon,13.91361,100.58972,157989.0,4293.0,10210.0
Don Phut,ดอนพุด,Saraburi,14.592220000000001,100.62833,6957.0,118.5,18210.0
Don Sak,ดอนสัก,Surat Thani,9.313889999999999,99.69028,35468.0,77.0,84220.0
Don Tan,ดอนตาล,Mukdahan,16.316670000000002,104.92,42215.0,81.3,49120.0
Don Tum,ดอนตูม,Nakhon Pathom,13.960560000000001,100.08139,45386.0,265.0,73150.0
Dusit,ดุสิต,Krung Thep Maha Nakhon,13.77694,100.52056,175658.0,16416.6,10300.0
Erawan,เอราวัณ,Loei,17.31,101.94,37079.0,141.5,42220.0
Fak Tha,ฟากท่า,Uttaradit,17.99222,100.87861,15128.0,24.2,53160.0
Fang,ฝาง,Chiang Mai,19.91889,99.21361,121033.0,136.3,50110.0
Fao Rai,เฝ้าไร่,Nong Khai,18.01889,103.30389,50481.0,197.3,43120.0
Galyani Vadhana,กัลยาณิวัฒนา,Chiang Mai,19.06694,98.29444000000001,10593.0,16.4,50270.0
Hang Chat,ห้างฉัตร,Lampang,18.321939999999998,99.31778,51495.0,75.2,52190.0
Hang Dong,หางดง,Chiang Mai,18.68694,98.91889,67570.0,243.8,50230.0
Hankha,หันคา,Chainat,14.981110000000001,100.01472,56394.0,106.5,17130.0
Hat Samran,หาดสำราญ,Trang,7.24,99.57667,15550.0,69.4,92120.0
Hat Yai,หาดใหญ่,Songkhla,7.001939999999999,100.45721999999999,359813.0,422.0,90110.0
Hot,ฮอด,Chiang Mai,18.19278,98.61111,48287.0,33.8,50240.0
Hua Hin,หัวหิน,Prachuap Khiri Khan,12.568610000000001,99.95778,85099.0,101.44,77110.0
Huai Khot,ห้วยคด,Uthai Thani,15.29139,99.61667,19547.0,46.1,61170.0
Huai Khwang,ห้วยขวาง,Krung Thep Maha Nakhon,13.776670000000001,100.57944,90185.0,6012.0,10310.0
Huai Krachao,ห้วยกระเจา,Kanchanaburi,14.32722,99.66667,32602.0,52.5,71170.0
Huai Mek,ห้วยเม็ก,Kalasin,16.59,103.23555999999999,49716.0,170.8,46240.0
Huai Phueng,ห้วยผึ้ง,Kalasin,16.64583,103.90889,30343.0,118.1,46170.0
Huai Rat,ห้วยราช,Buriram,14.96,103.18833000000001,35941.0,244.3,31000.0
Huai Thalaeng,ห้วยแถลง,Nakhon Ratchasima,14.99833,102.63833000000001,78581.0,158.7,30240.0
Huai Thap Than,ห้วยทับทัน,Sisaket,15.05,104.02333,41132.0,211.4,33210.0
Huai Yot,ห้วยยอด,Trang,7.785,99.635,90261.0,119.8,92130.0
Hua Sai,หัวไทร,Nakhon Si Thammarat,8.04,100.275,68863.0,164.8,80170.0
Hua Taphan,หัวตะพาน,Amnat Charoen,15.696670000000001,104.49167,50524.0,94.8,37240.0
In Buri,อินทร์บุรี,Singburi,15.007779999999999,100.32694000000001,57771.0,183.8,16110.0
Kabang,กาบัง,Yala,6.4275,101.01916999999999,17702.0,39.3,95120.0
Kabin Buri,กบินทร์บุรี,Prachinburi,13.946670000000001,101.71333,134794.0,103.0,25110.0
Kae Dam,แกดำ,Maha Sarakham,16.025,103.385,29218.0,195.4,44190.0
Kaeng Hang Maeo,แก่งหางแมว,Chanthaburi,13.00833,101.905,36453.0,29.1,22160.0
Kaeng Khoi,แก่งคอย,Saraburi,14.58639,100.99778,88921.0,111.0,18110.0
Kaeng Khro,แก้งคร้อ,Chaiyaphum,16.108610000000002,102.25806,87663.0,150.6,36150.0
Kaeng Krachan,แก่งกระจาน,Phetchaburi,12.9075,99.64806,27668.0,11.1,76170.0
Kaeng Sanam Nang,แก้งสนามนาง,Nakhon Ratchasima,15.75,102.25471999999999,37884.0,353.2,30440.0
Mueang Kalasin,เมืองกาฬสินธุ์,Kalasin,16.4325,103.50610999999999,145579.0,224.0,46000.0
Kamalasai,กมลาไสย,Kalasin,16.33889,103.57528,69535.0,213.8,46130.0
Mueang Kamphaeng Phet,เมืองกำแพงเพชร,Kamphaeng Phet,16.48333,99.52,211369.0,108.1,62000.0
Kamphaeng Saen,กำแพงแสน,Nakhon Pathom,13.983889999999999,99.99389000000001,124715.0,307.9,73140.0
Mueang Kanchanaburi,เมืองกาญจนบุรี,Kanchanaburi,14.003329999999998,99.55,153597.0,124.2,71000.0
Kanchanadit,กาญจนดิษฐ์,Surat Thani,9.165560000000001,99.47111,98432.0,109.8,84160.0
Kantang,กันตัง,Trang,7.40556,99.51528,84285.0,135.5,92110.0
Kantharalak,กันทรลักษ์,Sisaket,14.64,104.65,209448.0,160.5,33110.0
Kanthararom,กันทรารมย์,Sisaket,15.106670000000001,104.57,100370.0,151.1,33130.0
Kantharawichai,กันทรวิชัย,Maha Sarakham,16.322779999999998,103.29666999999999,80250.0,215.6,44150.0
Kao Liao,เก้าเลี้ยว,Nakhon Sawan,15.85028,100.07861,34843.0,135.7,60230.0
Kap Choeng,กาบเชิง,Surin,14.474720000000001,103.59416999999999,59589.0,103.8,32210.0
Kapho,กะพ้อ,Pattani,6.55917,101.53416999999999,15782.0,168.2,94230.0
Kapoe,กะเปอร์,Ranong,9.585280000000001,98.59611,19193.0,29.2,85120.0
Kapong,กะปง,Phang Nga,8.69667,98.40833,12963.0,22.0,82170.0
Kaset Sombun,เกษตรสมบูรณ์,Chaiyaphum,16.280279999999998,101.95389,110382.0,77.8,36120.0
Kaset Wisai,เกษตรวิสัย,Roi Et,15.65611,103.58,99024.0,170.7,45150.0
Kathu,กะทู้,Phuket,7.9088899999999995,98.33333,43541.0,649.0,83120.0
Khaen Dong,แคนดง,Buriram,15.31,103.12333000000001,31908.0,107.1,31150.0
Khai Bang Rachan,ค่ายบางระจัน,Singburi,14.800279999999999,100.31083000000001,28261.0,319.7,16150.0
Khamcha-i,คำชะอี,Mukdahan,16.57722,104.41917,46987.0,72.8,49110.0
Kham Khuean Kaeo,คำเขื่อนแก้ว,Yasothon,15.65306,104.30889,68606.0,109.85,35110.0
Kham Muang,คำม่วง,Kalasin,16.92333,103.63167,47412.0,76.3,46180.0
Kham Sakaesaeng,ขามสะแกแสง,Nakhon Ratchasima,15.32944,102.17083000000001,43365.0,145.5,30290.0
Kham Ta Kla,คำตากล้า,Sakon Nakhon,17.849439999999998,103.755,37902.0,94.3,47250.0
Kham Thale So,ขามทะเลสอ,Nakhon Ratchasima,14.96083,101.9475,28306.0,139.0,30280.0
Khan Na Yao,คันนายาว,Krung Thep Maha Nakhon,13.873889000000002,100.596389,88986.0,5341.0,10230.0
Khanom,ขนอม,Nakhon Si Thammarat,9.20472,99.86111,27572.0,63.5,80210.0
Khanu Woralaksaburi,ขาณุวรลักษบุรี,Kamphaeng Phet,16.06139,99.86055999999999,107631.0,94.2,62180.0
Khao Chaison,เขาชัยสน,Phatthalung,7.46167,100.13333,43292.0,166.4,93130.0
Khao Chakan,เขาฉกรรจ์,Sa Kaeo,13.651670000000001,102.09666999999999,57016.0,73.7,27000.0
Khao Chamao,เขาชะเมา,Rayong,12.975,101.685,22432.0,83.1,21110.0
Khao Khitchakut,เขาคิชฌกูฏ,Chanthaburi,12.80444,102.11471999999999,25940.0,31.2,22210.0
Khao Kho,เขาค้อ,Phetchabun,16.633329999999997,100.99833000000001,32932.0,24.7,67270.0
Khao Phanom,เขาพนม,Krabi,8.26472,99.04916999999999,45982.0,58.3,81140.0
Khao Saming,เขาสมิง,Trat,12.35333,102.435,40499.0,59.6,23130.0
Khao Suan Kwang,เขาสวนกวาง,Khon Kaen,16.858610000000002,102.86166999999999,37169.0,122.7,40280.0
Khao Wong,เขาวง,Kalasin,16.7,104.09,35130.0,171.3,46160.0
Khao Yoi,เขาย้อย,Phetchaburi,13.240279999999998,99.82417,37697.0,121.8,76140.0
Khemarat,เขมราฐ,Ubon Ratchathani,16.04,105.20666999999999,77010.0,146.7,34170.0
Khian Sa,เคียนซา,Surat Thani,8.84083,99.19417,42619.0,73.03,84260.0
Khiri Mat,คีรีมาศ,Sukhothai,16.83333,99.80167,56585.0,108.4,64160.0
Khiri Rat Nikhom,คีรีรัฐนิคม,Surat Thani,9.03,98.95333000000001,39957.0,49.2,84180.0
Khlong Hat,คลองหาด,Sa Kaeo,13.448889999999999,102.29972,35360.0,84.8,27260.0
Khlong Hoi Khong,คลองหอยโข่ง,Songkhla,6.89917,100.38861,23504.0,85.4,90230.0
Khlong Khlung,คลองขลุง,Kamphaeng Phet,16.21667,99.72,74812.0,63.1,62120.0
Khlong Khuean,คลองเขื่อน,Chachoengsao,13.79139,101.16306,13490.0,105.9,24000.0
Khlong Lan,คลองลาน,Kamphaeng Phet,16.20361,99.32111,63106.0,55.3,62180.0
Khlong Luang,คลองหลวง,Pathum Thani,14.065,100.64611,150871.0,504.2,12120.0
