model,year,price,transmission,mileage,fuelType,mpg,engineSize
Tucson,2019.0,21795,Semi-Auto,4500,Petrol,36.2,1.6
I800,2018.0,15500,Manual,30305,Diesel,31.7,0.0
I10,2009.0,1995,Manual,55000,Petrol,56.5,1.2
Tucson,2019.0,15692,Manual,15623,Petrol,35.3,1.6
I30,2019.0,23495,Manual,2851,Petrol,34.0,2.0
I30,2016.0,7500,Manual,51236,,72.4,1.6
Ioniq,,18998,Automatic,2526,Hybrid,78.5,1.6
I20,2015.0,8000,Manual,28000,Petrol,55.4,1.2
IX35,2014.0,7995,Manual,51023,Diesel,53.3,1.7
I20,2017.0,10000,Manual,21821,Petrol,61.4,0.0
I10,2014.0,5580,Manual,31575,Petrol,57.6,1.2
Tucson,2017.0,13750,Manual,22445,Diesel,61.7,1.7
I40,2016.0,8770,Manual,61554,Diesel,60.1,1.7
I10,2016.0,5690,Manual,33589,Petrol,60.1,1.0
Tucson,2017.0,15998,Semi-Auto,12150,Diesel,57.6,1.7
IX35,2015.0,9950,Manual,7000,Petrol,44.1,1.6
Santa Fe,,19000,Automatic,28700,Diesel,42.2,2.2
I30,,7495,Manual,42764,Petrol,48.7,1.4
Tucson,2017.0,13995,Manual,47840,Diesel,61.7,
Tucson,2019.0,16990,Manual,5004,Petrol,34.9,1.6
Ioniq,2019.0,23991,Automatic,5500,Hybrid,78.5,1.6
Tucson,,13698,Manual,17539,Diesel,61.7,
I10,,10795,Semi-Auto,13799,Petrol,47.9,1.2
Tucson,2018.0,12698,Manual,21642,Diesel,61.7,1.7
I20,2016.0,7398,Manual,19230,Petrol,55.4,1.2
I20,2010.0,3799,Manual,57476,Diesel,64.2,1.4
IX35,2015.0,12500,Automatic,24128,Diesel,41.5,2.0
I30,2019.0,20495,Semi-Auto,350,Petrol,46.3,1.4
I10,2015.0,6495,Manual,18394,Petrol,57.6,1.2
Tucson,2016.0,13785,Manual,10710,Diesel,61.7,1.7
IX35,2011.0,5490,Manual,75617,Diesel,48.7,1.7
Tucson,2017.0,18000,Semi-Auto,39835,Diesel,57.6,1.7
Kona,2019.0,15498,Manual,10,Petrol,44.1,1.0
I20,2019.0,9990,Manual,15251,Petrol,46.3,1.2
Tucson,2018.0,15190,Manual,8557,Petrol,44.8,1.6
Tucson,2016.0,13480,Manual,36510,Diesel,58.9,2.0
Tucson,2017.0,13800,Manual,16961,Diesel,61.7,0.0
Santa Fe,2017.0,20550,Semi-Auto,11175,Diesel,42.8,2.2
I800,2019.0,19998,Automatic,1477,Diesel,31.7,2.5
Tucson,2016.0,14499,Semi-Auto,29143,Diesel,57.6,1.7
I20,2017.0,8980,Manual,19302,Petrol,62.8,1.0
I30,2020.0,17999,Manual,6000,Diesel,60.1,1.6
Tucson,2016.0,10991,Manual,108000,Diesel,58.9,2.0
I10,2015.0,6620,Manual,20905,Petrol,57.6,1.2
I10,2017.0,6490,Manual,30193,Petrol,60.1,
I20,2016.0,8990,Automatic,20458,Petrol,42.2,1.4
Santa Fe,2017.0,18495,Semi-Auto,50595,Diesel,42.8,2.2
IX20,2019.0,14062,Automatic,357,Petrol,34.5,1.6
Tucson,2017.0,16590,Semi-Auto,13037,Diesel,57.7,1.7
I10,2017.0,8995,Manual,14620,Petrol,57.7,1.2
I10,2015.0,8995,Semi-Auto,3006,Petrol,45.6,1.2
I30,2017.0,9499,Manual,34959,Diesel,74.3,1.6
Tucson,2016.0,16000,Manual,9952,Diesel,54.3,2.0
Tucson,2019.0,25499,Automatic,2003,Hybrid,50.4,1.6
Tucson,2018.0,17495,Semi-Auto,31398,Diesel,57.7,1.7
I20,2018.0,9689,Manual,6824,Petrol,58.9,1.2
I20,2016.0,7175,Manual,26543,Petrol,55.4,1.2
I10,2017.0,7999,Automatic,20664,Petrol,47.9,1.2
Ioniq,2019.0,23995,Automatic,7865,,78.5,1.6
Santa Fe,2014.0,14995,Semi-Auto,48900,Diesel,41.5,2.2
I30,2018.0,11998,Manual,5404,Diesel,74.3,1.6
Tucson,2017.0,16750,Manual,26393,Diesel,58.9,2.0
I10,,7999,Manual,10500,Petrol,57.7,1.2
Tucson,2016.0,13998,Semi-Auto,30551,Diesel,57.6,1.7
Tucson,2020.0,28499,Semi-Auto,8000,Hybrid,50.4,1.6
I20,2018.0,8970,Manual,10248,Petrol,58.9,1.2
I30,2015.0,8998,Manual,16412,Petrol,48.7,1.4
I10,2018.0,7500,Manual,40050,Petrol,60.1,1.0
I10,2019.0,7999,Manual,1928,Petrol,60.1,1.0
I10,2013.0,3750,Manual,46000,Petrol,61.4,1.2
Tucson,2019.0,20990,Manual,100,Petrol,35.3,1.6
I10,2018.0,7695,Manual,28475,Petrol,57.7,
Kona,2019.0,15495,Manual,1990,Petrol,44.1,
Tucson,2017.0,13740,Manual,25972,Diesel,61.7,1.7
IX20,2017.0,8199,Manual,8564,Diesel,64.2,1.6
IX20,2018.0,10109,Manual,18390,Petrol,50.4,1.4
IX20,2019.0,14750,Manual,100,Petrol,37.2,1.6
I10,2015.0,5995,Manual,16000,Petrol,57.6,1.2
Tucson,2017.0,15270,Manual,10330,Diesel,61.7,1.7
Tucson,2016.0,11798,Manual,48233,Diesel,61.7,1.7
I10,2018.0,7485,Manual,9832,Petrol,60.1,1.0
I10,2019.0,9190,Manual,100,Petrol,60.1,1.0
I800,2019.0,20698,Manual,4054,Diesel,31.7,2.5
I30,2018.0,9000,Manual,15804,Petrol,57.7,1.0
Tucson,2016.0,12495,Manual,53753,Diesel,61.7,1.7
I30,,11500,Manual,11651,Diesel,74.3,1.6
IX35,2015.0,9470,Manual,33730,Diesel,53.3,1.7
I10,2017.0,6995,Manual,20200,Petrol,60.1,1.0
I800,2019.0,18499,Manual,15997,Diesel,31.7,2.5
I20,2017.0,7799,Manual,20000,Petrol,55.4,1.2
Ioniq,2018.0,15995,Automatic,30448,Hybrid,78.5,1.6
I30,2015.0,6700,Manual,42307,Diesel,78.4,1.6
Tucson,2019.0,15995,Manual,11133,Petrol,34.9,1.6
Ioniq,2018.0,16990,Automatic,3297,Hybrid,78.5,1.6
Tucson,2016.0,15999,Automatic,11472,Diesel,57.6,1.7
Tucson,2017.0,15490,Manual,22798,Diesel,61.7,1.7
Kona,2018.0,13470,Manual,13533,Petrol,44.1,1.0
Tucson,2018.0,13985,Manual,16492,Diesel,61.7,1.7
Tucson,2016.0,12067,Manual,27397,Petrol,44.8,1.6
Tucson,2017.0,17399,Semi-Auto,30345,Diesel,57.6,1.7
I30,2018.0,11142,Manual,9963,Petrol,56.5,1.0
Ioniq,2017.0,16599,Automatic,23659,Hybrid,78.5,1.6
I10,2017.0,7695,Manual,5600,Petrol,60.1,1.0
Tucson,2017.0,13498,Manual,22714,Diesel,61.7,1.7
I20,2018.0,8895,Manual,16764,Petrol,58.9,1.2
IX35,2015.0,8290,Manual,51000,Diesel,53.3,1.7
I10,,7465,Manual,19931,Petrol,60.1,1.0
I10,2019.0,10349,Semi-Auto,16605,Petrol,47.9,1.2
I20,2017.0,9000,Manual,17007,Petrol,65.7,1.0
Santa Fe,2019.0,32450,Automatic,10903,,39.2,2.2
I10,2019.0,8395,Manual,16108,Petrol,57.6,1.2
I10,2016.0,5794,Manual,33318,Petrol,60.1,
Tucson,2016.0,15990,Semi-Auto,43362,Diesel,57.6,1.7
Tucson,2017.0,15732,Manual,16964,Diesel,61.4,1.7
I10,2017.0,7225,Manual,16807,Petrol,60.1,1.0
IX20,2015.0,6890,Manual,29731,Petrol,50.4,1.4
Tucson,2017.0,13399,Manual,10248,Petrol,44.8,1.6
I40,2017.0,8998,Manual,59626,Diesel,67.3,
Tucson,2019.0,18250,Manual,6500,Petrol,35.3,1.6
I10,2018.0,6350,Manual,31738,Petrol,60.1,1.0
I20,2018.0,10495,Automatic,27000,Petrol,45.6,1.4
Tucson,2017.0,14500,Manual,11653,Diesel,61.7,1.7
Tucson,2016.0,14495,Automatic,26600,Diesel,47.1,2.0
I20,2016.0,7821,Manual,33322,Petrol,62.8,1.0
Tucson,2019.0,23991,Semi-Auto,10,Petrol,36.2,1.6
Tucson,2016.0,10280,Manual,27992,,44.8,1.6
I30,2019.0,27800,Manual,1,Petrol,34.0,2.0
Kona,2018.0,13295,Manual,16700,Petrol,44.1,1.0
I10,2016.0,6495,Manual,20500,Petrol,61.4,1.0
I10,2018.0,6845,Manual,30685,Petrol,60.1,1.0
IX20,,9628,Automatic,27918,Petrol,43.5,1.6
I20,2016.0,7500,Manual,41496,Petrol,56.5,0.0
Tucson,2018.0,16394,Manual,19500,Petrol,38.7,1.6
I20,2016.0,7995,Manual,17124,Petrol,58.9,1.2
Santa Fe,2019.0,35495,Semi-Auto,25,Diesel,39.8,2.2
Tucson,2017.0,13998,Semi-Auto,30335,Diesel,57.6,1.7
Tucson,2016.0,12498,Manual,30164,Diesel,61.7,1.7
Ioniq,2018.0,18000,Automatic,15850,Hybrid,78.5,1.6
I10,2018.0,8995,Manual,2442,Petrol,57.7,1.2
I20,2019.0,13654,Manual,1600,Petrol,47.9,1.0
Ioniq,2019.0,20495,Automatic,4243,Hybrid,78.5,1.6
I10,2019.0,9995,Manual,450,Petrol,49.6,1.0
I20,2017.0,8500,Manual,16708,Petrol,58.9,0.0
IX20,2013.0,5498,Manual,35954,Petrol,45.6,1.4
I10,2017.0,5789,Manual,39877,Petrol,60.1,1.0
Tucson,2018.0,15495,Manual,9443,Petrol,34.9,1.6
I20,2014.0,6199,Manual,16059,Petrol,57.6,1.2
I20,2017.0,8795,Automatic,25650,Petrol,45.6,1.4
Tucson,,16595,Manual,2860,Petrol,34.9,1.6
Tucson,2019.0,16999,Automatic,13797,Petrol,36.2,1.6
IX20,2016.0,9995,Automatic,3000,Petrol,43.5,1.6
Tucson,2017.0,15998,Semi-Auto,6436,Diesel,57.6,1.7
Tucson,2019.0,22750,Manual,5,Petrol,34.9,1.6
Tucson,2017.0,14500,Manual,4566,Diesel,61.7,1.7
I10,2014.0,5489,Manual,31500,Petrol,57.6,1.2
I40,2015.0,7830,Manual,59508,Diesel,65.7,1.7
I40,2015.0,9298,Manual,34572,,65.7,1.7
I20,2016.0,6980,Manual,31163,Petrol,55.4,1.2
Ioniq,2019.0,18981,Automatic,5082,Petrol,78.5,1.6
Tucson,2016.0,13999,Automatic,18252,Diesel,57.6,1.7
I10,2020.0,11990,Manual,3213,Petrol,56.5,1.0
Santa Fe,2016.0,17790,Manual,10236,Diesel,47.1,2.2
I40,2015.0,9495,Manual,25350,Diesel,67.3,1.7
Santa Fe,2019.0,40365,Semi-Auto,1,Diesel,39.2,2.2
Tucson,2017.0,12000,Manual,2236,Petrol,44.8,1.6
I10,2018.0,7987,Manual,7096,Petrol,57.7,1.2
Tucson,2018.0,17570,Manual,16103,Petrol,38.7,1.6
Kona,2019.0,23000,Semi-Auto,50,Petrol,37.7,1.6
Tucson,2016.0,12990,Manual,21159,Diesel,61.7,1.7
I40,2016.0,8270,Manual,39703,Diesel,67.3,1.7
I10,2018.0,8200,Manual,9209,Petrol,57.6,1.2
I20,2016.0,9450,Manual,15053,Petrol,55.4,1.2
I20,2016.0,6899,Manual,47282,Petrol,55.4,1.2
I10,2019.0,9491,Manual,4000,Petrol,49.6,1.0
I10,2017.0,6950,Manual,17720,Petrol,57.7,1.2
I30,2019.0,17750,Automatic,2717,Petrol,44.1,1.4
I20,2018.0,10000,Manual,13976,Petrol,58.9,1.2
I10,2017.0,8499,Manual,11000,Petrol,60.1,1.0
Tucson,2017.0,12498,Manual,22981,Diesel,61.7,1.7
I40,2017.0,11698,Manual,22336,Diesel,65.7,1.7
I10,2017.0,7500,Manual,28076,Petrol,57.7,1.2
I20,2019.0,10495,Manual,12603,Petrol,46.3,1.2
I10,2014.0,4795,Manual,13000,Petrol,61.4,1.2
Tucson,2019.0,18495,Automatic,13555,,36.2,1.6
Kona,2019.0,15539,Manual,11488,Petrol,44.1,1.0
I20,2019.0,11795,Manual,5409,Petrol,46.3,1.2
I20,2015.0,7995,Manual,29658,,55.4,1.2
Kona,2018.0,12998,Manual,11458,Petrol,52.3,1.0
Kona,2018.0,18500,Semi-Auto,10344,Petrol,34.0,1.6
Tucson,2017.0,12900,Manual,32027,,61.7,1.7
I20,2015.0,6610,Manual,37360,Petrol,55.4,1.2
Tucson,2017.0,13995,Manual,24866,Petrol,44.8,1.6
I20,2018.0,7991,Manual,20953,Diesel,72.4,1.4
Tucson,2017.0,13750,Semi-Auto,24367,Diesel,57.6,1.7
I10,2016.0,6250,Manual,17497,Petrol,61.4,1.0
Tucson,2017.0,15849,Manual,24662,Diesel,61.4,1.7
Tucson,2019.0,23000,Semi-Auto,2100,Petrol,36.2,1.6
Tucson,2017.0,15295,Manual,14491,,61.7,1.7
Tucson,2016.0,11498,Manual,42404,Diesel,61.7,1.7
Tucson,2017.0,13790,Semi-Auto,15994,Diesel,57.6,1.7
Kona,2019.0,15498,Manual,10,Petrol,44.1,1.0
Santa Fe,2019.0,32380,Semi-Auto,9739,Diesel,39.2,2.2
Tucson,2018.0,17591,Semi-Auto,31459,Diesel,57.7,1.7
I30,2016.0,7999,Manual,73635,Diesel,72.4,1.6
I20,2019.0,11495,Manual,4000,Petrol,46.3,1.2
Tucson,2017.0,13500,Manual,9654,Diesel,61.7,1.7
I10,2019.0,10269,Manual,10,Petrol,60.1,1.0
IX20,2012.0,5790,Manual,45566,Petrol,45.6,1.4
I30,2017.0,8490,Manual,35073,Diesel,78.4,1.6
I800,2019.0,18499,Manual,13312,Diesel,31.7,2.5
I30,2019.0,17490,Manual,3750,Petrol,42.2,1.4
I10,2019.0,8995,Manual,2198,Petrol,60.1,1.0
I40,2017.0,10000,Manual,39317,Diesel,67.3,1.7
I20,2020.0,13966,Manual,3500,Petrol,47.9,1.0
I10,2019.0,10295,Manual,4587,Petrol,49.6,1.0
I10,2014.0,6499,Manual,19371,Petrol,57.6,1.2
I10,2017.0,5740,Manual,53329,Petrol,57.6,1.2
I10,2019.0,8895,Manual,3011,Petrol,49.6,1.0
I30,2016.0,8999,Manual,53878,,72.4,1.6
I10,2015.0,6090,Manual,11166,Petrol,57.6,1.2
Ioniq,2019.0,18570,Automatic,961,Hybrid,78.5,1.6
I10,2017.0,7500,Manual,8652,Petrol,60.1,1.0
I10,2018.0,8500,Manual,9031,Petrol,57.7,1.2
I10,,6999,Manual,11248,Petrol,60.1,1.0
Tucson,2017.0,15600,Manual,47196,Diesel,54.3,2.0
Kona,2019.0,15695,Manual,6380,Petrol,44.1,
Kona,2018.0,12500,Manual,15459,Petrol,52.3,1.0
Tucson,2019.0,21490,Manual,623,Petrol,34.9,1.6
Ioniq,2019.0,18600,Semi-Auto,10391,Hybrid,78.5,
I20,2018.0,10595,Manual,10960,Petrol,46.3,1.2
Ioniq,2017.0,16491,Automatic,20257,Hybrid,78.5,1.6
Tucson,2016.0,14710,Manual,42231,Diesel,54.3,2.0
Santa Fe,2018.0,19099,Semi-Auto,31350,Diesel,42.8,2.2
Tucson,2018.0,13690,Manual,23091,Petrol,44.8,1.6
Santa Fe,2016.0,17750,Semi-Auto,34999,Diesel,42.8,2.2
I10,2019.0,8700,Manual,497,Petrol,60.1,1.0
I10,2017.0,6650,Manual,13997,Petrol,60.1,1.0
Santa Fe,2013.0,12498,Automatic,38602,Diesel,41.5,2.2
I800,2019.0,19000,Automatic,14674,Diesel,31.7,2.5
IX20,2016.0,8498,Manual,25018,Petrol,50.4,1.4
Tucson,2017.0,17695,Automatic,12730,Diesel,47.1,2.0
I10,2017.0,5724,Manual,33803,Petrol,60.1,1.0
I800,2018.0,16699,Automatic,33943,Diesel,28.0,2.5
I10,2019.0,9491,Manual,250,Petrol,49.6,1.0
I800,2018.0,14900,Manual,38984,Diesel,37.7,2.5
I20,2016.0,8495,Manual,27000,Petrol,58.9,1.2
I30,2019.0,13990,Manual,100,Petrol,48.7,2.2
I30,2019.0,16995,Manual,8000,Petrol,41.5,1.4
Kona,,14680,Manual,8550,Petrol,44.1,1.0
Ioniq,2019.0,23991,Automatic,5500,,78.5,1.6
I20,2017.0,8695,Manual,9000,Petrol,58.9,1.2
Tucson,2016.0,12500,Manual,30082,Diesel,61.7,1.7
Santa Fe,2015.0,15975,Semi-Auto,29823,Diesel,41.5,2.2
IX20,2015.0,7785,Automatic,29000,Petrol,43.6,1.6
I10,2015.0,6497,Manual,22020,Petrol,57.6,1.2
IX35,2013.0,6998,Manual,80465,Diesel,53.3,1.7
I30,2013.0,4998,Manual,61735,Diesel,76.3,1.6
Ioniq,2019.0,20000,Semi-Auto,4541,Hybrid,78.5,
I30,2018.0,11455,Manual,10014,Petrol,56.5,1.0
I10,2015.0,5885,Manual,14566,Petrol,60.1,1.0
I10,2016.0,6480,Manual,20295,Petrol,57.6,1.2
I10,2019.0,8990,Manual,1222,,49.6,1.0
I10,2017.0,7798,Manual,9859,Petrol,60.1,1.0
I10,2017.0,7290,Manual,5082,Petrol,60.1,1.0
Kona,2017.0,12823,Manual,26301,Petrol,52.3,1.0
I30,2017.0,10995,Manual,2000,Petrol,48.7,1.4
I10,2013.0,3995,Manual,58000,Petrol,61.4,1.2
Tucson,2015.0,10795,Manual,29660,Petrol,44.8,1.6
Tucson,2019.0,15000,Manual,22397,Petrol,34.9,0.0
IX35,2013.0,10488,Automatic,28000,Diesel,39.2,2.0
I10,2018.0,7990,Manual,31375,Petrol,60.1,
I20,,9990,Manual,20677,Petrol,58.9,1.0
Tucson,2018.0,14970,Manual,10354,Petrol,44.8,1.6
Kona,,13591,Manual,15575,Petrol,44.1,1.0
I30,2017.0,9835,Manual,10269,Petrol,56.5,1.0
I20,2016.0,6400,Manual,45770,Petrol,60.1,1.2
I10,2018.0,9990,Automatic,10000,Petrol,47.9,1.2
Tucson,2017.0,15500,Manual,23546,Diesel,61.7,1.7
I10,2017.0,8298,Manual,15553,Petrol,57.7,1.2
I10,2020.0,13495,Manual,3000,Petrol,56.5,1.0
I10,2018.0,7291,Manual,16203,Petrol,60.1,1.0
I40,2015.0,9995,Manual,39779,Diesel,65.7,1.7
I20,2018.0,12354,Automatic,24448,Petrol,45.6,1.4
I20,2017.0,8291,Manual,17839,Petrol,58.9,1.2
Tucson,2018.0,19490,Automatic,14495,,57.6,1.7
Tucson,2019.0,15498,Manual,14844,Petrol,34.9,1.6
I10,2018.0,8000,Manual,9598,Petrol,60.1,1.0
Tucson,2016.0,10998,Manual,22665,Petrol,44.8,1.6
I10,2018.0,7495,Manual,30397,Petrol,57.7,1.2
Ioniq,2019.0,17270,Automatic,5931,Hybrid,78.5,1.6
I10,2018.0,8200,Manual,7672,Petrol,60.1,1.0
Tucson,2019.0,26000,Semi-Auto,4338,Hybrid,50.4,1.6
IX20,2015.0,8500,Automatic,24610,Petrol,43.6,1.6
I10,2019.0,9290,Manual,2811,Petrol,49.6,1.0
Tucson,2019.0,20490,Semi-Auto,4011,Diesel,47.1,1.6
Ioniq,2018.0,17298,Automatic,13884,Hybrid,78.5,1.6
Tucson,2018.0,16500,Manual,12875,Petrol,38.7,1.6
I20,2017.0,8990,Manual,21640,Diesel,68.9,1.4
I10,2010.0,2950,Manual,62000,Petrol,56.5,1.2
I30,2018.0,12891,Manual,3789,Petrol,45.6,1.0
IX35,2013.0,7495,Manual,31643,Diesel,48.7,1.7
I30,2018.0,11000,Manual,16856,Petrol,56.5,1.0
I20,2019.0,11480,Manual,2128,Petrol,47.9,1.0
Kona,2018.0,14680,Manual,7400,Petrol,44.1,1.0
Santa Fe,2019.0,33799,Semi-Auto,5473,Diesel,39.2,2.2
Tucson,2017.0,13750,Manual,21000,Diesel,61.7,1.7
I10,2017.0,9495,Manual,12455,Petrol,57.7,1.2
Santa Fe,2019.0,31500,Semi-Auto,7919,Diesel,39.2,2.2
I20,2017.0,10395,Manual,9812,Petrol,62.8,1.0
I30,2016.0,9000,Manual,29610,Diesel,78.4,0.0
Tucson,2017.0,13995,Manual,15679,Petrol,44.8,1.6
I10,2017.0,8490,Manual,19971,Petrol,57.7,1.2
I10,2017.0,7495,Manual,11630,Petrol,60.1,1.0
Santa Fe,2015.0,11500,Automatic,91700,Diesel,41.5,2.2
I30,2018.0,11000,Manual,33762,Petrol,56.5,1.0
I10,2016.0,5490,Manual,28601,Petrol,61.4,1.0
Ioniq,2019.0,23370,Automatic,5653,Hybrid,78.5,1.6
IX35,2014.0,6881,Manual,82203,Diesel,53.3,1.7
I30,2018.0,11495,Manual,11156,Petrol,45.6,1.0
Santa Fe,2019.0,32489,Automatic,20,Diesel,39.8,2.2
I800,2019.0,19998,Manual,2544,Diesel,31.7,2.5
I30,2019.0,25995,Manual,50,Petrol,34.0,
Santa Fe,2017.0,17998,Semi-Auto,21615,Diesel,42.8,2.2
IX20,2017.0,9695,Manual,13817,Petrol,50.4,1.4
Tucson,2016.0,11200,Manual,71022,Diesel,61.7,1.7
Kona,2019.0,15995,Manual,9000,,44.1,1.0
Ioniq,2017.0,17149,Automatic,10329,Hybrid,78.5,1.6
Tucson,2019.0,20990,Manual,8045,,51.4,
Tucson,2017.0,15270,Semi-Auto,26238,Diesel,57.6,1.7
Tucson,2019.0,21000,Automatic,14690,Diesel,47.1,1.6
Tucson,,22491,Manual,8574,Diesel,45.6,1.6
Tucson,2019.0,22600,Semi-Auto,9300,Petrol,36.2,1.6
I30,2017.0,11495,Semi-Auto,23505,Petrol,51.4,1.4
I800,2019.0,19965,Automatic,12450,,28.0,2.5
I20,2019.0,11741,Manual,5430,Petrol,46.3,1.2
I30,2015.0,7250,Manual,26247,Diesel,78.4,1.6
I10,2017.0,6797,Manual,12521,Petrol,60.1,1.0
Kona,2018.0,13271,Manual,7138,Petrol,52.3,1.0
I10,2014.0,5495,Manual,38751,Petrol,60.1,1.0
I20,2016.0,7990,Manual,19427,Petrol,55.4,1.2
I10,2018.0,7495,Manual,6393,Petrol,60.1,
Ioniq,2019.0,18695,Automatic,8021,Hybrid,78.5,1.6
Tucson,2016.0,12998,Manual,28861,Diesel,61.7,1.7
Tucson,2016.0,14495,Semi-Auto,31441,Diesel,57.6,1.7
I10,2016.0,6395,Manual,9723,Petrol,60.1,1.0
I10,2017.0,7495,Manual,17333,Petrol,60.1,1.0
Ioniq,2019.0,19981,Automatic,9950,Hybrid,78.5,1.6
I10,2017.0,6995,Manual,21786,Petrol,60.1,1.0
I10,2017.0,7570,Manual,3149,Petrol,60.1,1.0
I20,2016.0,7250,Manual,32182,Petrol,58.9,1.2
I10,2017.0,6498,Manual,40261,Petrol,57.7,1.2
Tucson,2018.0,21839,Manual,9398,Petrol,35.8,1.6
I10,2019.0,9325,Manual,3682,Petrol,57.6,1.2
Kona,2018.0,12599,Manual,34989,Petrol,52.3,1.0
Ioniq,2017.0,15470,Automatic,14673,Hybrid,78.5,1.6
IX35,2013.0,5998,Manual,78189,Diesel,48.7,
