model,year,price,transmission,mileage,fuelType,mpg,engineSize
1 Series,2016,21990,Semi-Auto,10.0,Diesel,68.9,1.5
X6,2019,58900,Automatic,15.0,Diesel,34.9,3.0
2 Series,2016,14990,Semi-Auto,16685.0,Petrol,53.3,1.5
3 Series,2016,15950,Manual,24160.0,Diesel,58.9,2.0
,2019,27950,Semi-Auto,7419.0,Diesel,58.9,2.0
4 Series,2017,21699,Automatic,13907.0,Diesel,55.4,3.0
3 Series,2020,29990,Semi-Auto,12.0,Diesel,49.6,2.0
2 Series,2017,18990,Automatic,14000.0,Diesel,65.7,2.0
5 Series,2017,18980,Semi-Auto,43169.0,Petrol,48.7,2.0
X1,2010,6495,Automatic,90000.0,Diesel,45.6,2.0
1 Series,2019,19980,Semi-Auto,6102.0,Petrol,54.3,1.5
X2,2019,36451,Semi-Auto,2975.0,Petrol,34.0,2.0
2 Series,2018,19990,Semi-Auto,21691.0,Petrol,47.9,2.0
3 Series,2014,12080,Automatic,76587.0,Diesel,57.6,3.0
,2019,27990,Semi-Auto,9529.0,Diesel,60.1,2.0
3 Series,2014,11520,Manual,62828.0,Diesel,61.4,2.0
5 Series,2016,15599,Automatic,37786.0,Diesel,62.8,2.0
3 Series,2014,11471,Manual,24904.0,Petrol,44.8,2.0
X6,2018,37900,Semi-Auto,11500.0,Diesel,40.9,3.0
X1,2017,19085,Automatic,36983.0,Diesel,57.6,2.0
X1,2016,16000,Manual,37201.0,Diesel,58.9,2.0
3 Series,2019,36990,Semi-Auto,3501.0,Diesel,47.9,3.0
1 Series,2015,15642,Automatic,47361.0,Petrol,37.7,3.0
1 Series,2015,16491,Manual,27411.0,Petrol,35.3,3.0
2 Series,2016,13790,Manual,11338.0,Diesel,65.7,2.0
1 Series,2015,10348,Automatic,57570.0,Diesel,74.3,2.0
1 Series,2019,22950,Manual,2181.0,Diesel,72.4,1.5
4 Series,2020,24490,Semi-Auto,105.0,Diesel,65.7,2.0
Z4,2015,17990,Manual,18089.0,Petrol,41.5,2.0
3 Series,2018,25000,Semi-Auto,23555.0,Diesel,49.6,3.0
3 Series,2015,15600,Automatic,33452.0,Diesel,64.2,2.0
3 Series,2016,19298,Semi-Auto,32382.0,Diesel,49.6,3.0
,2016,12500,Automatic,30626.0,Diesel,72.4,1.5
3 Series,2017,20995,Semi-Auto,26810.0,Hybrid,134.5,2.0
1 Series,2016,11988,Manual,20698.0,Diesel,78.5,1.5
4 Series,2020,34980,Semi-Auto,1000.0,Petrol,48.7,2.0
1 Series,2017,10500,Manual,81980.0,Diesel,65.7,2.0
3 Series,2016,13798,Semi-Auto,34860.0,Petrol,54.3,1.5
2 Series,2019,21995,Semi-Auto,3000.0,Petrol,42.2,1.5
X1,2019,29980,Automatic,11919.0,Diesel,60.1,2.0
,2017,15640,Automatic,89232.0,Diesel,65.7,2.0
1 Series,2016,14670,Automatic,26000.0,Petrol,54.3,1.5
1 Series,2013,15991,Semi-Auto,50039.0,Petrol,37.7,3.0
X3,2019,32450,Semi-Auto,4125.0,Diesel,54.3,2.0
5 Series,2019,27916,Automatic,6456.0,Diesel,60.1,2.0
2 Series,2016,19372,Semi-Auto,27584.0,Petrol,35.8,3.0
3 Series,2019,29661,Semi-Auto,4925.0,Petrol,43.5,2.0
X3,2017,24991,Semi-Auto,27125.0,Diesel,54.3,2.0
,2020,31995,Semi-Auto,6000.0,Hybrid,60.1,2.0
X4,2018,34000,Semi-Auto,935.0,Diesel,42.8,2.0
1 Series,2015,8990,Manual,39000.0,Petrol,56.5,1.5
3 Series,2019,29990,Semi-Auto,8235.0,Diesel,48.7,2.0
5 Series,2017,16950,Automatic,64845.0,Diesel,68.9,2.0
3 Series,2014,10230,Automatic,98381.0,,60.1,2.0
3 Series,2015,13275,Manual,61062.0,Diesel,60.1,2.0
3 Series,2017,12440,Manual,59158.0,Diesel,67.3,2.0
5 Series,2019,35790,Semi-Auto,,Diesel,53.3,3.0
X4,2019,38997,Semi-Auto,10.0,Diesel,40.9,3.0
5 Series,2019,24400,Automatic,32025.0,Petrol,47.9,2.0
4 Series,2019,24491,Semi-Auto,6462.0,Diesel,58.9,2.0
,2015,11995,Automatic,32840.0,Petrol,50.4,1.6
2 Series,2017,12750,Manual,33752.0,Petrol,52.3,1.5
X2,2019,26972,Automatic,123.0,Petrol,38.7,2.0
X1,2019,23991,Manual,4480.0,Petrol,51.4,1.5
3 Series,2013,16291,Semi-Auto,40900.0,Diesel,54.3,3.0
3 Series,2019,27995,Semi-Auto,10334.0,,52.3,2.0
X5,2019,51990,Semi-Auto,12.0,Diesel,37.7,3.0
X1,2017,18995,Semi-Auto,32300.0,,57.6,2.0
5 Series,2015,12999,Manual,52217.0,,60.1,2.0
1 Series,2015,10499,Manual,60000.0,Diesel,70.6,1.5
X5,2019,49995,Semi-Auto,3724.0,Diesel,37.7,3.0
7 Series,2012,12500,Automatic,66294.0,Diesel,50.4,3.0
5 Series,2012,9800,Manual,73350.0,Diesel,57.6,2.0
X4,2019,33995,Semi-Auto,7141.0,Diesel,42.8,2.0
1 Series,2014,8499,Manual,63299.0,Diesel,68.9,2.0
1 Series,2016,13800,Automatic,11510.0,Diesel,70.6,2.0
1 Series,2016,14298,Manual,22265.0,Diesel,70.6,1.5
X3,2019,34950,Automatic,5325.0,Diesel,54.3,2.0
3 Series,2019,26000,Semi-Auto,5358.0,Diesel,52.3,2.0
1 Series,2016,11985,Manual,22054.0,Diesel,72.4,1.5
7 Series,2019,49000,Automatic,2000.0,Hybrid,113.0,2.0
4 Series,2016,11250,Manual,97706.0,Diesel,62.8,2.0
X3,2016,21990,Automatic,35121.0,Diesel,54.3,2.0
1 Series,2016,11799,Manual,18644.0,Diesel,78.5,1.5
4 Series,2019,21998,Semi-Auto,15856.0,Diesel,65.7,2.0
6 Series,2020,36550,Automatic,101.0,Petrol,42.8,2.0
5 Series,2013,10495,Semi-Auto,83000.0,Diesel,57.6,2.0
3 Series,2010,8399,Manual,45000.0,Diesel,49.6,3.0
2 Series,2015,10706,Manual,27562.0,Diesel,68.9,2.0
M4,2019,40950,Semi-Auto,12000.0,Petrol,34.0,3.0
3 Series,2015,13990,Automatic,37087.0,Diesel,61.4,2.0
1 Series,2014,9500,Manual,36672.0,Diesel,65.7,2.0
1 Series,2015,12999,Automatic,28571.0,Diesel,67.3,2.0
3 Series,2016,12761,Manual,34239.0,Diesel,72.4,2.0
M4,2019,41980,Semi-Auto,101.0,,34.0,3.0
1 Series,2015,11711,Manual,40560.0,Diesel,57.6,2.0
X1,2015,15560,Semi-Auto,40104.0,Diesel,57.6,2.0
3 Series,2014,11490,Automatic,51783.0,Diesel,60.1,2.0
1 Series,2019,17250,Manual,4028.0,Petrol,53.3,1.5
2 Series,2019,19780,Semi-Auto,12320.0,Petrol,40.9,1.5
1 Series,2019,29980,Semi-Auto,5369.0,Petrol,34.5,2.0
X6,2019,54995,Semi-Auto,3455.0,Diesel,34.9,3.0
3 Series,2014,13252,Semi-Auto,41692.0,Diesel,62.8,2.0
3 Series,2019,27790,Semi-Auto,103.0,Petrol,42.2,2.0
X5,2017,30999,Automatic,32812.0,Diesel,47.1,3.0
3 Series,2019,21000,Semi-Auto,10959.0,Diesel,64.2,2.0
3 Series,2019,27372,Semi-Auto,6336.0,Diesel,52.3,2.0
X1,2015,9990,Manual,,Diesel,51.4,2.0
1 Series,2016,10999,Manual,21964.0,Diesel,78.5,1.5
2 Series,2020,29999,Semi-Auto,5000.0,Diesel,48.7,2.0
,2020,37975,Semi-Auto,101.0,Petrol,38.7,2.0
1 Series,2016,17600,Semi-Auto,31179.0,Petrol,37.7,3.0
2 Series,2015,10395,Manual,63980.0,Diesel,74.3,1.5
3 Series,2020,34993,Semi-Auto,6250.0,Diesel,47.9,3.0
2 Series,2020,37989,Automatic,3890.0,Petrol,36.2,2.0
5 Series,2014,7995,Automatic,126100.0,Diesel,62.8,2.0
3 Series,2016,13207,Automatic,32672.0,Petrol,51.4,1.5
X1,2017,16699,Manual,51835.0,Diesel,58.9,2.0
X1,2016,14799,Manual,37032.0,Diesel,60.1,2.0
3 Series,2019,26995,Semi-Auto,10624.0,Petrol,42.2,2.0
X1,2017,16900,Automatic,48364.0,Diesel,55.4,2.0
X2,2019,23250,Automatic,8579.0,Petrol,42.2,1.5
2 Series,2016,14879,Automatic,20937.0,Petrol,51.4,1.5
,2016,21995,Semi-Auto,35700.0,Diesel,54.3,2.0
3 Series,2019,24990,Manual,4293.0,Diesel,64.2,2.0
3 Series,2017,18490,Semi-Auto,32500.0,Diesel,64.2,2.0
1 Series,2019,21900,Manual,917.0,Petrol,44.8,1.5
Z4,2020,31990,Semi-Auto,,Petrol,38.7,2.0
4 Series,2016,15440,Manual,24083.0,Petrol,46.3,2.0
5 Series,2015,13990,Automatic,25000.0,Diesel,68.9,2.0
3 Series,2019,22869,Semi-Auto,11824.0,Diesel,54.3,2.0
1 Series,2016,13995,Automatic,62000.0,,37.7,3.0
3 Series,2019,28500,Automatic,5513.0,Petrol,42.2,2.0
1 Series,2019,23780,Semi-Auto,5939.0,Petrol,40.4,1.5
4 Series,2019,24490,Semi-Auto,4954.0,Diesel,65.7,2.0
3 Series,2019,29995,Semi-Auto,1000.0,Petrol,42.2,2.0
7 Series,2019,50390,Semi-Auto,2218.0,Petrol,33.6,3.0
3 Series,2016,18788,Automatic,49477.0,Diesel,53.3,3.0
,2016,17127,Semi-Auto,34479.0,Diesel,65.7,2.0
,2019,16600,Manual,7000.0,Diesel,68.9,2.0
2 Series,2019,21850,Automatic,4389.0,Petrol,40.9,1.5
3 Series,2014,14990,Manual,27000.0,Diesel,55.4,2.0
2 Series,2019,24995,Automatic,4740.0,Diesel,61.4,2.0
3 Series,2019,34836,Semi-Auto,8200.0,Diesel,48.7,2.0
X5,2014,20450,Automatic,89000.0,Diesel,45.6,3.0
X1,2020,26950,Manual,18.0,Petrol,49.6,1.5
2 Series,2020,29995,Semi-Auto,1501.0,Petrol,47.9,2.0
X1,2017,20998,Semi-Auto,16216.0,Diesel,55.4,2.0
1 Series,2017,13000,Manual,26050.0,Diesel,68.9,2.0
X2,2019,27000,Semi-Auto,4724.0,Diesel,58.9,2.0
3 Series,2017,19500,Automatic,,Hybrid,134.5,2.0
1 Series,2017,11500,Manual,23574.0,Diesel,83.1,1.5
4 Series,2015,14299,Automatic,80614.0,Diesel,58.9,2.0
5 Series,2016,14490,Automatic,52000.0,Diesel,62.8,2.0
8 Series,2019,58940,Semi-Auto,1135.0,Diesel,40.4,3.0
X3,2017,18000,Automatic,74852.0,Diesel,47.1,3.0
2 Series,2020,20980,Semi-Auto,10.0,Petrol,50.4,1.5
X4,2016,21400,Automatic,31084.0,,54.3,2.0
X5,2014,23950,Automatic,67711.0,Diesel,47.1,3.0
Z4,2019,33990,Semi-Auto,8810.0,Petrol,37.2,2.0
3 Series,2018,21980,Semi-Auto,,Petrol,48.7,2.0
X1,2019,24950,Automatic,7542.0,Diesel,60.1,2.0
3 Series,2019,23775,Semi-Auto,2359.0,Petrol,47.9,2.0
3 Series,2014,15291,Semi-Auto,,Diesel,52.3,3.0
3 Series,2013,11990,Automatic,73000.0,Diesel,57.6,3.0
5 Series,2019,31475,Semi-Auto,12.0,Petrol,48.7,2.0
X2,2019,30266,Automatic,123.0,Diesel,58.9,2.0
2 Series,2019,24450,Manual,1391.0,Diesel,60.1,2.0
,2015,12900,Automatic,60337.0,Diesel,62.8,2.0
1 Series,2013,7500,Manual,29000.0,Diesel,58.9,2.0
2 Series,2018,25990,Semi-Auto,3960.0,Petrol,32.5,3.0
3 Series,2018,19495,Semi-Auto,12849.0,Diesel,64.2,2.0
X3,2013,13690,Semi-Auto,30400.0,Diesel,50.4,2.0
3 Series,2017,19990,Semi-Auto,25212.0,Diesel,62.8,2.0
X5,2019,52990,Automatic,10.0,Diesel,37.7,3.0
4 Series,2019,34995,Automatic,10.0,Petrol,45.6,2.0
3 Series,2017,19980,Semi-Auto,10154.0,Diesel,56.5,3.0
X2,2018,23900,Semi-Auto,3391.0,Diesel,61.4,2.0
2 Series,2016,20701,Semi-Auto,27749.0,Petrol,39.8,3.0
1 Series,2016,9100,Manual,54596.0,Diesel,83.1,1.5
5 Series,2019,28999,Automatic,13000.0,Petrol,47.9,2.0
1 Series,2019,30783,Semi-Auto,6499.0,Petrol,34.5,2.0
3 Series,2020,35495,Semi-Auto,1501.0,Diesel,47.1,3.0
M5,2019,70686,Semi-Auto,3153.0,Petrol,24.1,4.4
X3,2019,42763,Semi-Auto,3844.0,Diesel,36.7,3.0
5 Series,2016,15122,Semi-Auto,37390.0,Diesel,68.9,2.0
1 Series,2014,8149,Manual,69190.0,Diesel,65.7,1.6
4 Series,2016,17499,Manual,26031.0,Diesel,62.8,2.0
X2,2019,27990,Semi-Auto,10.0,Petrol,38.7,2.0
2 Series,2017,15991,Semi-Auto,12887.0,Petrol,55.4,1.5
3 Series,2013,8800,Manual,60863.0,Diesel,57.6,2.0
5 Series,2017,30950,Semi-Auto,20564.0,Petrol,37.7,3.0
X6,2020,49975,Semi-Auto,2950.0,Diesel,34.9,3.0
1 Series,2013,6990,Manual,68000.0,Petrol,52.3,1.6
3 Series,2016,16995,Semi-Auto,22035.0,Diesel,62.8,2.0
X1,2016,18148,Semi-Auto,25401.0,Diesel,57.6,2.0
X2,2019,31790,Semi-Auto,4169.0,Petrol,34.0,2.0
8 Series,2019,55980,Semi-Auto,,Diesel,39.8,3.0
5 Series,2019,30000,Semi-Auto,1678.0,Petrol,50.4,2.0
3 Series,2017,10600,Manual,65213.0,Petrol,52.3,1.5
3 Series,2019,17480,Semi-Auto,22539.0,Petrol,51.4,1.5
4 Series,2019,35000,Automatic,110.0,Diesel,65.7,2.0
3 Series,2013,10200,Manual,56423.0,Petrol,40.4,2.0
2 Series,2020,22950,Manual,14.0,Petrol,52.3,1.5
3 Series,2016,16500,Automatic,42298.0,Diesel,60.1,2.0
X2,2019,26950,Semi-Auto,11386.0,Diesel,58.9,2.0
X4,2017,23900,Automatic,23604.0,Diesel,54.3,2.0
1 Series,2019,24572,Semi-Auto,5916.0,Petrol,40.4,1.5
,2015,14100,Automatic,62139.0,Petrol,41.5,2.0
5 Series,2016,15495,Semi-Auto,26109.0,Diesel,65.7,2.0
1 Series,2016,11850,Manual,19259.0,Petrol,53.3,1.5
2 Series,2019,20980,Manual,1000.0,Petrol,52.3,1.5
,2019,25450,Semi-Auto,9467.0,Diesel,50.4,2.0
X1,2017,14800,Manual,31518.0,Diesel,60.1,2.0
5 Series,2017,22312,Automatic,16403.0,Diesel,65.7,2.0
2 Series,2015,14998,Semi-Auto,29809.0,Diesel,68.9,2.0
8 Series,2019,55980,Automatic,10000.0,Diesel,40.4,3.0
4 Series,2019,29995,Automatic,4500.0,Diesel,58.9,2.0
3 Series,2015,12498,Manual,50730.0,Diesel,68.9,2.0
3 Series,2020,37000,Automatic,4691.0,Hybrid,8.8,2.0
3 Series,2017,13600,Automatic,53208.0,Diesel,70.6,2.0
X4,2019,38500,Semi-Auto,12733.0,Diesel,37.2,3.0
2 Series,2015,15685,Semi-Auto,24862.0,Diesel,64.2,2.0
4 Series,2017,16900,Automatic,19834.0,Diesel,65.7,2.0
5 Series,2017,15000,Automatic,41026.0,Diesel,62.8,2.0
,2017,23498,Semi-Auto,17231.0,Diesel,53.3,3.0
1 Series,2018,14700,Automatic,16313.0,Petrol,55.5,1.5
3 Series,2017,24000,Semi-Auto,15338.0,Diesel,49.6,3.0
2 Series,2016,12306,Manual,18840.0,Petrol,52.3,1.5
3 Series,2012,6480,Manual,112000.0,Diesel,61.4,2.0
,2016,18998,Manual,24997.0,,36.2,3.0
i3,2017,21500,Automatic,10900.0,Hybrid,470.8,0.0
3 Series,2019,25330,Semi-Auto,2307.0,Diesel,65.7,2.0
4 Series,2015,14000,Automatic,76660.0,Diesel,57.6,2.0
3 Series,2016,18998,Semi-Auto,28762.0,Diesel,51.4,3.0
3 Series,2014,11480,Manual,,Diesel,61.4,2.0
1 Series,2012,6500,Manual,58480.0,Diesel,58.9,2.0
2 Series,2016,10242,Manual,51577.0,Petrol,57.6,1.5
X3,2019,56000,Semi-Auto,26.0,Petrol,24.8,3.0
X1,2019,27995,Automatic,999.0,Petrol,35.3,2.0
3 Series,2012,8450,Manual,79480.0,Diesel,58.9,2.0
X1,2018,21000,Semi-Auto,22964.0,Diesel,60.1,2.0
1 Series,2019,22995,Manual,1000.0,Petrol,44.1,1.5
5 Series,2015,10900,Automatic,79563.0,Diesel,60.1,2.0
X3,2011,8990,Automatic,90000.0,Diesel,50.4,2.0
3 Series,2016,15030,Semi-Auto,43482.0,Diesel,64.2,2.0
X2,2019,35999,Automatic,6026.0,Petrol,34.0,2.0
X2,2019,25907,Manual,151.0,Diesel,53.3,2.0
6 Series,2013,15499,Automatic,58024.0,Diesel,51.4,3.0
i8,2019,74226,Automatic,10.0,Hybrid,141.2,1.5
1 Series,2012,5495,Manual,73853.0,Diesel,60.1,2.0
4 Series,2015,19898,Semi-Auto,21803.0,Diesel,49.6,3.0
4 Series,2019,29898,Semi-Auto,2145.0,Diesel,58.9,2.0
2 Series,2019,29991,Automatic,1893.0,Petrol,47.9,2.0
X6,2018,37790,Semi-Auto,16334.0,Diesel,40.9,3.0
3 Series,2014,9500,Automatic,75083.0,Diesel,68.9,2.0
5 Series,2015,9500,Manual,91498.0,Diesel,61.4,2.0
X1,2014,12901,Semi-Auto,65912.0,Diesel,52.3,2.0
5 Series,2002,6990,Automatic,78316.0,Petrol,23.7,3.5
6 Series,2012,12970,Automatic,50319.0,Diesel,51.4,3.0
5 Series,2019,30000,Semi-Auto,5479.0,Petrol,50.4,2.0
X1,2018,20000,Semi-Auto,10545.0,Diesel,60.1,2.0
3 Series,2018,21898,Semi-Auto,6425.0,Petrol,48.7,2.0
2 Series,2019,27990,Semi-Auto,3736.0,Diesel,48.7,2.0
4 Series,2015,13950,Manual,25510.0,Petrol,46.3,2.0
1 Series,2019,15989,Automatic,12212.0,,55.5,1.5
1 Series,2016,10599,Manual,27636.0,,83.1,1.5
3 Series,2020,34995,Semi-Auto,10.0,Diesel,49.6,2.0
4 Series,2019,29840,Semi-Auto,,Diesel,60.1,2.0
3 Series,2016,18656,Semi-Auto,41200.0,Diesel,53.3,3.0
4 Series,2016,16995,Manual,29564.0,Diesel,62.8,2.0
4 Series,2020,33890,Semi-Auto,9.0,Diesel,51.4,3.0
3 Series,2019,25990,Semi-Auto,2980.0,Diesel,57.7,2.0
8 Series,2020,66991,Semi-Auto,123.0,Petrol,33.2,3.0
1 Series,2013,7340,Manual,85871.0,Petrol,49.6,1.6
1 Series,2017,12338,Manual,15770.0,Diesel,83.1,1.5
X1,2019,26490,Semi-Auto,8785.0,Diesel,50.4,2.0
X1,2016,17397,Manual,16243.0,Diesel,58.9,2.0
2 Series,2019,21550,Automatic,6498.0,Diesel,67.3,2.0
X3,2017,20340,Automatic,30443.0,Diesel,54.3,2.0
1 Series,2016,14991,Manual,7000.0,Diesel,65.7,2.0
4 Series,2016,17300,Automatic,32837.0,Diesel,65.7,2.0
X1,2019,28875,Semi-Auto,150.0,Petrol,35.3,2.0
5 Series,2016,13499,Automatic,72095.0,Diesel,62.8,2.0
X1,2017,21498,Semi-Auto,19682.0,Petrol,44.8,2.0
3 Series,2017,17541,Automatic,24536.0,Petrol,48.7,2.0
4 Series,2019,23591,Semi-Auto,6100.0,Petrol,45.6,2.0
3 Series,2017,18489,Automatic,18374.0,Diesel,64.2,2.0
4 Series,2015,13500,Manual,44748.0,Diesel,53.3,2.0
X3,2017,24995,Semi-Auto,27782.0,Diesel,54.3,2.0
2 Series,2015,10500,Automatic,44056.0,Petrol,55.4,1.5
3 Series,2019,32999,Automatic,4418.0,Diesel,49.6,2.0
X3,2017,17380,Semi-Auto,64648.0,Diesel,54.3,2.0
Z4,2015,22895,Semi-Auto,15768.0,Petrol,30.1,3.0
3 Series,2019,30480,Semi-Auto,4609.0,Diesel,49.6,2.0
4 Series,2016,19841,Semi-Auto,30968.0,Petrol,44.1,2.0
3 Series,2015,12950,Manual,52338.0,Diesel,64.2,2.0
1 Series,2017,11850,Manual,32285.0,Diesel,68.9,2.0
3 Series,2016,12991,Manual,37594.0,Diesel,62.8,2.0
X5,2013,19948,Automatic,43000.0,Diesel,38.2,3.0
M2,2019,42351,Semi-Auto,1797.0,Petrol,29.1,3.0
2 Series,2019,20490,Semi-Auto,8171.0,Diesel,51.4,2.0
4 Series,2017,19500,Automatic,32632.0,Diesel,58.9,2.0
5 Series,2019,30494,Semi-Auto,13098.0,Hybrid,156.9,2.0
6 Series,2015,17498,Semi-Auto,51412.0,Diesel,49.6,3.0
1 Series,2019,20440,Semi-Auto,3567.0,Petrol,47.9,2.0
4 Series,2019,25995,Automatic,1000.0,,65.7,2.0
1 Series,2015,10300,Automatic,44033.0,Diesel,72.4,1.5
1 Series,2017,11400,Manual,26265.0,Diesel,83.1,1.5
3 Series,2019,27495,Manual,1841.0,Diesel,54.3,2.0
1 Series,2019,34990,Semi-Auto,4020.0,Diesel,48.7,2.0
1 Series,2016,11891,Manual,42964.0,Diesel,70.6,1.5
1 Series,2018,15899,Manual,25791.0,Petrol,52.3,1.5
M5,2014,23490,Automatic,55241.0,,28.5,4.4
4 Series,2019,25995,Automatic,,Petrol,45.6,2.0
1 Series,2016,13490,Automatic,40000.0,Diesel,65.7,2.0
4 Series,2016,23780,Semi-Auto,24441.0,Diesel,50.4,3.0
6 Series,2017,27000,Automatic,17942.0,Petrol,32.1,4.4
1 Series,2017,22995,Semi-Auto,11950.0,Petrol,39.8,3.0
X5,2015,24250,Automatic,,Diesel,47.1,3.0
4 Series,2018,22440,Semi-Auto,13673.0,Petrol,48.7,2.0
X1,2017,17990,Semi-Auto,36687.0,Diesel,57.6,2.0
4 Series,2020,26990,Semi-Auto,7.0,Petrol,48.7,2.0
5 Series,2018,23500,Semi-Auto,23650.0,Diesel,53.3,3.0
X3,2018,30000,Semi-Auto,71587.0,Diesel,54.3,2.0
1 Series,2016,13000,Manual,21909.0,Petrol,52.3,1.5
X4,2016,20998,Semi-Auto,62862.0,Diesel,47.9,3.0
8 Series,2020,69991,Semi-Auto,419.0,Petrol,33.2,3.0
3 Series,2017,15000,Automatic,14173.0,Petrol,54.3,1.5
2 Series,2020,28655,Manual,3297.0,Petrol,52.3,1.5
2 Series,2014,10990,Manual,57000.0,Diesel,58.9,2.0
