id,keywords
9273,bat
11517,brother brother relationship
11517,subway
11517,new york city
11517,new york subway
11517,train robbery
8012,gambling
8012,miami
8012,based on novel
8012,job
8012,murder
8012,travel
8012,mafia
8012,money
8012,debt
8012,mobster
8012,business
8012,hollywood
8012,gangster
8012,crime
8012,violence
8012,drug
8012,producer
8012,con
1710,police brutality
1710,psychology
1710,police operation
1710,police protection
1710,serial killer
1710,psychologist
1710,cowardliness
9691,competition
9691,assassination
9691,cia
9691,bank
9691,cat
9691,mexican standoff
9691,seattle
9691,hitman
9691,mission of murder
9691,hidden camera
9691,rivalry
9691,rescue
9691,shootout
9691,police chase
9691,sniper rifle
9691,silencer
9691,double cross
9691,caribbean
9691,detroit michigan
12665,dead animal
12665,shot to death
12665,teenage boy
12665,held at gunpoint
12665,teacher student relationship
12665,albino
12665,fainting
12665,jacobs ladder
12665,christ allegory
12665,psionic power
12665,healing power
12665,looking pale
12665,flickering light
12665,extrasensory perception
451,individual
451,prostitute
451,alcohol
451,casino
451,love at first sight
451,lovesickness
451,film producer
451,screenwriter
451,hotel room
451,dying and death
451,rage and hate
451,unsociability
451,alcoholism
451,los angeles
451,alcohol abuse
451,attempted suicide
16420,shakespeare
16420,jealousy
16420,friends
16420,moor
9263,1970s
9263,female friendship
9263,coming of age
9263,gynecologist
9263,photocopier
9263,truth or dare
9263,woman director
17015,captain
17015,napoleonic wars
17015,old flame
17015,admiral
902,clone
902,dream
902,island
902,eye
902,dystopia
902,aging
902,friendship
902,rescue
902,children
902,girl
902,childhood
37557,servant
37557,cabaret
37557,shanghai
37557,diva
37557,uncle
37557,mistress
37557,umbrella
9909,rap music
9909,karate
9909,high school
9909,naval officer
9909,teacher
9909,amusement park
63,schizophrenia
63,philadelphia
63,cassandra syndrom
63,stockholm syndrome
63,time travel
63,post-apocalyptic
63,dystopia
63,lethal virus
63,monkey
63,subterranean
78802,[]
9598,sheep
9598,pig
9598,affection
9598,piglet
9598,heroism
9598,talking animal
9598,separation
9598,german shepherd
9598,grandson
9598,talking pig
47018,england
47018,painter
47018,conscientious objector
47018,independent film
47018,soldier
687,prison
687,rape
687,socially deprived family
687,penalty
687,death penalty
687,despair
687,death row
687,begnadigung
687,therapist
687,self-discovery
687,prison cell
687,court case
687,death sentence
687,doomed man
687,sentence
687,lethal injection
687,forgiveness
687,charity
687,mercy petition
687,rage and hate
687,unsociability
687,right and justice
687,court
687,electric chair
687,cowardliness
139405,
33689,orphan
33689,identical twin
9603,puberty
9603,high school
9603,make a match
9603,spoiled child
9603,gay interest
9603,conflict
9603,woman director
34615,south africa
31174,england
31174,shakespeare
31174,kidnapping
31174,murder
31174,king
11443,money
11443,loss of virginity
11443,hiding in a dumpster
11443,mercy killing
11443,armored truck
11443,crushed by a car
35196,jealousy
35196,medicine
35196,fountain
35196,court
35196,wealth
35196,spaniel
35196,gloves
9312,martial arts
9312,monster
9312,island
9312,gore
9312,sorcerer
9312,tournament
9312,violence
9312,based on video game
9312,hand to hand combat
577,adultery
577,winter
577,obsession
577,television
577,new hampshire
577,narcissistic personality disorder
11861,wedding vows
11861,marriage proposal
11861,married couple
11861,monogamy
11861,advice
11861,marriage
11861,quilt
11861,love
11861,family holiday
11861,extramarital affair
11861,grandmother
11861,woman director
807,self-fulfilling prophecy
807,detective
807,s.w.a.t.
807,drug dealer
807,evisceration
807,lust and impulsiveness
807,rage and hate
807,pride and vanity
807,immoderateness
807,insomnia
807,investigation
807,pension
807,police
807,serial killer
10530,culture clash
10530,settler
10530,forbidden love
10530,colony
10530,musical
10530,gold rush
10530,princess
10530,romance
10530,native american
10530,animation
10530,virginia
10530,star crossed lovers
10530,reference to pizarro
10530,jamestown virginia
10530,pug dog
10530,cross cultural relationship
10530,musket
10530,animate tree
10530,indian chief
10530,based on myths or folklore
10530,17th century
10530,shamanism
10530,songs
10530,indians vs. settlers
10530,animal sidekick
10530,powhatan
10530,land claim
8391,professor
8391,lgbt
8391,woman director
629,law
629,relatives
629,theft
629,criminal
629,criminal mastermind
629,hungarian
629,sibling
117164,[]
11448,prostitute
11448,adoption
11448,adoptive father
11448,childlessness
11448,looking for  birth parents
11448,adoptive mother
11448,independent film
11448,illegal prostitution
11448,child
49133,independent film
26441,sport
26441,kids and family
26441,soccer
26441,woman director
97406,alcohol
97406,artist
97406,music
97406,drug
97406,band
124057,[]
9089,baltimore
9089,thanksgiving
9089,family clan
9089,family conflict
9089,generations conflict
9089,woman director
11010,island
11010,letter
11010,postman
11010,fisherman
11010,poet
99040,
11359,cupboard
11359,games
11359,puppet
11359,parallel world
11359,toy comes to life
17182,rape
17182,gun
17182,self-defense
17182,grieving parents
2054,composer
2054,mentor
2054,deaf-mute
2054,musical
2054,apprentice
2054,private life
2054,music
2054,disabled
10607,date
10607,slang
10607,hip-hop
10607,cousin
10607,parody
10607,hood
10607,gang
10607,social satire
10607,racism
10607,gangster
19760,island
19760,painting
19760,thief
19760,seasickness
9536,biotope
9536,vegetarian
9536,pollution
11525,hacker
11525,virtual reality
11525,computer
11525,sword fight
40628,[]
4482,love triangle
4482,southern france
4482,estate agent
4482,menage a trois
4482,van
4482,woman director
10634,rap music
10634,parent child relationship
10634,rapper
10634,job
755,dancing
755,brother brother relationship
755,sexual obsession
755,showdown
755,sheriff
755,eroticism
755,nudity
755,bank robber
755,vampire
755,holy water
755,siege
755,stripper
755,priest
755,explosion
755,extreme violence
755,bank robbery
755,preacher
755,hostage situation
755,crucifix
755,recreational vehicle
755,blood spurting
755,convenience store
755,female vampire
755,mexican american border
755,nightclub entertainer
755,boa constrictor
11859,bomb
11859,miami
11859,sex
11859,detective
11859,handcuffs
11859,based on novel
11859,hostage
11859,fbi
11859,kidnapping
11859,russian
11859,kgb
11859,chase
11859,sadism
11859,parking garage
11859,pizza
11859,police protection
11859,psychopath
11859,remake
11859,car crash
11859,conspiracy
11859,on the run
11859,fugitive
11859,shootout
11859,gunfight
11859,sadist
11859,foot chase
11859,police detective
11859,police station
11859,car chase
11859,held at gunpoint
11859,fbi agent
11859,double cross
11859,cult film
11859,computer hacker
11859,machine gun
11859,swat team
11859,grenade launcher
11859,underwater scene
11859,rogue agent
11859,woman lawyer
11859,damsel in distress
28387,college
48750,paris
48750,nun
48750,boxer
48750,lawyer
48750,jewish
20927,florist
20927,family relationships
36929,[]
9102,man vs machine
9102,alien planet
9102,struggle for survival
124626,
27526,loss of daughter
27526,hit-and-run driving 
27526,revenge
27526,suspense
27526,independent film
27526,tragedy
9623,jurors
9623,blackmail
9623,court case
9623,son
9623,trial
9623,courtroom
46785,fish
46785,money
46785,celebration
46785,goldfish
400,father son relationship
400,bounty hunter
400,boat
400,way of life
400,coffin
400,denver
400,godmother
400,paranoia
400,hitman
400,friendship
400,psychopath
400,revenge
400,murder
400,independent film
400,mafia
400,diner
400,blood
400,gangster
400,violence
400,illegal prostitution
400,extramarital affair
880,suicide
880,underdog
880,free love
880,philosophy
880,rape
880,mentally disabled
880,loss of mother
880,village life
880,world war ii
880,feminism
880,indian summer 
880,family history
880,widow
880,peasant
880,village
880,mathematics
880,freedom
880,right and justice
880,single
880,homosexuality
880,mother daughter relationship
880,domestic violence
880,university
880,woman director
146599,racial segregation
146599,family relationships
146599,rural setting
146599,african american
188588,
8447,class society
8447,rich woman - poor man
8447,scientist
8447,naturalist
8447,insect
10534,sailing trip
10534,diary
10534,sailing
10534,survival
10534,coming of age
10534,teenage boy
10534,discipline
10534,squall
10534,sail
10534,ship captain
10534,caribbean
10534,male bonding
10534,seasickness
10534,storm at sea
10534,1960s
17414,boss
17414,fistfight
17414,bully
17414,orangutan
17414,hotel manager
13997,nitrous oxide
13997,candid camera
13997,double act
13997,political satire
13997,crooked politician
13997,woman director
2086,assassination
2086,train station
2086,politics
2086,los angeles
61548,[]
9095,servant
9095,monster
9095,laboratory
9095,jekyll and hyde
9095,housemaid
9095,19th century
12158,vampire
12158,half vampire
9283,hometown
9208,helicopter
9208,river
9208,captain
9208,underground
9208,mexican standoff
9208,countdown
9208,pilot
9208,fistfight
9208,canyon
9208,major
9208,betrayal
9208,gunfight
9208,train
9208,explosion
9208,park ranger
9208,desert
9208,military
9208,nuclear device
9208,boxing
9208,stealth aircraft
9208,abandoned mine
9208,humvee
40154,play
40154,hamlet
40154,christmas
40154,actor
406,paris
406,neo-nazi
406,skinhead
406,robbery
406,police brutality
406,hip-hop
406,gun
406,socially deprived family
406,breakdance
406,arabian
406,boredom
406,revenge
406,suburb
406,violence
406,police officer
406,unemployment
406,capture
406,xenophobia
45549,
63076,narration
63076,hollywood
63076,prostitution
11062,corruption
11062,undercover
11062,war on drugs
11062,mayor
11062,drug dealer
11062,presidential election
11062,undercover agent
11062,investigation
11062,police
11062,drug
13685,brother brother relationship
13685,robbery
13685,burglar
13685,language barrier
13685,motel
13685,independent film
13685,psychiatric hospital
13685,maid
13685,theft
13685,nervous breakdown
13685,escapade
13685,laundry room
47475,
2045,wife husband relationship
2045,experiment
2045,police
2045,murder
2045,suspense
2045,memory
2045,forensic
2045,gunman
2045,animal experimentation
9614,loss of mother
9614,loss of father
9614,golf
9614,sport
9614,taxes
688,farewell
688,adultery
688,love at first sight
688,photographer
688,wife husband relationship
688,iowa
688,love of one's life
688,mother role
688,bridge
688,housewife
688,love letter
688,peasant
688,marriage crisis
688,photography
688,unsociability
688,secret love
688,nature documentary
11907,[]
10874,island
10874,pirate gang
10874,puppet
10874,treasure hunt
89333,
96357,[]
197,individual
197,scotland
197,in love with enemy
197,legend
197,independence
197,idealism
197,revolt
197,tyranny
103,vietnam veteran
103,taxi
103,obsession
103,drug dealer
103,night shift
103,vigilante
103,alienation
103,misanthrope
103,shot to death
103,illegal prostitution
103,loner
33542,new york
33542,martial arts
33542,supermarket
33542,gang war
33542,disabled child
33542,gang
33542,wedding
33542,diamond
33542,bronx
33542,duringcreditsstinger
43566,
71754,mining
71754,dance lesson
71754,coal mining
71754,bagpipes
43612,[]
51352,fascism
51352,auschwitz
51352,typhus
51352,victim
51352,interview
51352,prejudice
51352,burglary
51352,rabbit
16934,london england
16934,poison
16934,based on true story
16934,murder
16934,serial killer
16934,mental institution
16934,teenager
16934,psychiatrist
16934,stepmother
16934,social misfit
10324,roommate
10324,single
10324,love
10324,independent film
10324,best friend
10324,brooklyn bridge
78406,brother brother relationship
78406,twin brother
78406,lawyer
78406,estate
78406,santa barbara california
55731,[]
32119,
11066,role of women
11066,ladykiller
11066,success
11066,ladies' man
11066,chefin
11066,casanova
11066,womanizer
11104,ex-girlfriend
11104,drug smuggle
11104,girlfriend
11104,snack bar
11104,romance
11104,hong kong
11104,pineapple
11104,expiration date
11104,flight attendant
37975,
2074,lsd
2074,looking for  birth parents
2074,half-brother
2074,independent film
27793,flying
27793,magic
44284,[]
290157,[]
110972,
32622,independent film
32622,woman director
73067,boy
73067,writer
73067,ireland
73067,flashback
73067,troop ship
11863,callgirl
11863,san francisco
11863,investigation
11863,murder
55475,[]
124636,[]
9101,submarine
9101,u.s. navy
9101,misfit
123360,[]
5757,homosexuality
5757,independent film
5757,mockumentary
39428,[]
124639,[]
9302,skab under tv
9302,foran
9302,nederste hylde
11000,gay
11000,drag queen
11000,homophobia
11000,florida
11000,coming out
11000,senator
11000,politician
11000,lgbt
11000,crossdressing
11000,1990s
249882,[]
16388,love
16388,independent film
16388,best friend
16388,true love
16388,irish catholic
9737,miami
9737,detective
9737,handcuffs
9737,airport
9737,mexican standoff
9737,strip club
9737,witness protection
9737,car crash
9737,internal affairs
9737,gunfight
9737,explosion
9737,brutality
9737,foot chase
9737,car chase
9737,drug lord
9737,hangar
9737,loose cannon
9737,bust
9737,reference to skittles
9737,black cop
9737,badge
9737,action hero
9737,corrupt cop
30765,china
30765,panda
30765,poacher
10474,sport
10474,basketball
10474,addiction
10474,friends
10474,drug
22279,england
22279,based on novel
22279,liverpool
22279,theatre company
22279,1940s
30157,independent film
568,moon
568,florida
568,nasa
568,spaceman
568,race against time
568,houston
568,based on true story
568,space
568,rescue
568,survival
568,disaster
568,explosion
568,astronaut
568,imax
568,saturn v rocket
568,courage
568,hypothermia
568,apollo program
568,cape kennedy
568,lunar mission
568,spacecraft accident
11780,scotland
11780,biography
11780,18th century
11780,highlands
11780,violent man
34996,new york
34996,philosophy
34996,vampire
34996,blood
34996,student
34996,violence
414,riddle
414,dc comics
414,rose
414,gotham city
414,partner
414,superhero
414,robin
414,broken neck
414,psychologist
414,violence
414,criminal
414,district attorney
414,millionaire
414,falling down stairs
414,tied up
414,tommy gun
414,beretta
414,knocked out
414,super powers
414,disfigurement
414,father figure
649,prostitute
649,adultery
649,double life
649,dual identity
649,jealousy
649,wife husband relationship
649,brothel
649,dream
649,women's sexual identity
649,fantasy
649,masochism
649,independent film
1873,burma
1873,rangoon
1873,doctor
5894,smoking
5894,corner shop
5894,cigarette
5894,tobacco
5894,cigar
5894,independent film
1775,
8839,halloween
8839,friendship
8839,supernatural
8839,afterlife
8839,friends
8839,danger
8839,ghost
8839,disorder
8839,young heroes
8839,imaginary
8839,supernatural ability
8839,mischievous children
20649,drug pusher
20649,train
20649,drug
20649,drug lord
10329,gorilla
10329,kongo
10329,diamond mine
10329,diamond
8963,submarine
8963,mutiny
8963,russia
8963,missile
8963,nuclear missile
8963,embassy
8963,u.s. navy
8963,battle for power
8963,torpedo
8963,military
8963,moral dilemma
8963,post cold war
8963,aircraft carrier
8963,chain of command
8963,launch code
8963,sonar
26564,underground
26564,biography
26564,art
8068,gunslinger
8068,anti terror
8068,ambush
8068,mexico
8068,showdown
8068,guitar
8068,nudity
8068,hitman
8068,bartender
8068,revenge
8068,tragic hero
8068,shootout
8068,mariachi
8068,explosion
8068,extreme violence
8068,brutality
8068,drug lord
8068,leg brace
8068,concealed weapon
8068,flashback
8068,bookstore
8512,jazz club
8512,murder
8512,los angeles
8512,private detective
8512,film noir
8512,neo-noir
1572,bomb
1572,taxi
1572,riddle
1572,robbery
1572,detective
1572,helicopter
1572,gold
1572,subway
1572,ship
1572,fistfight
1572,police
1572,sequel
1572,deception
1572,shootout
1572,new york city
1572,explosion
1572,violence
1572,car chase
1572,fbi agent
1572,simon says
1572,flashback
1572,dump truck
1572,aqueduct
1572,action hero
1572,federal reserve bank
13552,sex
13552,eroticism
13552,nudity
13552,nazis
13552,suspense
13552,drifter
13552,voyeur
259209,
6520,camelot
6520,knight
6520,king arthur
6520,excalibur
6520,knights of the round table
9073,human animal relationship
9073,whale
9073,killer whale
10428,female nudity
10428,hacker
10428,nudity
10428,computer virus
10428,virtual reality
10428,computer
10428,sexual fantasy
10428,prank
10428,internet
10428,cyberpunk
10428,teenager
10428,new york city
10428,secret service
10428,computer hacker
10428,dream sequence
17447,gay
17447,aids
17447,based on play or musical
17447,hiv positive
9886,brain
9886,childhood memory
9886,dystopia
9886,pharmaceutical industry
9886,computer chip
9886,courier
9886,cyber
9886,cyberpunk
9482,judge
9482,post-apocalyptic
9482,dystopia
9482,based on comic
9482,police officer
9482,based on graphic novel
9482,frame up
9482,dystopic future
9482,framed for murder
9482,gene
9482,prosthetic limb
9482,post holocaust
9482,dna testing
9482,dredd
9482,2000 ad
19326,stripper
19326,jury
19326,jurist
19326,independent film
19326,jury duty
19326,verdict
9344,puberty
9344,first time
9071,cinema
9071,independent film
9071,filmmaker
8973,fanatic
8973,supernatural
8973,wizardry
8973,resurrection
8973,sect
8973,occultism
15730,
47608,suicide attempt
47608,college
47608,teen angst
47608,mental illness
47608,woman director
2293,sex
2293,game show
2293,slacker
2293,shopping
2293,mall
2293,ex-boyfriend ex-girlfriend relationship
2293,jay and silent bob
2293,silent man
2293,coke
2293,bandleader
2293,aftercreditsstinger
9070,based on tv series
9070,tokusatsu
9070,superhero team
9070,ethnic diversity
9070,super sentai
9070,power rangers
9070,mighty morphin power rangers
9070,mmpr
68274,[]
48787,chase
48787,police
48787,murder
48787,mute
48787,disk
34574,new york
34574,vampire
34574,dracula
1642,cheating
1642,new identity
1642,computer virus
1642,chase
1642,computer
1642,stalking
11472,parent child relationship
11472,baby
11472,marriage
11472,pregnancy
11472,child wish
36196,library
36196,party
36196,independent film
36196,free spirit
36196,woman director
36196,librarian
11980,angel
11980,archangel gabriel
11980,menschheit
58372,trauma
58372,game show
58372,female protagonist
58372,christmas
32646,sex
32646,chemical
32646,medicine
32646,housewife
32646,pollution
32646,quarantine
32646,independent film
32646,allergy
32646,psychiatrist
32646,illness
32646,disorder
32646,retreat
32646,multiple chemical sensitivity (mcs)
32646,environmental illness
10533,based on novel
10533,burning of witches
10533,puritan
10533,pregnancy
10533,period drama
10533,extramarital affair
56088,[]
10802,dancing
10802,female nudity
10802,go-go dancer
10802,spanner
10802,seduction
10802,striptease
10802,sexappeal
10149,smoking
10149,robber
10149,cigarette
10149,cigar
10149,laden
10149,independent film
10149,writer
18402,horse
18402,savannah
18402,based on true story
18402,family
9348,telepathy
9348,dna
9348,paranoia
9348,genetics
9348,instinct
9348,femme fatale
9348,alien
9348,on the run
9348,decapitation
9348,sexual attraction
9348,los angeles
9348,cocoon
9348,genetic engineering
9348,scientists
9348,alien dna
139408,[]
281,pornography
281,prostitute
281,rape
281,police brutality
281,dream
281,ex-girlfriend
281,future
281,bodyguard
281,rapper
281,virtual reality
281,dystopia
281,minidisc
281,police
281,ex-cop
281,murder
281,cyberpunk
281,los angeles
281,violence
281,criminal
281,private detective
281,revolt
281,woman director
5967,car mechanic
5967,letter
5967,musical
5967,war
5967,single
79593,
47939,baseball
47939,drifter
47939,dog
47939,korean war
47939,woman director
36834,mentor
36834,poet
36834,woman director
9090,transvestism
9090,gay
9090,new york
9090,drag queen
9090,homophobia
9090,travel
9090,road movie
9090,woman director
3512,terrorist
3512,pentagon
3512,satellite
3512,navy seal
3512,train
52856,woman director
77350,fashion
9560,world war ii
9560,vineyard
9560,love
9560,remake
9560,pregnancy
9560,harvest
9560,grape
9560,abandoned woman
9804,ocean
9804,tattoo
9804,mutant
9804,water
9804,dystopia
9804,doomsday
31611,dystopia
31611,black white relations
31611,alternative universe
65796,[]
49805,
26258,[]
50797,wife husband relationship
50797,colonel
19155,monk
19155,mountain
19155,restaurant
19155,war photographer
19155,christian
19155,fashion photographer
19155,girl
19155,violence
19155,albanian
19155,macedonia
76,dialogue
76,sunrise
76,talking
76,soulmates
76,walking
76,austria
76,traveller
76,danube
76,bittersweet
76,romantic
76,vienna
11017,woman director
37141,alcohol
37141,obsession
37141,babysitter
37141,party
37141,teenager
37141,parents
9382,aids
9382,roommate
9382,homicide
9382,car journey
9382,friendship
9382,friends
9382,homosexuality
9382,escape
9382,road movie
6715,mississippi
18256,castle
18256,voyeurism
22625,forbidden love
22625,moral conflict
22625,independent film
2292,salesclerk
2292,loser
2292,aftercreditsstinger
1909,sex addiction
1909,love
1909,mental institution
1909,patient
1909,psychiatrist
1909,don juan
8984,employee
8984,workplace
8984,sexual harassment
8984,intrigue
61813,[]
4954,terrorist
4954,transport of prisoners
4954,airplane
4954,parachuting
4954,suspense
62488,heist
62488,expectant father
10531,married couple
10531,chile
10531,pinochet-regime
10531,revenge
10531,doctor
10531,torture
10531,humiliation
11929,child abuse
11929,detective
11929,based on novel
11929,bar
11929,island
11929,suspicion of murder
11929,murder
11929,suspense
11929,dysfunctional family
11929,domestic violence
11929,reporter
11929,maid
11929,anger
11929,alcoholic
11929,accident
11929,abusive father
11929,abusive husband
11929,anti-depressant
11929,bangor-maine
11929,bank account
8467,gas station
8467,motel
8467,utah
8467,stupidity
8467,pill
8467,prank
8467,cigar smoking
8467,violence
8467,criminal
8467,fired from the job
8467,clumsiness
8467,stepmother stepdaughter relationship
8467,sitting on a toilet
8467,aspen colorado
8467,parakeet
8467,defecation
8467,scooter
8467,hotel suite
8467,endangered species
8467,foolish
8467,laxative
10451,cooking
10451,sense of life
10451,daughter
10451,dating
10451,family
20156,secret
20156,nightclub
20156,pet shop
20156,independent film
20156,unhappiness
18395,female nudity
18395,sexuality
18395,island
18395,love
18395,mistress
18395,kinky
18395,smuggler
18395,bdsm
522,individual
522,taxi
522,transsexuality
522,fortune teller
522,film business
522,film making
522,film producer
522,vororte
522,film maker
522,boxer
522,film director
522,oddball
522,celebrity
522,morphine
522,movie studio
522,los angeles
522,drug addict
522,cult director
522,theremin
522,handgun
522,trick or treating
522,actor
522,transvestite
397,paris
397,airport
397,in love with enemy
397,canadian
397,necklace
397,fear of flying
397,deal
397,vineyard
397,smuggling
10525,paris
10525,dallas
10525,basketball
10525,crisis
10525,falling in love
10525,referee
27985,wilderness
27985,boy and dog
15789,father son relationship
15789,pop singer
15789,musical
15789,celebrity
15789,road trip
15789,dead mother
15789,first love
15789,goofy
27303,suspense
21183,father son relationship
21183,based on novel
21183,reincarnation
21183,talking dog
21183,car accident
21183,dog
21183,flashback
21183,dog movie
10954,brother brother relationship
10954,opera
10954,eunuch
10954,biography
10954,dresden
10954,opera singer
47867,country music
43475,
72031,
14275,chicago
14275,sports team
14275,ghetto
14275,narration
14275,college
14275,sport
14275,basketball
14275,high school sports
14275,independent film
14275,inner city
14275,high school student
1024,mother
1024,sex
1024,secret
1024,obsession
1024,literature
1024,nudity
1024,fantasy
1024,passion
1024,love
1024,friends
1024,murder
1024,independent film
1024,lesbian
1024,true
1024,relationship
17207,
13701,deafness
13701,sister-in-law
13701,character study
13701,uncle nephew relationship
13701,für elise
14819,overweight
14819,summer camp
32631,
11777,wedding vows
11777,mathematician
11777,car mechanic
11777,comet
11777,albert einstein
11777,halley's comet
628,paris
628,san francisco
628,vampire
628,plantation
628,pity
628,bite
628,fang vamp
87729,france
87729,revolution
87729,biography
87729,president
87729,history
18713,new york
18713,telephone joke
18713,gangster
6280,baby
6280,medicine
6280,media
6280,pregnancy
6280,scientist
6280,science
6280,male pregnancy
6280,fertility
6280,gynaecology
6280,ceasarean birth
9061,rape
9061,black people
9061,florida
9061,professor
9061,harvard university
9061,innocence
9061,revenge
9061,suspense
37108,time travel
37108,kids
37108,medieval times
6071,hoodlum
11,android
11,galaxy
11,hermit
11,death star
11,lightsaber
11,jedi
11,rescue mission
11,empire
11,rebellion
11,planet
11,smuggler
11,the force
11,space opera
11,galactic war
11,stormtrooper
11,totalitarianism
9587,depression
9587,mother daughter relationship
9587,pregnant
9587,desire
9587,chalkboard
9587, nightgown
9587,louisa may alcott
9587,birth of twins
9587,woman director
19101,based on novel
19101,servant
19101,private school
19101,female friendship
19101,boarding school
19101,british
19101,school
19101,little girl
19101,orphan
19101,india
19101,rich poor
19101,father daughter relationship
19101,schoolgirl
19101,presumed dead
19101,attic
19101,imagination
19101,african american servant
19101,fantasy life
49980,love
49980,children
49980,family
49980,social services
17961,
18183,chocolate
18183,jealousy
18183,sister sister relationship
18183,cooking
18183,mexican revolution
18183,marriage
18183,wedding
18183,single mother
18183,recipe
18183,magic realism
18183,new mexican cinema
18183,new latin american cinema
4476,brother brother relationship
4476,montana
4476,based on novel
4476,world war i
4476,journey round the world
11008,headquarter
11008,military base
11008,military service
11008,base
11008,major
11008,military spoof
11008,instructor
47504,russian mafia
47504,dysfunctional family
47504,brothers
32325,east los angeles
32325,gang
32325,los angeles
32325,poverty
32325,gang member
32325,hispanic
32325,mexican american
32325,girl gang
32325,woman director
32325,cholo
32325,chola
43742,cruise
43742,disabled
43742,empire state building
43742,accident
43742,accident victim
28313,mother
28313,child abuse
28313,single parent
28313,based on novel
28313,smoking
28313,baby
28313,social work
28313,drug addiction
28313,adoption
28313,liberation
28313,social worker
28313,self-abandonment
28313,court case
28313,custody battle
28313,son
28313,looking for  birth parents
28313,surrogate mother
28313,racist
28313,interracial relationship
28313,extramarital affair
11318,queen
11318,kingdom
11318,biography
11318,victorian england
11318,psychopathy
3036,human experimentation
3036,frankenstein
3036,remake
40490,
24070,holiday
24070,rollerblades
24070,cross dresser
24070,woman director
24070,suicide hotline
24070,christmas
8986,prostitute
8986,tree house
8986,red-light disctrict
8986,young people
8986,stripper
8986,make a match
8986,mob boss
10510,holiday
10510,competition
10510,new love
10510,santa claus
10510,department store
10510,miracle
10510,wish
10510,christmas
17402,
38722,immigrant
38722,marriage
38722,independent film
38722,family relationships
38722,los angeles
38722,family
38722,death of wife
8438,prison
8438,prisoner
8438,death row
8438,alcatraz
8438,lawyer
8438,courtroom
8438,murder trial
8438,1940s
8438,mistreatment
8438,public defender
8438,prisoner abuse
11593,illegal employment
11593,retirement
11593,drama
1945,loss of mother
1945,loss of sister
1945,twin sister
1945,autism
1945,lake
1945,kaspar-hauser-syndrom
1945,feral child
1945,forest
1945,north carolina
1945,psychologist
1945,family
39310,new jersey
39310,police
39310,brutality
39310,troubled teen
39310,hiphop
39310,black youths
109560,[]
56428,suicide
56428,detective
56428,experiment
56428,hallucination
56428,scientist
56428,drug
56428,killer
63105,[]
131957,
241,sadistic
241,journalist
241,mass murder
241,yellow press
241,trauma
241,daughter
241,satire
241,controversy
241,controversial
241,violence
241,young couple
241,abuse
9058,venice
9058,italy
9058,fortune teller
9058,soulmates
9058,cheating
9058,trip
527,individual
527,slum
527,suicide
527,tattoo
527,alcohol
527,rape
527,tradition
527,loss of child
527,indigenous
527,despair
527,violent husband
527,ghetto
527,new zealand
527,maori
527,strong woman
527,lack of prospects
527,maori tradition
527,funeral
527,approved school 
527,crush
527,independent film
527,teacher
527,youth gang
527,domestic violence
527,violence
527,rebellious youth
527,alcohol abuse
527,incest
527,unemployment
18220,sex
18220,obsession
18220,diary
18220,murder
18220,student
18220,lust
18220,art
18220,woman director
18220,erotic movie
6950,river
6950,general
6950,research
6950,army
6950,serum
6950,monkey
6950,epidemic
6950,medical research
101,new york
101,corruption
101,assassin
101,police brutality
101,loss of family
101,s.w.a.t.
101,immigrant
101,hitman
101,training
101,revenge
101,murder
101,loneliness
101,neighbor
101,tragic love
101,cult film
101,neo-noir
101,complex relationship
