id,first_name,last_name,gender,film_count
242845,"Warren (I)",Keith,M,1
242968,J.D.,Kelleher,M,1
243104,Roy,Kellerman,M,1
243306,"Craig (II)",Kelly,M,1
243383,"George (II)",Kelly,M,1
243428,"Jason (III)",Kelly,M,1
243490,M.G.,Kelly,M,1
243553,"Phil (I)",Kelly,M,1
243869,Ken,Kemp,M,1
243897,"Tom (I)",Kemp,M,1
243963,Victor,Kempster,M,1
244175,John,"Kennedy Jr.",M,1
244292,"John F.",Kennedy,M,1
244298,"Joseph P.",Kennedy,M,1
244351,"Mike (VI)",Kennedy,M,1
244368,"Paul (I)",Kennedy,M,1
244402,"Robert F.",Kennedy,M,1
244421,T.J.,Kennedy,M,1
244423,"Ted (I)",Kennedy,M,1
244497,Douglas,Kenney,M,1
244575,"Tony (I)",Kenny,M,1
244787,Jimmy,Keogh,M,1
244826,John,Kepley,M,1
245499,"Alan R.",Kessler,M,1
246659,Nikita,Khrushchev,M,1
247608,"Joon B.",Kim,M,1
248284,"Chris Thomas",King,M,1
248525,"Martin Luther",King,M,1
248904,"Jari (I)",Kinnunen,M,1
249760,James,Kisicki,M,1
249940,Kazuki,Kitamura,M,1
249944,Nobuhiko,Kitamura,M,1
250001,"Colin Michael",Kitchens,M,1
250025,Nao,Kitman,M,1
250281,Jack,Klaff,M,1
251175,Vladimir,Klitschko,M,1
251351,Jeffrey,Kluger,M,1
251881,"Travis (I)",Knight,M,1
251891,"Wayne (I)",Knight,M,1
251911,Christopher,Knights,M,1
253952,Ryo,Kondo,M,1
254667,Tommy,Kordick,M,1
255239,Christopher,Kosiciuk,M,1
256240,"Edward (I)",Kowalczyk,M,1
256402,Mark,Kozelek,M,1
256972,Charlie,Kranz,M,1
258441,Scott,Krueger,M,1
259004,Mark,Kubiak,M,1
260069,Jun,Kunimura,M,1
260427,Michael,Kuroiwa,M,1
260737,Naomi,Kusumi,M,1
261960,Joe,"La Due",M,1
262141,Charles,"La Russa",M,1
263645,"Martin (I)",Laing,M,1
264162,Phil,LaMarr,M,1
264716,Jim,Lampley,M,1
264813,James,Lancaster,M,1
265558,Anthony,Lang,M,1
265918,"Odin K.",Langford,M,1
266236,"Edward G.",Lansdale,M,1
266368,Rob,Lanza,M,1
267122,John,Larroquette,M,1
267297,William,Larsen,M,1
268301,"John (I)",Laughlin,M,1
269124,Peter,Lawford,M,1
269196,Sean,Lawlor,M,1
269326,"Harry (I)",Lawrence,M,1
269401,"Matthew (I)",Lawrence,M,1
269453,"Steve (I)",Lawrence,M,1
269536,Denis,Lawson,M,1
270444,Derek,Lea,M,1
270527,Richard,Leaf,M,1
271316,Bernard,Ledger,M,1
271396,Nathaniel,"Lee Jr.",M,1
271849,"Jason (I)",Lee,M,1
272379,"Tommy (VI)",Lee,M,1
272456,Zachary,Lee,M,1
272557,John,Lees,M,1
272703,Tim,Leffman,M,1
272853,David,Legeno,M,2
272971,Adam,LeGrant,M,1
273276,Ron,Leibman,M,1
273506,David,Leitch,M,1
273819,Curtis,LeMay,M,1
273956,Jack,Lemmon,M,1
274282,"Thomas (III)",Lennon,M,1
274881,Richard,LeParmentier,M,1
274897,Ray,LePere,M,1
275713,Jared,Leto,M,1
275761,Al,Lettieri,M,1
275842,"Ken (I)",Leung,M,1
276083,Jay,Levey,M,1
