director_id,genre,prob
24758,Action,0.1
24758,Adventure,0.1
24758,Romance,0.1
24758,Thriller,0.5
28395,War,0.333333
28395,Drama,1
28395,Action,0.333333
35573,Fantasy,0.153846
35573,Family,0.153846
35573,Action,0.269231
35573,Sci-Fi,0.0384615
35573,Western,0.0769231
35573,Comedy,0.461538
35573,Adventure,0.153846
35573,Romance,0.0769231
35573,Thriller,0.153846
35573,Mystery,0.115385
35573,Drama,0.576923
35573,Short,0.0769231
35838,Romance,0.125
35838,Comedy,1
35838,Family,0.125
35838,Sci-Fi,0.125
35838,Drama,0.5
35838,Fantasy,0.125
37872,Fantasy,0.25
37872,Music,0.25
37872,Adventure,0.25
37872,Drama,0.25
37872,Comedy,1
37872,Family,0.75
37872,Animation,0.75
37872,Romance,0.5
37872,Short,0.5
38746,Short,0.333333
38746,Comedy,0.888889
38746,Adventure,0.222222
38746,Animation,0.777778
38746,Crime,0.111111
38746,Sci-Fi,0.111111
41975,Action,0.2
41975,Horror,0.6
41975,Mystery,0.2
41975,Drama,0.6
41975,Thriller,0.8
41975,Short,0.2
44291,Western,0.0384615
44291,Documentary,0.230769
44291,Family,0.0769231
44291,Sci-Fi,0.153846
44291,Musical,0.0769231
44291,Romance,0.153846
44291,Music,0.192308
44291,Fantasy,0.0384615
44291,Comedy,0.653846
44291,Drama,0.0384615
44291,Short,0.0769231
44291,Adventure,0.0384615
44291,Crime,0.0384615
44291,Horror,0.230769
44291,Action,0.115385
44291,Thriller,0.192308
46315,Comedy,1
46315,Short,0.375
46315,Animation,0.125
46315,Music,0.75
48115,Drama,0.176471
48115,Documentary,0.294118
48115,Short,0.588235
48115,Comedy,0.0588235
48115,Adventure,0.235294
48115,Fantasy,0.0588235
48115,Action,0.235294
48115,Sci-Fi,0.352941
56332,Sci-Fi,0.166667
56332,Romance,0.166667
56332,Animation,1
56332,Family,1
56332,Musical,0.5
56332,Adventure,0.5
56332,Action,0.166667
56332,Fantasy,0.333333
56332,Mystery,0.166667
56332,Comedy,0.666667
58201,Action,0.166667
58201,Mystery,0.333333
58201,Crime,0.5
58201,Drama,0.5
58201,Fantasy,0.166667
58201,Adventure,0.166667
58201,Thriller,0.666667
58201,Short,0.166667
65940,Comedy,0.642857
65940,Thriller,0.142857
65940,Adventure,0.142857
65940,Music,0.0714286
65940,Romance,0.428571
65940,Documentary,0.0714286
65940,Fantasy,0.0714286
65940,Drama,0.642857
65940,Family,0.142857
66849,Crime,0.714286
66849,Thriller,0.142857
66849,Music,0.142857
66849,Drama,0.142857
66849,Documentary,0.142857
66849,Short,0.428571
66849,Romance,0.142857
66849,Action,0.285714
66849,Comedy,0.571429
68161,Romance,0.2
68161,Mystery,0.08
68161,Musical,0.16
68161,Drama,0.48
68161,Family,0.04
68161,Music,0.04
68161,Comedy,0.6
68161,Thriller,0.04
68161,Crime,0.08
74758,Romance,0.166667
74758,Documentary,0.0555556
74758,Action,0.0555556
74758,Drama,0.722222
74758,Short,0.0555556
74758,Comedy,0.333333
74758,Thriller,0.277778
74758,Crime,0.333333
74758,Sci-Fi,0.111111
74758,Music,0.0555556
76524,Music,0.05
76524,Crime,0.2
76524,Action,0.2
76524,Romance,0.05
76524,Thriller,0.2
76524,Adventure,0.05
76524,Short,0.1
76524,Drama,0.65
76524,Documentary,0.15
76524,Horror,0.1
76524,Mystery,0.05
76524,War,0.25
78273,Romance,0.125
78273,War,0.125
78273,Action,0.5
78273,Thriller,0.5
78273,Mystery,0.125
78273,Crime,0.5
78273,Comedy,0.25
78273,Drama,0.75
82525,Comedy,0.0434783
82525,Action,0.173913
82525,Documentary,0.0869565
82525,Horror,0.0434783
82525,War,0.130435
82525,Mystery,0.0434783
82525,Short,0.26087
82525,Thriller,0.304348
82525,Adventure,0.0869565
82525,Drama,0.347826
82525,Sci-Fi,0.173913
82525,Romance,0.0434783
82525,Crime,0.0869565
83616,Crime,0.166667
83616,Thriller,0.833333
83616,Action,0.833333
83616,Animation,0.333333
83616,Sci-Fi,0.833333
83617,Animation,0.333333
83617,Crime,0.166667
83617,Thriller,0.833333
83617,Action,0.833333
83617,Sci-Fi,0.833333
